,https://roic.ai/company/POAI,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , 
1,Revenue,- -,15737,288,96637,188772,468125,951559,654354,456495,654836,1411655,1411565,1252272,1420680
2,COGS,- -,7000,140,56080,128540,189707,385323,303982,181620,148045,415764,531810,447192,487024
3,Gross Profit,- -,8737,148,40557,60232,278418,566236,350372,274875,506791,995891,879755,805080,933656
4,Gross Profit Ratio,- -,0.5552,0.5139,0.4197,0.3191,0.5948,0.5951,0.5354,0.6021,0.7739,0.7055,0.6232,0.6429,0.6572
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1861121,2960131,- -,- -
6,General and Administrative Exp.,1316398,1598286,1874465,3913228,7046952,8627006,5855379,4246026,5174799,7249209,4626997,9781218,10351973,10932125
7,Selling and Marketing Exp.,35682,407101,199593,232716,172970,578793,1178305,503989,467970,1004175,2369152,1912899,584937,774530
8,"Selling, General and Administrative Exp.",1352080,2005387,2074058,4145944,7219922,9205799,7033684,4750015,5642769,8253384,6996149,11694117,10936910,11706655
9,Other Expenses,- -,447000,-868294,- -,- -,- -,- -,- -,1158117,- -,- -,- -,- -,- -
10,Operating Expenses,- -,2452387,1205764,4145944,7219922,9205799,7033684,4750015,6800886,8253384,8857270,14654248,10936910,11706655
11,COGS and Expenses,1673285,2459387,1205904,4202024,7348462,9395506,7419007,5053997,6982506,8401429,9273034,15186058,11384102,12193679
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),89343,78938,147093,230374,259349,636503,377719,390887,3,- -,- -,- -,- -,- -
14,Depreciation and Amortization,569,3042,2429,3175,1079,148761,63040,78566,82356,71562,147628,704883,1024848,1340301
15,EBITDA,-1672716,-2810250,-1203187,-4253330,-7161727,-8621040,-6392809,-4321077,-6443655,-7675031,-9938849,-18685883,-24859549,-18978531
16,EBITDA ratio,-Infinity,-178.5760,-4177.7326,-44.0135,-37.9385,-18.4161,-6.7182,-6.6036,-14.1155,-11.7205,-7.0406,-13.2377,-19.8516,-13.3588
17,Operating Income,-1673285,-2443650,-1205616,-4105387,-7159690,-8927381,-6467448,-4399643,-6526011,-7746593,-7861379,-13774493,-25360037,-10772999
18,Operating Income ratio,-Infinity,-155.2805,-4186.1667,-42.4826,-37.9277,-19.0705,-6.7967,-6.7236,-14.2959,-11.8298,-5.5689,-9.7583,-20.2512,-7.5830
19,Total Other Income Expenses (Gains),- -,-369642,- -,-381492,-262465,-478923,-366120,-390887,-3,- -,-2225098,-5616273,-524360,-9545833
20,Income Before Tax,- -,- -,- -,-4486879,-7422155,-9406304,-6833568,-4790530,-6526014,-7746593,-10086477,-19390766,-25884397,-20318832
21,Income Before Tax Ratio,- -,- -,- -,-46.4302,-39.3181,-20.0936,-7.1814,-7.3210,-14.2959,-11.8298,-7.1451,-13.7371,-20.6699,-14.3022
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-661658
23,Net Income,-1762628,-2892230,-1352709,-4486879,-7422155,-9406304,-6833568,-4790530,-6526014,-7746593,-10086477,-19390766,-25884397,-19657174
24,Net Income ratio,-Infinity,-183.7853,-4696.9063,-46.4302,-39.3181,-20.0936,-7.1814,-7.3210,-14.2959,-11.8298,-7.1451,-13.7371,-20.6699,-13.8365
25,EPS,-3193.17,-4764.79,-1813.28,-3375.08,-2062.55,-1125.03,-572.50,-307.50,-23.10,-12.20,-7.90,-6.86,-2.21,-1.65
26,EPS Diluted,-3193.17,-4764.79,-1813.28,-3375.08,-2062.55,-1125.03,-572.50,-307.50,-23.10,-12.20,-7.90,-6.86,-2.21,-1.65
27,Weighted Average Shares Outstanding,552,607,746,1295,3711,8104,11961,15523,282334,636298,1281628,2870132,11950154,11950154
28,Weighted Average Shares Outstanding Diluted,552,607,746,1295,3711,8104,11961,15523,282334,636298,1281628,2870132,11950154,11950154
29,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1446159/000114420410017078/0001144204-10-017078-index.htm,https://www.sec.gov/Archives/edgar/data/1446159/000114420411018918/0001144204-11-018918-index.htm,https://www.sec.gov/Archives/edgar/data/1446159/000114420412021628/0001144204-12-021628-index.htm,https://www.sec.gov/Archives/edgar/data/1446159/000114420413016910/0001144204-13-016910-index.htm,https://www.sec.gov/Archives/edgar/data/1446159/000114420414018035/0001144204-14-018035-index.htm,https://www.sec.gov/Archives/edgar/data/1446159/000114420415026613/0001144204-15-026613-index.htm,https://www.sec.gov/Archives/edgar/data/1446159/000117184316008621/0001171843-16-008621-index.htm,https://www.sec.gov/Archives/edgar/data/1446159/000117184317001534/0001171843-17-001534-index.htm,https://www.sec.gov/Archives/edgar/data/1446159/000117184318002453/0001171843-18-002453-index.htm,https://www.sec.gov/Archives/edgar/data/1446159/000117184319002131/0001171843-19-002131-index.htm,https://www.sec.gov/Archives/edgar/data/1446159/000117184320002217/0001171843-20-002217-index.htm,https://www.sec.gov/Archives/edgar/data/1446159/000117184321001786/0001171843-21-001786-index.htm,https://www.sec.gov/Archives/edgar/data/1446159/000117184322002237/0001171843-22-002237-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,463838,16632,9383,122985,13139,101953,16384,4856232,1764090,766189,162152,150831,678332,28202615
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,284329,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,463838,16632,9383,122985,13139,101953,16384,4856232,2048419,766189,162152,150831,678332,28202615
34,Net Receivables,- -,15737,- -,50294,39711,97245,57549,38283,38919,805011,729878,297055,256878,354196
35,Inventory,- -,- -,- -,97605,145209,122175,367367,231740,272208,265045,241066,190156,289535,387684
36,Other Current Assets,171307,107134,8126,30148,27409,60588,190015,271579,248637,534937,318431,160222,289490,513778
37,Total Current Assets,635145,139503,17509,301032,225468,381961,631315,5397834,2608183,2371182,1451527,798264,1514235,29458273
38,PP&E,11689,9260,6831,4600,3521,158110,196479,139598,101496,87716,180453,2237544,3822700,3326025
