,https://roic.ai/company/REED,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , 
1,Revenue,6781776,8978365,9470285,10484353,13058813,15277000,15178000,20376000,25013000,30007000,37281000,43422000,45948000,42472000,37714000,38102000,33820000,41615000
2,COGS,5462205,7103037,7745499,8426774,11039577,11891000,11566000,16041000,17608000,20863000,26487000,30416000,34343000,33490000,30821000,27424000,25944000,28849000
3,Gross Profit,1319571,1875328,1724786,2057579,2019236,3386000,3612000,4335000,7405000,9144000,10794000,13006000,11605000,8982000,6893000,10678000,7876000,12766000
4,Gross Profit Ratio,0.1946,0.2089,0.1821,0.1963,0.1546,0.2216,0.2380,0.2128,0.2960,0.3047,0.2895,0.2995,0.2526,0.2115,0.1828,0.2802,0.2329,0.3068
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,1946667,2241237,3864169,7208125,3140000,2632000,2740000,5185000,5863000,7483000,8127000,9468000,8110000,9696000,13872000,13589000,13879000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,3817000,2412000,2319000,2470000,3145000,4180000,4838000,4867000,3701000,3021000,4879000,9188000,7503000
8,"Selling, General and Administrative Exp.",1416518,1946667,2241237,3864169,7208125,6957000,5044000,5059000,7655000,9008000,11663000,12965000,14335000,11811000,12717000,18751000,22777000,21382000
9,Other Expenses,- -,- -,- -,- -,300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,1416518,1946667,2241237,3864169,7508125,6957000,5044000,5059000,7655000,9008000,11663000,12965000,14335000,11811000,12717000,18751000,22777000,21382000
11,COGS and Expenses,6878723,9049704,9986736,12290943,18547702,18848000,16610000,21100000,25263000,29871000,38150000,43381000,48678000,45301000,43538000,46175000,48721000,50231000
12,Interest Income ,- -,- -,- -,7773,- -,1000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),250738,- -,309504,414792,- -,244000,486000,586000,691000,660000,651000,793000,1231000,1724000,3491000,2201000,1286000,1307000
14,Depreciation and Amortization,124203,97329,118517,155860,205262,355000,469000,616000,653000,738000,550000,755000,933000,642000,551000,108000,152000,204000
15,EBITDA,-399426,-382042,-397934,-1642957,-5345967,-3215000,-1604000,-108000,403000,874000,-319000,796000,-1797000,-2643000,-14331000,-8016000,-14674000,-8666000
16,EBITDA ratio,-0.0589,-0.0426,-0.0420,-0.1567,-0.4094,-0.2104,-0.1057,-0.0053,0.0161,0.0291,-0.0086,0.0183,-0.0391,-0.0622,-0.3800,-0.2104,-0.4339,-0.2082
17,Operating Income,-96947,-71339,-516451,-1806590,-5488889,-3571000,-2073000,-724000,-250000,136000,-869000,41000,-2730000,-3053000,-11749000,-8122000,-14856000,-8616000
18,Operating Income ratio,-0.0143,-0.0079,-0.0545,-0.1723,-0.4203,-0.2338,-0.1366,-0.0355,-0.0100,0.0045,-0.0233,0.0009,-0.0594,-0.0719,-0.3115,-0.2132,-0.4393,-0.2070
19,Total Other Income Expenses (Gains),-426682,-153000,- -,- -,-300000,- -,-641000,- -,- -,-660000,-651000,-793000,-1231000,-1956000,-6624000,-2203000,-1256000,-1561000
20,Income Before Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,-524000,-1520000,-752000,-3961000,-5009000,-18373000,-10325000,-16112000,-10177000
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,-0.0175,-0.0408,-0.0173,-0.0862,-0.1179,-0.4872,-0.2710,-0.4764,-0.2446
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2000,- -,- -,- -,- -,- -,- -
23,Net Income,-774367,-479371,-825955,-2213609,-5551229,-3814000,-2559000,-1310000,-941000,-524000,-1520000,-754000,-3961000,-5009000,-18373000,-10325000,-16112000,-10177000
24,Net Income ratio,-0.1142,-0.0534,-0.0872,-0.2111,-0.4251,-0.2497,-0.1686,-0.0643,-0.0376,-0.0175,-0.0408,-0.0174,-0.0862,-0.1179,-0.4872,-0.2710,-0.4764,-0.2446
25,EPS,-0.15,-0.10,-0.17,-0.39,-0.67,-0.41,-0.27,-0.13,-0.09,-0.05,-0.12,-0.06,-0.29,-0.36,-1.24,-0.41,-0.46,-0.17
26,EPS Diluted,-0.15,-0.10,-0.17,-0.39,-0.67,-0.41,-0.27,-0.13,-0.09,-0.05,-0.12,-0.06,-0.29,-0.36,-1.24,-0.41,-0.46,-0.17
27,Weighted Average Shares Outstanding,4918645,4920314,5085911,5749716,8338147,9249448,9617646,10605228,11228968,11827946,13056461,13579980,13688137,14179654,14775828,25357566,35058004,60644842
28,Weighted Average Shares Outstanding Diluted,4918645,4920314,5085911,5749716,8338147,9249448,9617646,10605228,11228968,11827946,13056461,13579980,13688137,14179654,14775828,25357566,35058004,60644842
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1140215/000114420406029865/0001144204-06-029865-index.htm,https://www.sec.gov/Archives/edgar/data/1140215/000114420407018700/0001144204-07-018700-index.htm,https://www.sec.gov/Archives/edgar/data/1140215/000114420408022273/0001144204-08-022273-index.htm,https://www.sec.gov/Archives/edgar/data/1140215/000101968709001053/0001019687-09-001053-index.htm,https://www.sec.gov/Archives/edgar/data/1140215/000101968710001176/0001019687-10-001176-index.htm,https://www.sec.gov/Archives/edgar/data/1140215/000101968711000925/0001019687-11-000925-index.htm,https://www.sec.gov/Archives/edgar/data/1140215/000101968712001062/0001019687-12-001062-index.htm,https://www.sec.gov/Archives/edgar/data/1140215/000101968713000980/0001019687-13-000980-index.htm,https://www.sec.gov/Archives/edgar/data/1140215/000149315214000826/0001493152-14-000826-index.htm,https://www.sec.gov/Archives/edgar/data/1140215/000149315215001040/0001493152-15-001040-index.htm,https://www.sec.gov/Archives/edgar/data/1140215/000149315216008215/0001493152-16-008215-index.htm,https://www.sec.gov/Archives/edgar/data/1140215/000149315217004310/0001493152-17-004310-index.htm,https://www.sec.gov/Archives/edgar/data/1140215/000149315218004464/0001493152-18-004464-index.htm,https://www.sec.gov/Archives/edgar/data/1140215/000149315219004430/0001493152-19-004430-index.htm,https://www.sec.gov/Archives/edgar/data/1140215/000149315220004211/0001493152-20-004211-index.htm,https://www.sec.gov/Archives/edgar/data/1140215/000149315221007217/0001493152-21-007217-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,12930,42488,27744,1638917,742719,229000,1306000,1084000,713000,1163000,1104000,959000,1816000,451000,12127000,624000,913000,595000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,12930,42488,27744,1638917,742719,229000,1306000,1084000,713000,1163000,1104000,959000,1816000,451000,12127000,624000,913000,595000
34,Net Receivables,623966,800777,545469,1208574,1177228,897000,866000,1295000,1626000,1961000,2143000,2500000,2894000,2485000,2691000,2803000,2455000,5400000
35,Inventory,1297360,1301025,1208019,1511230,3028450,2837000,2884000,4555000,6099000,5794000,6293000,6306000,7927000,6885000,5931000,7380000,10508000,11119000
36,Other Current Assets,17382,5652,74279,1744918,76604,68000,99000,216000,291000,413000,434000,1734000,816000,500000,199000,131000,420000,1341000
37,Total Current Assets,1951638,2149942,1855511,6103639,5025001,4031000,5155000,7150000,8729000,9331000,9974000,11499000,13453000,10321000,20948000,10938000,14296000,18455000
38,PP&E,1713911,1821473,1885354,1795163,4248702,4133000,3655000,3650000,3512000,3422000,3686000,4572000,5369000,7726000,353000,896000,1053000,920000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,869421,815836,815092,814347,813603,800000,1029000,1029000,1029000,1029000,1029000,1029000,1029000,805000,805000,576000,576000,615000
41,Intangible Assets,869421,815836,815092,814347,813603,800000,1029000,1029000,1029000,1029000,1029000,1029000,1029000,805000,805000,576000,576000,615000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,311152,356238,- -,- -,139000,131000,47000,85000,54000,60000,- -,- -,- -,2370000,82000,67000,67000
45,Total Non-Current Assets,2583332,2948461,3056684,2609510,5062305,5072000,4815000,4726000,4626000,4505000,4775000,5601000,6398000,8531000,3528000,1554000,1696000,1602000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,4534970,5098403,4912195,8713149,10087306,9103000,9970000,11876000,13355000,13836000,14749000,17100000,19851000,18852000,24476000,12492000,15992000,20057000
48,Accounts Payable,1178677,1412124,1644491,1695014,1996849,1929000,954000,2586000,2310000,3368000,3612000,5894000,7458000,5959000,7480000,5721000,5539000,6746000
49,Short-Term Debt,- -,- -,1615334,1427386,27331,1370000,1517000,2109000,3247000,3289000,4800000,3143000,4944000,5527000,10470000,6980000,3177000,599000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,277000,- -,- -,- -
52,Other Current Liabilities,1362620,1422465,190444,146299,57912,96000,647000,625000,517000,376000,215000,255000,321000,398000,418000,1534000,695000,1582000
53,Total Current Liabilities,2541297,2834589,3450269,3268699,2082092,3395000,3118000,5320000,6074000,7033000,8627000,9292000,12723000,11884000,18645000,14235000,9411000,8927000
54,Long-Term Debt,1234163,1294114,1312931,821362,765753,1747000,71000,- -,576000,2607000,2629000,3680000,5853000,7282000,4940000,4161000,4689000,171000
