,https://roic.ai/company/HUN,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,3325700000,2757400000,2661000000,7080900000,11485800000,12961600000,10623600000,9650800000,10215000000,7763000000,9250000000,11221000000,11187000000,11079000000,11578000000,10299000000,9657000000,8358000000,9379000000,6797000000,6018000000,8453000000
2,COGS,3404400000,- -,2421000000,6373100000,10089200000,11209500000,9084100000,8111100000,8951000000,6695000000,7789000000,9381000000,9153000000,9326000000,9659000000,8451000000,7979000000,6546000000,7354000000,5415000000,4918000000,6678000000
3,Gross Profit,-78700000,- -,240000000,707800000,1396600000,1752100000,1539500000,1539700000,1264000000,1068000000,1461000000,1840000000,2034000000,1753000000,1919000000,1848000000,1678000000,1812000000,2025000000,1382000000,1100000000,1775000000
4,Gross Profit Ratio,-0.0237,- -,0.0902,0.1000,0.1216,0.1352,0.1449,0.1595,0.1237,0.1376,0.1579,0.1640,0.1818,0.1582,0.1657,0.1794,0.1738,0.2168,0.2159,0.2033,0.1828,0.2100
5,Research and Development Exp.,- -,- -,23800000,65600000,83000000,95500000,115400000,144700000,154000000,145000000,151000000,166000000,152000000,140000000,158000000,160000000,152000000,138000000,152000000,137000000,135000000,150000000
6,General and Administrative Exp.,- -,- -,- -,- -,- -,676900000,795300000,871300000,882000000,860000000,861000000,921000000,951000000,942000000,974000000,982000000,920000000,798000000,830000000,786000000,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,676900000,795300000,871300000,882000000,860000000,861000000,921000000,951000000,942000000,974000000,982000000,920000000,798000000,830000000,786000000,- -,851000000
9,Other Expenses,- -,3466800000,149900000,465700000,613900000,42200000,-127700000,-194400000,27000000,-18000000,10000000,-20000000,-6000000,10000000,-4000000,-1000000,-140000000,-23000000,8000000,31000000,730000000,-33000000
10,Operating Expenses,- -,3466800000,173700000,531300000,696900000,814600000,783000000,821600000,1063000000,987000000,1022000000,1067000000,1097000000,1092000000,1128000000,1141000000,932000000,913000000,990000000,954000000,865000000,968000000
11,COGS and Expenses,3404400000,3466800000,2594700000,6904400000,10786100000,12024100000,9867100000,8932700000,10014000000,7682000000,8811000000,10448000000,10250000000,10418000000,10787000000,9592000000,8911000000,7459000000,8344000000,6369000000,5783000000,7646000000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,249000000,226000000,190000000,205000000,205000000,202000000,165000000,115000000,111000000,86000000,67000000
14,Depreciation and Amortization,200300000,197500000,152700000,353400000,536800000,500800000,465700000,412900000,398000000,442000000,405000000,439000000,432000000,448000000,445000000,399000000,432000000,319000000,343000000,270000000,283000000,296000000
15,EBITDA,61700000,-645400000,139000000,64400000,280000000,489700000,646500000,228700000,1197000000,926000000,461000000,1044000000,1190000000,891000000,1024000000,743000000,1047000000,1184000000,892000000,905000000,1449000000,1617000000
16,EBITDA ratio,0.0186,-0.2341,0.0522,0.0091,0.0244,0.0378,0.0609,0.0237,0.1172,0.1193,0.0498,0.0930,0.1064,0.0804,0.0884,0.0721,0.1084,0.1417,0.0951,0.1331,0.2408,0.1913
17,Operating Income,-78700000,-709400000,66300000,176500000,400400000,813900000,736500000,536200000,165000000,-71000000,410000000,606000000,845000000,510000000,633000000,405000000,647000000,851000000,1038000000,469000000,433000000,795000000
18,Operating Income ratio,-0.0237,-0.2573,0.0249,0.0249,0.0349,0.0628,0.0693,0.0556,0.0162,-0.0091,0.0443,0.0540,0.0755,0.0460,0.0547,0.0393,0.0670,0.1018,0.1107,0.0690,0.0720,0.0940
19,Total Other Income Expenses (Gains),- -,- -,-220900000,-467000000,-650000000,-751700000,-389000000,-506000000,504000000,556000000,-390000000,-246000000,-298000000,-231000000,-229000000,-229000000,-199000000,-204000000,-96000000,-78000000,-96000000,518000000
20,Income Before Tax,- -,- -,-154600000,-290500000,-249600000,62200000,347500000,30200000,669000000,485000000,20000000,360000000,547000000,279000000,404000000,176000000,448000000,647000000,942000000,391000000,337000000,1313000000
21,Income Before Tax Ratio,- -,- -,-0.0581,-0.0410,-0.0217,0.0048,0.0327,0.0031,0.0655,0.0625,0.0022,0.0321,0.0489,0.0252,0.0349,0.0171,0.0464,0.0774,0.1004,0.0575,0.0560,0.1553
22,Income Tax expense (Gain),- -,- -,8500000,30800000,-29100000,23500000,-49000000,-12100000,190000000,370000000,29000000,109000000,169000000,125000000,51000000,46000000,87000000,64000000,97000000,-38000000,46000000,209000000
23,Net Income,-138600000,-842900000,-22200000,-319800000,-227700000,-34600000,229800000,-172100000,609000000,114000000,27000000,247000000,363000000,128000000,323000000,93000000,326000000,636000000,337000000,562000000,1034000000,1045000000
24,Net Income ratio,-0.0417,-0.3057,-0.0083,-0.0452,-0.0198,-0.0027,0.0216,-0.0178,0.0596,0.0147,0.0029,0.0220,0.0324,0.0116,0.0279,0.0090,0.0338,0.0761,0.0359,0.0827,0.1718,0.1236
25,EPS,-0.63,-3.82,-2.00,-19.70,-1.43,-0.35,1.04,-0.78,2.62,0.49,0.11,1.04,1.53,0.53,1.33,0.38,1.38,2.67,1.42,2.46,4.69,4.73
26,EPS Diluted,-0.63,-3.82,-2.00,-19.70,-1.43,-0.35,0.99,-0.78,2.60,0.48,0.11,1.02,1.51,0.53,1.31,0.38,1.36,2.61,1.39,2.44,4.66,4.73
27,Weighted Average Shares Outstanding,220000000,220654450,20000000,20005076,220559441,220500000,220600000,220900000,231968936,233900000,236000000,237600000,237600000,239700000,242100000,243000000,236000000,238400000,238000000,229000000,221000000,221000000
28,Weighted Average Shares Outstanding Diluted,220000000,220654450,20000000,20005076,220559441,220500000,233100000,232800000,234263249,238300000,236000000,241700000,240600000,242400000,246000000,245000000,240000000,243900000,242000000,231000000,222000000,221000000
29,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1089748/000110465906017507/0001104659-06-017507-index.html,https://www.sec.gov/Archives/edgar/data/1307954/000110465907015134/a07-4943_110k.htm,https://www.sec.gov/Archives/edgar/data/1307954/000104746908001623/a2182682z10-k.htm,https://www.sec.gov/Archives/edgar/data/1089748/000104746909001883/0001047469-09-001883-index.html,https://www.sec.gov/Archives/edgar/data/1089748/000104746910001019/0001047469-10-001019-index.html,https://www.sec.gov/Archives/edgar/data/1307954/000104746911001007/a2201909z10-k.htm,https://www.sec.gov/Archives/edgar/data/1089748/000104746912001105/0001047469-12-001105-index.html,https://www.sec.gov/Archives/edgar/data/1089748/000104746913000888/0001047469-13-000888-index.html,https://www.sec.gov/Archives/edgar/data/1307954/000104746914000771/a2218178z10-k.htm,https://www.sec.gov/Archives/edgar/data/1307954/000104746915000900/a2222928z10-k.htm,https://www.sec.gov/Archives/edgar/data/1089748/000104746916010161/0001047469-16-010161-index.html,https://www.sec.gov/Archives/edgar/data/1307954/000104746917000682/0001047469-17-000682-index.html,https://www.sec.gov/Archives/edgar/data/1307954/000155837018001028/0001558370-18-001028-index.html,https://www.sec.gov/Archives/edgar/data/1307954/000155837019000573/0001558370-19-000573-index.html,https://www.sec.gov/Archives/edgar/data/1307954/000155837020000780/0001558370-20-000780-index.html,https://www.sec.gov/Archives/edgar/data/1307954/000143774921002772/0001437749-21-002772-index.htm,https://www.sec.gov/Archives/edgar/data/1307954/000143774922003430/0001437749-22-003430-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,22500000,197800000,243200000,142800000,263200000,154000000,657000000,1745000000,966000000,554000000,387000000,520000000,860000000,257000000,414000000,470000000,340000000,525000000,1593000000,1041000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,22500000,197800000,243200000,142800000,263200000,154000000,657000000,1745000000,966000000,554000000,387000000,520000000,860000000,257000000,414000000,470000000,340000000,525000000,1593000000,1041000000
34,Net Receivables,- -,- -,396200000,1102700000,1540400000,1482600000,1257300000,1262700000,913000000,1019000000,1479000000,1534000000,1583000000,1575000000,1707000000,1449000000,1435000000,1283000000,1272000000,953000000,910000000,1519000000
