,https://roic.ai/company/RSRV,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , 
1,Revenue,1762542,2909782,4264546,8523346,9932949,14332718,20706010,9013233,13829341,12962965,15134381,18812673,21167812,8450986,6291138,6309590,8327498,6628289,4082098,9116426
2,COGS,1355192,509482,620492,1005720,1061304,1672576,2272224,1608992,1942855,2038933,2414761,3009953,3377812,2601044,2140756,4323358,4495538,5202424,- -,- -
3,Gross Profit,407350,2400300,3644054,7517626,8871645,12660142,18433786,7404241,11886486,10924032,12719620,15802720,17790000,5849942,4150382,1986232,3831960,1425865,4082098,- -
4,Gross Profit Ratio,0.2311,0.8249,0.8545,0.8820,0.8932,0.8833,0.8903,0.8215,0.8595,0.8427,0.8404,0.8400,0.8404,0.6922,0.6597,0.3148,0.4602,0.2151,1.0000,- -
5,Research and Development Exp.,541824,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,783850,- -,1056818,1304033,1459130,1434068,1410293,1418477,1603639,1596558,1664540,1640115,1580776,1620955,1679507,1721568,1798991,2311144
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,783850,- -,1056818,1304033,1459130,1434068,1410293,1418477,1603639,1596558,1664540,1640115,1580776,1620955,1679507,1721568,1798991,2311144
9,Other Expenses,724820,1778570,1058095,2739649,2594590,1710356,4446177,4428253,3641512,3504442,5474680,6632917,7419342,7676257,3149109,883593,195111,709753,5438882,6164398
10,Operating Expenses,1266644,1778570,1841945,2739649,3651408,3014389,5905307,5862321,5051805,4922919,7078319,8229475,9083882,9316372,4729885,2504548,1874618,2431321,7237873,8475542
11,COGS and Expenses,2621836,2288052,2462437,3745369,4712712,4686965,8177531,7471313,6994660,6961852,9493080,11239428,12461694,11917416,6870641,6827906,6370156,7633745,7237873,8475542
12,Interest Income ,- -,- -,- -,- -,326598,498430,339126,73528,36261,22774,- -,22833,17177,13353,46370,130498,348615,520319,147867,- -
13,Interest Expense (Gain),- -,- -,- -,- -,4287,4247,4348,25219,31941,50181,- -,34817,45048,48047,47532,47143,47724,46157,66703,- -
14,Depreciation and Amortization,- -,829672,918864,1389678,1790729,1472849,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3315822,2754923
15,EBITDA,-882728,1588774,3120926,6523609,7546072,11928730,13301902,1846593,7148489,7145082,6205666,8000346,8925164,-3309830,-209579,150248,2749296,-443681,1426270,4061107
16,EBITDA ratio,-0.5008,0.5460,0.7318,0.7654,0.7597,0.8323,0.6424,0.2049,0.5169,0.5512,0.4100,0.4253,0.4216,-0.3917,-0.0333,0.0238,0.3301,-0.0669,0.3494,0.4455
17,Operating Income,-859294,621730,1802109,4777977,5220237,9645753,12528479,1541920,6834681,6001113,5641301,7573245,8706118,-3466430,-579503,-518316,1957342,-1005456,-3155775,640884
18,Operating Income ratio,-0.4875,0.2137,0.4226,0.5606,0.5255,0.6730,0.6051,0.1711,0.4942,0.4629,0.3727,0.4026,0.4113,-0.4102,-0.0921,-0.0821,0.2350,-0.1517,-0.7731,0.0703
19,Total Other Income Expenses (Gains),-23434,137372,399953,355954,530819,805881,769075,279454,281867,1093788,564365,392284,173998,108553,322392,621421,744230,515618,665227,555522
20,Income Before Tax,-882728,759102,2202062,5133931,5751056,10451634,13297554,1821374,7116548,7094901,6205666,7965529,8880116,-3357877,-257111,103105,2701572,-489838,-2490548,1196406
21,Income Before Tax Ratio,-0.5008,0.2609,0.5164,0.6023,0.5790,0.7292,0.6422,0.2021,0.5146,0.5473,0.4100,0.4234,0.4195,-0.3973,-0.0409,0.0163,0.3244,-0.0739,-0.6101,0.1312
22,Income Tax expense (Gain),-265852,259216,453071,1321836,1476135,2923758,3649861,213975,1865889,1815862,1651821,1897487,2117241,-1472545,-172886,-582582,387880,-223075,- -,54889
23,Net Income,-616876,499886,1748991,3812095,4274921,7527876,9647693,1607399,5250659,5279039,4553845,6068042,6762875,-1885332,-84225,685687,2313692,-266763,-1956255,1251295
24,Net Income ratio,-0.3500,0.1718,0.4101,0.4473,0.4304,0.5252,0.4659,0.1783,0.3797,0.4072,0.3009,0.3226,0.3195,-0.2231,-0.0134,0.1087,0.2778,-0.0402,-0.4792,0.1373
25,EPS,-3.70,3.00,10.56,23.17,26.14,46.25,59.43,9.92,32.51,32.77,28.30,37.90,42.55,-11.89,-0.53,4.35,14.69,-1.70,-12.49,7.99
26,EPS Diluted,-3.70,3.00,10.56,23.17,26.14,46.25,59.43,9.92,32.51,32.77,28.30,37.90,42.55,-11.89,-0.53,4.35,14.69,-1.70,-12.49,7.99
27,Weighted Average Shares Outstanding,166872,166408,165661,164531,163544,162759,162325,162040,161493,161117,160933,160092,158945,158557,158107,157788,157458,156769,156595,156595
28,Weighted Average Shares Outstanding Diluted,166872,166408,165661,164531,163544,162759,162325,162040,161493,161117,160933,160092,158945,158557,158107,157788,157458,156769,156595,156595
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/83350/000106083005000115/0001060830-05-000115-index.htm,- -,https://www.sec.gov/Archives/edgar/data/83350/000114420407016120/0001144204-07-016120-index.htm,https://www.sec.gov/Archives/edgar/data/83350/000114036108008186/0001140361-08-008186-index.htm,https://www.sec.gov/Archives/edgar/data/83350/000114036109008282/0001140361-09-008282-index.htm,https://www.sec.gov/Archives/edgar/data/83350/000114036110014533/0001140361-10-014533-index.htm,https://www.sec.gov/Archives/edgar/data/83350/000114036111019792/0001140361-11-019792-index.htm,https://www.sec.gov/Archives/edgar/data/83350/000138713112000895/0001387131-12-000895-index.htm,https://www.sec.gov/Archives/edgar/data/83350/000138713113001017/0001387131-13-001017-index.htm,https://www.sec.gov/Archives/edgar/data/83350/000138713114001129/0001387131-14-001129-index.htm,https://www.sec.gov/Archives/edgar/data/83350/000138713115001075/0001387131-15-001075-index.htm,https://www.sec.gov/Archives/edgar/data/83350/000143774916028590/0001437749-16-028590-index.htm,https://www.sec.gov/Archives/edgar/data/83350/000143774917005485/0001437749-17-005485-index.htm,https://www.sec.gov/Archives/edgar/data/83350/000143774918005798/0001437749-18-005798-index.htm,https://www.sec.gov/Archives/edgar/data/83350/000143774919005801/0001437749-19-005801-index.htm,https://www.sec.gov/Archives/edgar/data/83350/000143774920006401/0001437749-20-006401-index.htm,https://www.sec.gov/Archives/edgar/data/83350/000143774921007732/0001437749-21-007732-index.htm,https://www.sec.gov/Archives/edgar/data/83350/000143774922007779/0001437749-22-007779-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,314476,346167,570497,704121,1321707,1232376,1430832,1051141,2940967,10150742,10842311,10764506,15203558,13937215,8071854,4767810,6428499,2738338,16187085,10129157
32,Short-Term Investments,4431863,4517679,4980721,5776534,7762981,12782732,15338801,16420847,13552935,7053802,7041925,7240531,7099779,9052777,13917343,16931480,16703472,19062985,604991,- -
33,Cash and Short-Term Investments,4746339,4863846,5551218,6480655,9084688,14015108,16769633,17471988,16493902,17204544,17884236,18005037,22303337,22989992,21989197,21699290,23131971,21801323,16792076,10129157
34,Net Receivables,520217,436703,669008,2092067,2668942,2312323,2738429,1759065,2082491,2719987,2254246,2785668,2296749,1132920,1301439,1331654,1080964,1078381,794162,1362963
