,https://roic.ai/company/AVLNF,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,100000,100000,100000,100000,1,1,60602,2685,1478,414,87588,92446,357539,159982,- -,- -,- -,- -,- -,- -,- -,- -,61777,53023,134138,11249
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,18538,20617,163292,113504
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,159982,- -,- -,- -,- -,- -,- -,- -,- -,43239,32406,-29154,-102255
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1.0000,- -,- -,- -,- -,- -,- -,- -,- -,0.6999,0.6112,-0.2173,-9.0901
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2851050,4622588,9896885,12031237,8429483,5565599,4738200,3566853,3060900,2874045,2493847,1928004,2247271
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2851050,4622588,9896885,12031237,8429483,5565599,4738200,3566853,3060900,2874045,2493847,1928004,2247271
9,Other Expenses,400000,500000,700000,600000,465866,534600,458982,313562,433443,329375,1357497,1469699,2822979,50466,81385,173302,272051,264204,167680,89512,76269,59333,17269,11861,127353,53812
10,Operating Expenses,400000,500000,700000,600000,465866,534600,458982,313562,433443,329375,1357497,1469699,2822979,2901516,4703973,10070187,12303288,8693687,5733279,4827712,3643122,3120233,2891314,2505708,2055357,2301083
11,COGS and Expenses,400000,500000,700000,600000,465866,534600,458982,313562,433443,329375,1357497,1469699,2822979,2901516,4703973,10070187,12303288,8693687,5733279,4827712,3643122,3120233,2909852,2526325,2218649,2414587
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,159982,80557,605142,1105731,374281,88075,66014,35160,28211,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,19826,6250,8549,- -,- -,- -,- -,- -,- -,634912,177503,43530,39360
14,Depreciation and Amortization,- -,- -,- -,- -,2896,3893,4002,2901,1376,1753,7809,18290,40806,50466,81385,173302,231850,211085,167680,55730,38282,35656,- -,- -,- -,- -
15,EBITDA,-300000,-1400000,-1300000,-1300000,-1291895,-471066,-1040261,-901702,-1668802,-607072,-1279772,-1372979,-2724275,-3289627,-4542031,-9291743,-12116801,-5602844,-5364451,-6009717,-3257017,-2501810,-2824064,-3363508,-5371215,-3915544
16,EBITDA ratio,-3.0000,-14.0000,-13.0000,-13.0000,-1291895.0000,-471066.0000,-17.1655,-335.8294,-1129.0947,-1466.3575,-14.6113,-14.8517,-7.6195,-20.5625,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-45.7138,-63.4349,-40.0425,-348.0793
17,Operating Income,-300000,-1400000,-1300000,-1200000,-1356638,-640234,-960253,-930353,-1689031,-658382,-1285483,-1377253,-2693807,-3359919,-4629666,-9473594,-11197557,-11217273,-5827613,-4981083,-3607962,-3092022,- -,- -,- -,- -
18,Operating Income ratio,-3.0000,-14.0000,-13.0000,-12.0000,-1356638.0000,-640234.0000,-15.8452,-346.5002,-1142.7815,-1590.2947,-14.6765,-14.8979,-7.5343,-21.0019,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,- -,- -,- -,- -
19,Total Other Income Expenses (Gains),100000,-800000,-600000,-700000,-833176,54210,-643558,-590114,-1222772,49557,-2098,-14016,-71274,- -,-9837,52208,45363,18109,-18739,1457120,-347823,-582767,-610901,-1067709,-3330234,-1551566
20,Income Before Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,-608825,-1287581,-1391269,-2765081,-3359919,-4639503,-9421386,-11152194,-11199164,-5846352,-3523963,-3955785,-3674789,-3458976,-3541011,-5414745,-3954904
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1470.5918,-14.7004,-15.0495,-7.7336,-21.0019,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-55.9913,-66.7825,-40.3670,-351.5783
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,-136092,- -,-488250,-1373500,-405000,-540203,- -,- -,- -,-115771,-347589,-416140,-317468,-218232,-154676,-47481,-199781
23,Net Income,-300000,-1400000,-1300000,-1300000,-1294791,-474959,-1044263,-904603,-1670178,-472733,-1287581,-903019,-1391581,-2954919,-4099300,-9421386,-11152194,-11199164,-5730581,-3176374,-3539645,-3357321,-3240744,-3386335,-5367264,-3755123
24,Net Income ratio,-3.0000,-14.0000,-13.0000,-13.0000,-1294791.0000,-474959.0000,-17.2315,-336.9099,-1130.0257,-1141.8671,-14.7004,-9.7681,-3.8921,-18.4703,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-52.4587,-63.8654,-40.0130,-333.8184
25,EPS,-0.03,-0.09,-0.08,-0.07,-0.06,-0.02,-0.04,-0.04,-0.06,-0.02,-0.03,-0.02,-0.02,-0.04,-0.05,-0.10,-0.11,-0.11,-0.05,-0.02,-0.02,-0.02,-0.01,-0.01,-0.02,-0.01
