,https://roic.ai/company/XP,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , 
1,Revenue,763966000,1422449000,2280436000,3958036000,5502592000,6801679000
2,COGS,450177000,1147485000,1167133000,3230211000,5269933000,4035323000
3,Gross Profit,313789000,274964000,1113303000,727825000,232659000,2766356000
4,Gross Profit Ratio,0.4107,0.1933,0.4882,0.1839,0.0423,0.4067
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,470853000,172661000,1176805000,498743000,687838000,4692698000
7,Selling and Marketing Exp.,24484000,32881000,96075000,155115000,134915000,227483000
8,"Selling, General and Administrative Exp.",495337000,205542000,1272880000,653858000,822753000,4920181000
9,Other Expenses,3946000,33178000,-9544000,-47007000,-78706000,-263783000
10,Operating Expenses,499283000,238720000,1263336000,606851000,744047000,4656398000
11,COGS and Expenses,949460000,1386205000,2430469000,3837062000,6013980000,8691721000
12,Interest Income ,- -,- -,- -,- -,5521000,7604000
13,Interest Expense (Gain),- -,61093000,72310000,84400000,52671000,135732000
14,Depreciation and Amortization,23074000,27403000,52788000,90710000,143261000,231730000
15,EBITDA,396990000,654336000,765826000,1710219000,2612286000,4179592000
16,EBITDA ratio,0.5196,0.4600,0.3358,0.4321,0.4747,0.6145
17,Operating Income,- -,- -,- -,- -,- -,- -
18,Operating Income ratio,- -,- -,- -,- -,- -,- -
19,Total Other Income Expenses (Gains),559410000,539263000,790761000,1423135000,2932801000,5705216000
20,Income Before Tax,373916000,575507000,640728000,1544109000,2421413000,3815174000
21,Income Before Tax Ratio,0.4894,0.4046,0.2810,0.3901,0.4400,0.5609
22,Income Tax expense (Gain),130151000,151966000,175398000,454625000,339924000,222714000
23,Net Income,243765000,413874000,465330000,1080484000,2076430000,3589416000
24,Net Income ratio,0.3191,0.2910,0.2041,0.2730,0.3774,0.5277
25,EPS,0.44,0.75,0.84,1.97,3.76,6.50
26,EPS Diluted,0.44,0.75,0.84,1.97,3.71,6.42
27,Weighted Average Shares Outstanding,551800326,551800326,551800326,551800326,552291000,552291000
28,Weighted Average Shares Outstanding Diluted,551800326,551800326,551800326,551800326,559108000,559108000
29,SEC Link,- -,- -,- -,- -,- -,- -
30,BALANCE SHEET, , , , , , 
31,Cash and Cash Equivalents,- -,153218000,68407000,109922000,1954788000,2485641000
32,Short-Term Investments,- -,671842000,1594090000,3121101000,20090610000,33738028000
33,Cash and Short-Term Investments,- -,825060000,1662497000,3231023000,22045398000,36223669000
34,Net Receivables,- -,171873000,402550000,705349000,4552310000,13442029000
35,Inventory,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,65343000,96723000,89684000,1393537000,3982750000
37,Total Current Assets,- -,1062276000,2161770000,4026056000,27991245000,53648448000
38,PP&E,- -,47073000,99127000,369942000,387166000,598473000
39,Goodwill,- -,372701000,382500000,382500000,474366000,542745000
40,Intangible Assets,- -,110506000,122415000,170952000,239196000,278230000
41,Intangible Assets,- -,483207000,504915000,553452000,713562000,820975000
42,Investments,- -,4742453000,13077295000,34220644000,58816004000,71788173000
43,Tax Assets,- -,226479000,152425000,284533000,505046000,1273069000
44,Other Non-Current Assets,- -,574612000,1728735000,4168141000,7616138000,11211264000
45,Total Non-Current Assets,- -,6073824000,15562497000,39596712000,68037916000,85691954000
46,Other Assets,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,7136100000,17724267000,43622768000,96029161000,139340402000
48,Accounts Payable,- -,71579000,134579000,266813000,859550000,867526000
49,Short-Term Debt,- -,130340000,114489000,116450000,51656000,- -
50,Tax Payable,- -,60853000,103121000,345331000,435849000,549651000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,3180640000,5448968000,9539034000,21774755000,48256764000
53,Total Current Liabilities,- -,3382559000,5698036000,9922297000,22685961000,49124290000
54,Long-Term Debt,- -,736684000,761658000,1356264000,776129000,1928782000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,6811000,12025000,5132000,8352000,28934000
57,Other Non-Current Liabilities,- -,1858324000,9160836000,25183116000,61661105000,73838767000
58,Total Non-Current Liabilities,- -,2601819000,9934519000,26544512000,62445586000,75796483000
59,Other Liabilities,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,5984378000,15632555000,36466809000,85131547000,124920773000
62,Preferred Stock,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,254622000,927916000,23000,23000,23000
64,Retained Earnings,- -,- -,- -,- -,- -,- -
