,https://roic.ai/company/LFAP,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,INCOME STATEMENT, , , , , , , , , , , 
1,Revenue,- -,- -,- -,230000,325760,139660,12060,3790,2570,3340,560
2,COGS,- -,- -,30000,180000,273140,115600,8170,50,- -,- -,827201
3,Gross Profit,- -,- -,-30000,50000,52620,24060,3890,3740,- -,3340,-826641
4,Gross Profit Ratio,- -,- -,-Infinity,0.2174,0.1615,0.1723,0.3226,0.9868,- -,1.0000,-1476.1446
5,Research and Development Exp.,- -,- -,110000,30000,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,33471,- -,- -,459571,302969,259892,256099,747963,1757274,928438
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,50147,33432
8,"Selling, General and Administrative Exp.",- -,33471,- -,- -,459571,302969,259892,256099,747963,1807421,961870
9,Other Expenses,- -,- -,295865,779172,38667,38352,9799,4470,150,4499,27592
10,Operating Expenses,- -,33471,405865,809172,498238,341321,269691,260569,748113,1811920,989462
11,COGS and Expenses,- -,10000,440000,990000,867870,456920,277860,260620,747960,3700180,1816663
12,Interest Income ,- -,- -,23,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,4057,- -,- -,- -,- -,- -,- -,1024179,2463310
14,Depreciation and Amortization,- -,- -,3337,31053,38667,38352,9798,975,150,4499,27592
15,EBITDA,- -,-10000,-440000,-718947,-629433,-577418,-256012,-255855,-834550,-4122802,-1617853
16,EBITDA ratio,- -,-Infinity,-Infinity,-3.1259,-1.9322,-4.1345,-21.2282,-67.5079,-324.7276,-1234.3719,-2889.0232
17,Operating Income,- -,-10000,437887,753549,445619,-317261,-265807,-256830,-745539,-3696843,-1816103
18,Operating Income ratio,- -,-Infinity,Infinity,3.2763,1.3679,-2.2717,-22.0404,-67.7652,-290.0930,-1106.8392,-3243.0411
19,Total Other Income Expenses (Gains),- -,- -,-877887,-1503549,-1113719,-298509,-3,- -,-89161,-1454637,-2292652
20,Income Before Tax,- -,-10000,-440000,-750000,-668100,-615770,-265810,-256830,-834700,-5151480,-4108755
21,Income Before Tax Ratio,- -,-Infinity,-Infinity,-3.2609,-2.0509,-4.4091,-22.0406,-67.7652,-324.7860,-1542.3593,-7337.0625
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,- -,-10000,-440000,-750000,-668100,-615770,-265810,-256830,-834700,-5151480,-4108755
24,Net Income ratio,- -,-Infinity,-Infinity,-3.2609,-2.0509,-4.4091,-22.0406,-67.7652,-324.7860,-1542.3593,-7337.0625
25,EPS,- -,-0.00,-0.15,-0.15,-0.15,-0.05,-0.01,-0.01,-0.01,-0.02,-0.02
26,EPS Diluted,- -,-0.00,-0.15,-0.15,-0.15,-0.05,-0.01,-0.01,-0.01,-0.02,-0.02
27,Weighted Average Shares Outstanding,8000000,7397236,3337226,5066692,5190631,13065661,21417835,27006662,93166625,210883281,203791785
28,Weighted Average Shares Outstanding Diluted,8000000,7397236,3337226,5066692,5190631,13065661,21417835,27006662,93166625,210883281,203791785
29,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1510247/000147793212000698/0001477932-12-000698-index.html,https://www.sec.gov/Archives/edgar/data/1510247/000147793213001731/0001477932-13-001731-index.htm,https://www.sec.gov/Archives/edgar/data/1510247/000147793214001696/0001477932-14-001696-index.htm,https://www.sec.gov/Archives/edgar/data/1510247/000161577415000760/0001615774-15-000760-index.htm,https://www.sec.gov/Archives/edgar/data/1510247/000161577416004984/0001615774-16-004984-index.htm,https://www.sec.gov/Archives/edgar/data/1510247/000161577417001739/0001615774-17-001739-index.htm,https://www.sec.gov/Archives/edgar/data/1510247/000161577418002742/0001615774-18-002742-index.htm,https://www.sec.gov/Archives/edgar/data/1510247/000161577419005830/0001615774-19-005830-index.htm,https://www.sec.gov/Archives/edgar/data/1510247/000149315220008999/0001493152-20-008999-index.htm,https://www.sec.gov/Archives/edgar/data/1510247/000149315221008914/0001493152-21-008914-index.htm
30,BALANCE SHEET, , , , , , , , , , , 
31,Cash and Cash Equivalents,10000,- -,790000,40000,19940,4970,1390,1080,40910,13190,30312
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,10000,- -,790000,40000,19940,4970,1390,1080,40910,13190,30312
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,100000,100000
35,Inventory,- -,- -,- -,140000,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,10000,50000,- -,4000,940,940,600,590,9220,20983
37,Total Current Assets,10000,10000,840000,180000,23940,5910,2330,1680,41500,122410,151295
38,PP&E,- -,- -,- -,10000,- -,650,- -,- -,- -,1800,- -
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,80000,82180,10270,1130,150,- -,73080,78285
41,Intangible Assets,- -,- -,- -,80000,82180,10270,1130,150,- -,73080,78285
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,10000,- -,- -,-32910,- -,-10,- -,- -,-10,- -
45,Total Non-Current Assets,- -,10000,- -,90000,49270,10920,1120,150,- -,74870,78285
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,10000,20000,840000,270000,73210,16830,3450,1830,41500,197280,229580
48,Accounts Payable,- -,- -,40000,70000,- -,- -,- -,- -,- -,772070,920569
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,37585,84950,464640,1807391
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,10000,10000,10000,10000,287260,456430,667350,733445,667410,1833220,2762200
53,Total Current Liabilities,10000,10000,50000,80000,287260,456430,667350,771030,752360,3069930,5490160
54,Long-Term Debt,- -,- -,- -,- -,10120,- -,- -,- -,- -,- -,1533534
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,63560,- -,- -,- -,- -,- -,- -
58,Total Non-Current Liabilities,- -,- -,- -,- -,73680,- -,- -,- -,- -,- -,1533534
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,10000,10000,50000,80000,360940,456430,667350,771030,752360,3069930,5490160
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,205,180
63,Common Stock,- -,40000,80000,80000,91530,19920,25310,87700,121980,169220,263725
64,Retained Earnings,- -,-40000,-490000,-1240000,-1906990,-2522760,-2788560,-3045390,-3880230,-9077610,-13239189
65,Other Comprehensive Income/Loss,- -,-28601,- -,- -,- -,- -,- -,- -,- -,- -,- -
66,Other Total Stockholders Equity,- -,40006,1196557,1345725,1527732,2063246,2099356,2188485,3047395,6035540,7714704
67,Total Stockholders Equity,- -,11405,786557,185725,-287728,-439594,-663894,-769205,-710855,-2872645,-5260580
68,Total Liabilities And Stockholders Equity,10000,21405,836557,265725,73212,16836,3456,1825,41505,197285,229580
