,https://roic.ai/company/XOS,2020,2021
0,INCOME STATEMENT, , 
1,Revenue,- -,5048000
2,COGS,- -,7410000
3,Gross Profit,- -,-2362000
4,Gross Profit Ratio,- -,-0.4679
5,Research and Development Exp.,- -,- -
6,General and Administrative Exp.,330420,27197000
7,Selling and Marketing Exp.,- -,3519000
8,"Selling, General and Administrative Exp.",330420,30716000
9,Other Expenses,- -,20077000
10,Operating Expenses,330420,50793000
11,COGS and Expenses,- -,58203000
12,Interest Income ,- -,- -
13,Interest Expense (Gain),- -,- -
14,Depreciation and Amortization,- -,736000
15,EBITDA,- -,24139000
16,EBITDA ratio,- -,4.7819
17,Operating Income,-11872000,-53155000
18,Operating Income ratio,-Infinity,-10.5299
19,Total Other Income Expenses (Gains),11519554,76558000
20,Income Before Tax,-352446,23403000
21,Income Before Tax Ratio,-Infinity,4.6361
22,Income Tax expense (Gain),- -,2000
23,Net Income,-352446,23401000
24,Net Income ratio,-Infinity,4.6357
25,EPS,-0.23,0.22
26,EPS Diluted,-0.23,0.22
27,Weighted Average Shares Outstanding,72027000,72027000
28,Weighted Average Shares Outstanding Diluted,72027000,72027000
29,SEC Link,https://www.sec.gov/Archives/edgar/data/1819493/000121390021019298/0001213900-21-019298-index.htm,https://www.sec.gov/Archives/edgar/data/1819493/000181949322000013/0001819493-22-000013-index.htm
30,BALANCE SHEET, , 
31,Cash and Cash Equivalents,821,16142
32,Short-Term Investments,375008,94696
33,Cash and Short-Term Investments,375829,110838
34,Net Receivables,- -,3353
35,Inventory,- -,30883
36,Other Current Assets,-374565,20884
37,Total Current Assets,1264,165958
38,PP&E,- -,7426
39,Goodwill,- -,- -
40,Intangible Assets,- -,- -
41,Intangible Assets,- -,- -
42,Investments,- -,54816
43,Tax Assets,- -,- -
44,Other Non-Current Assets,375008,506
45,Total Non-Current Assets,375008,62748
46,Other Assets,- -,- -
47,Total Assets,376272,228706
48,Accounts Payable,5,10122
49,Short-Term Debt,- -,94696
50,Tax Payable,- -,- -
51,Deferred Revenue,- -,- -
52,Other Current Liabilities,117,-88835
53,Total Current Liabilities,123,15983
54,Long-Term Debt,- -,54816
55,Deferred Revenue,- -,- -
56,Deferred Tax Liabilities,- -,- -
57,Other Non-Current Liabilities,13125,- -
58,Total Non-Current Liabilities,13125,54816
59,Other Liabilities,- -,- -
60,Capital Lease Obligations,- -,- -
61,Total Liabilities,13248,54313
62,Preferred Stock,- -,- -
63,Common Stock,- -,7512
64,Retained Earnings,- -,-4093
65,Other Comprehensive Income/Loss,- -,-381
66,Other Total Stockholders Equity,5000,171355
67,Total Stockholders Equity,5000,174393
68,Total Liabilities And Stockholders Equity,18248,228706
69,Minority Interest,358025,- -
70,Total Liabilities & Equity,376272,228706
71,SEC Link,https://www.sec.gov/Archives/edgar/data/1819493/000121390021019298/0001213900-21-019298-index.htm,https://www.sec.gov/Archives/edgar/data/1819493/000181949322000013/0001819493-22-000013-index.htm
72,CASH FLOW STATEMENT, , 
73,Net Income,- -,23401000
74,Depreciation and Amortization,- -,736000
75,Deferred Income Tax,- -,- -
76,Stock Based Compensation,- -,1658000
77,Change in Working Capital,- -,- -
78,Accounts Receivable,- -,-2973000
79,Inventory,- -,1004000
80,Accounts Payable,- -,9009000
81,Other Working Capital,- -,149975
82,Other Non-Cash Items,- -,-114690000
83,Cash Provided by Operating Activities,- -,-88895000
84,CAPEX,- -,-4915000
85,Acquisitions Net,- -,- -
86,Purchases of Investments,- -,-152651000
87,Sales/Maturities of Investments,- -,2422000
88,Other Investing Activites,- -,1000
89,Cash Used for Investing Activites,- -,-155143000
90,Debt Repayment,- -,-335000
91,Common Stock Issued,- -,31757000
92,Common Stock Repurchased,- -,- -
93,Dividends Paid,- -,- -
94,Other Financing Activites,- -,221433000
95,Cash Used/Provided by Financing Activities,- -,252855000
96,Effect of Forex Changes on Cash,- -,- -
97,Net Change In Cash,- -,8817000
98,Cash at the End of Period,- -,19176000
99,Cash at the Beginning of Period,- -,- -
100,Free Cash Flow,- -,-93810000
101,SEC Link,undefined,https://www.sec.gov/Archives/edgar/data/1819493/000181949322000013/0001819493-22-000013-index.htm
102,false,,
