,https://roic.ai/company/LBSR,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , 
1,Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
2,COGS,- -,- -,- -,- -,- -,- -,- -,773802,- -,- -,- -,- -,- -,- -,89806,58501,47481,73016,125291
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,-773802,- -,- -,- -,- -,- -,- -,-89806,-58501,-47481,-73016,-125291
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,-Infinity,- -,- -,- -,- -,- -,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,2134996,498178,16564067,2052655,2179148,1730409,1019460,840523,792906,640991,729665,394780,469601
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,- -,2134996,498178,16564067,2052655,2179148,1730409,1019460,840523,792906,640991,729665,394780,469601
9,Other Expenses,65963,- -,2160674,4694804,3382208,4092180,277509,225305,61129,63297,41610,32827,27324,22509,- -,- -,- -,- -,- -
10,Operating Expenses,65963,- -,2160674,4694804,3382208,4092180,2412505,723483,16625196,2115952,2220758,1763236,1046784,863032,792906,640991,729665,394780,469601
11,COGS and Expenses,65963,- -,2160674,4694804,3382208,4092180,2412505,1497285,16625196,2115952,2220758,1763236,1046784,863032,882712,699492,777146,467796,594892
12,Interest Income ,- -,- -,- -,- -,- -,- -,15233,41,776,869,134,15,5,1,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,2075885,1110176,673405,364804,450880,522953,643430,676495,325195,320567,525011,155216,185636
14,Depreciation and Amortization,- -,- -,17416,27185,59144,1576839,277509,225305,61129,63297,41610,32827,27324,22509,5666,4377,2360,2684,6336
15,EBITDA,-73434,- -,-2143258,-4667619,-3323064,-3944646,-2134996,-1271980,-16564067,-2052655,-2179148,-1730409,-1019460,-840523,-877046,-695115,-774786,-465112,-588556
16,EBITDA ratio,-Infinity,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
17,Operating Income,-65963,- -,-2160674,-4694804,-3382208,-4092180,-2412505,-1682655,-16625196,-2115952,-2232877,-1763236,-1046784,-863032,-882712,-699492,-777146,-467796,-594892
18,Operating Income ratio,-Infinity,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
19,Total Other Income Expenses (Gains),7538,- -,- -,66839,114260,-1605755,-1763561,-1127188,-2567594,-345507,-411910,-554811,5162215,-706630,-613838,-293307,-528106,130327,-154853
20,Income Before Tax,-58425,- -,- -,-4627965,-3267948,-5697935,-4176066,-2809843,- -,-2461459,-2644787,-2318047,4115431,-1569662,-1496550,-992799,-1305252,-337469,-749745
21,Income Before Tax Ratio,-Infinity,- -,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,- -,-Infinity,-Infinity,-Infinity,Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,-58425,- -,-2155129,-4627965,-3267948,-5697935,-4176066,-2809843,-19865419,-2461459,-2644787,-2318047,4115431,-1569662,-1496550,-992799,-1305252,-337469,-749745
24,Net Income ratio,-Infinity,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
25,EPS,-20.00,- -,-120.00,-260.00,-160.00,-260.00,-100.00,-15.00,-20.00,-1.99,-1.95,-1.44,2.33,-0.62,-0.40,-0.23,-0.22,-0.04,-0.08
26,EPS Diluted,-20.00,- -,-120.00,-260.00,-160.00,-260.00,-100.00,-15.00,-20.00,-1.99,-1.95,-1.44,2.05,-0.62,-0.40,-0.23,-0.22,-0.04,-0.08
27,Weighted Average Shares Outstanding,10000,- -,18935,18227,19262,21371,45855,165874,888525,1237085,1355534,1606878,1768276,2525682,3750983,4328788,5932315,8721447,9746433
28,Weighted Average Shares Outstanding Diluted,10000,- -,18935,18227,19262,21371,45855,165874,888525,1237085,1355534,1606878,2009853,2525682,3750983,4328788,5932315,8721447,9746433
29,SEC Link,- -,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1172178/000106299308001955/form10ksb.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/1172178/000106299311001749/0001062993-11-001749-index.html,https://www.sec.gov/Archives/edgar/data/1172178/000106299312001485/0001062993-12-001485-index.htm,https://www.sec.gov/Archives/edgar/data/1172178/000106299313002635/0001062993-13-002635-index.htm,https://www.sec.gov/Archives/edgar/data/1172178/000106299315001959/0001062993-15-001959-index.htm,https://www.sec.gov/Archives/edgar/data/1172178/000106299315002327/0001062993-15-002327-index.html,https://www.sec.gov/Archives/edgar/data/1172178/000121390016013553/0001213900-16-013553-index.htm,https://www.sec.gov/Archives/edgar/data/1172178/000149315217004625/0001493152-17-004625-index.html,https://www.sec.gov/Archives/edgar/data/1172178/000149315218007184/0001493152-18-007184-index.htm,https://www.sec.gov/Archives/edgar/data/1172178/000149315219007636/0001493152-19-007636-index.htm,https://www.sec.gov/Archives/edgar/data/1172178/000149315220007432/0001493152-20-007432-index.html,https://www.sec.gov/Archives/edgar/data/1172178/000149315221010343/0001493152-21-010343-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,16820,- -,531044,933102,676309,1265187,63250,20522,1100315,155869,117716,55089,53517,536,5042,36086,890,25024,6718
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,16820,- -,531044,933102,676309,1265187,63250,20522,1100315,155869,117716,55089,53517,536,5042,36086,890,25024,6718
34,Net Receivables,- -,- -,- -,- -,37513,- -,1888,- -,- -,- -,- -,1000,- -,- -,- -,- -,- -,- -,- -
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,135902,35464,36403,467897,192887,136715,8060,14151,8662,47161,89340,78265,3710,14220,7044,8311,4815
37,Total Current Assets,16820,- -,666946,968566,750225,1733084,258025,157237,1108375,170020,126378,103250,142857,78801,8752,50306,7934,33335,11533
38,PP&E,- -,- -,24095,211000,346521,1107275,826523,409631,163151,129510,81200,49792,32338,14132,8466,4089,1739,39892,33556
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,3000,550562,140276,22690,3000,3000,- -,- -,- -,- -,- -,- -,- -,- -,- -
45,Total Non-Current Assets,- -,- -,24095,211000,349521,1657837,966799,432321,166151,132510,81200,49792,32338,14132,8466,4089,1739,39892,33556
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,16820,- -,691041,1179566,1099746,3390921,1224824,589558,1274526,302530,207578,153042,175195,92933,17218,54395,9673,73227,45089
48,Accounts Payable,20917,- -,96317,160075,111315,283574,44219,266478,40315,12470,151480,254261,250932,- -,478635,433919,761209,509469,467957
49,Short-Term Debt,- -,- -,- -,- -,35025,1715648,2357495,3100653,3003763,3734805,3735263,4198684,522167,109231,30821,261996,108000,319064,371240
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,25000,- -,- -,- -,- -,239524,114966,415733,258083,710338,1264721,1853036,621697,913333,610695,853260,834230,913342,1163907
53,Total Current Liabilities,45917,- -,96317,160075,146340,2238746,2516680,3782864,3302161,4457613,5151464,6305981,1394796,1022564,1120151,1549175,1703439,1741875,2003104
54,Long-Term Debt,- -,- -,- -,- -,47742,337836,80798,22750,22024,17393,12305,6710,107258,50562,- -,- -,- -,- -,33162
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,2783,597819,- -,30422,- -,53948,- -,- -,- -,- -,- -,- -,- -,37400,20300
58,Total Non-Current Liabilities,- -,- -,- -,- -,50525,935655,80798,53172,22024,71341,12305,6710,107258,50562,- -,- -,- -,37400,53462
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,37808,2313467,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,45917,- -,96317,160075,196865,3174401,2597478,3836036,3324185,4528954,5163769,6312691,1502054,1073126,1120151,1549175,1703439,1779275,2056566
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,20000,- -,33100,36989,41101,43331,193947,2476,6024,6359,7408,8302,9200,15689,20038,24464,40975,45584,15001
64,Retained Earnings,-129097,- -,-2469024,-11952591,-15220539,-20918474,-25094540,-27904383,-47769802,-50231261,-52876048,-55194095,-51078664,-52648326,-54144876,-55137675,-56442927,-56780396,-57530141
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,-248854,-453963,-556551,-288706,-284857,-303486,-336313,-357741,-380249,-385915,-390292,-392652,-395336,- -
66,Other Total Stockholders Equity,80000,- -,3030648,12935093,16082319,21340517,23981902,25211980,46002825,46283335,48215935,49362457,50100346,52032693,53407820,54008723,55100838,55424100,55503663
67,Total Stockholders Equity,-29097,- -,594724,1019491,902881,216520,-1372654,-3246478,-2049659,-4226424,-4956191,-6159649,-1326859,-980193,-1102933,-1494780,-1693766,-1706048,-2011477
68,Total Liabilities And Stockholders Equity,16820,- -,691041,1179566,1099746,3390921,1224824,589558,1274526,302530,207578,153042,175195,92933,17218,54395,9673,73227,45089
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,16820,- -,691041,1179566,1099746,3390921,1224824,589558,1274526,302530,207578,153042,175195,92933,17218,54395,9673,73227,45089
71,SEC Link,- -,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1172178/000106299308001955/form10ksb.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/1172178/000106299311001749/0001062993-11-001749-index.html,https://www.sec.gov/Archives/edgar/data/1172178/000106299312001485/0001062993-12-001485-index.htm,https://www.sec.gov/Archives/edgar/data/1172178/000106299313002635/0001062993-13-002635-index.htm,https://www.sec.gov/Archives/edgar/data/1172178/000106299315001959/0001062993-15-001959-index.htm,https://www.sec.gov/Archives/edgar/data/1172178/000106299315002327/0001062993-15-002327-index.html,https://www.sec.gov/Archives/edgar/data/1172178/000121390016013553/0001213900-16-013553-index.htm,https://www.sec.gov/Archives/edgar/data/1172178/000149315217004625/0001493152-17-004625-index.html,https://www.sec.gov/Archives/edgar/data/1172178/000149315218007184/0001493152-18-007184-index.htm,https://www.sec.gov/Archives/edgar/data/1172178/000149315219007636/0001493152-19-007636-index.htm,https://www.sec.gov/Archives/edgar/data/1172178/000149315220007432/0001493152-20-007432-index.html,https://www.sec.gov/Archives/edgar/data/1172178/000149315221010343/0001493152-21-010343-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , 
73,Net Income,-58425,- -,-2155129,-4627965,-3267948,-5697935,-4176066,-2809843,-19865419,-2461459,-2644787,-2318047,4115431,-1569662,-1496550,-992799,-1305252,-337469,-749745
74,Depreciation and Amortization,- -,- -,17416,27185,59144,1576839,277509,225305,61129,63297,41610,32827,27324,22509,5666,4377,2360,2684,6336
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,576244,- -,2530750,103950,135996,240622,11232,40299,74808,6991,- -,80421,- -
77,Change in Working Capital,-59097,- -,599726,237862,-204606,-1109547,-1752993,-1366972,1431841,-2093807,-737493,-1177645,4950792,308176,-167636,-387470,-196636,-13035,-283031
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
