,https://roic.ai/company/VTSI,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,5431,410,2463064,2280484,984490,1328180,977358,1887768,2245095,2907364,4611617,6594958,7861780,8829555,9819519,9860019,13342336,15652168,16524225,18080126,18711923,19087631
2,COGS,24472,- -,1574399,1318119,656803,860065,663376,729322,755797,1618127,1557585,2446795,3797377,3280211,3361307,4352550,5652125,5970058,6290879,7030286,8998232,7187210
3,Gross Profit,-19041,410,888665,962365,327687,468115,313982,1158446,1489298,1289237,3054032,4148163,4064403,5549344,6458212,5507469,7690211,9682110,10233346,11049840,9713691,11900421
4,Gross Profit Ratio,-3.5060,1.0000,0.3608,0.4220,0.3328,0.3524,0.3213,0.6137,0.6634,0.4434,0.6622,0.6290,0.5170,0.6285,0.6577,0.5586,0.5764,0.6186,0.6193,0.6112,0.5191,0.6235
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1100000,1285064,1357982,1345513,1603379
6,General and Administrative Exp.,- -,- -,2443692,2119229,1010302,2820650,2137469,2807575,2084732,775860,1581574,2633191,4754593,5411333,4864056,4243826,6199628,6455784,7641765,8691957,8105860,9070730
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,2443692,2119229,1010302,2820650,2137469,2807575,2084732,775860,1581574,2633191,4754593,5411333,4864056,4243826,6199628,6455784,7641765,8691957,8105860,9070730
9,Other Expenses,342839,417731,- -,- -,- -,- -,-230000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,342839,417731,2443692,2119229,1010302,2820650,1907469,2807575,2084732,775860,1581574,2633191,4754593,5411333,4864056,4243826,6199628,7555784,8926829,10049939,9451373,10674109
11,COGS and Expenses,367311,417731,4018091,3437348,1667105,3680715,2570845,3536897,2840529,2393987,3139159,5079986,8551970,8691544,8225363,8596376,11851753,13525842,15217708,17080225,18449605,17861319
12,Interest Income ,- -,- -,1338,130,- -,16,66,72,- -,- -,- -,47937,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,228094,1456647,1549142,856682,957912,939813,527944,322769,226726,66840,50012,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
14,Depreciation and Amortization,5356,20896,1127280,547190,911433,100465,569579,258145,187646,40507,534997,652880,202686,227492,218059,192153,184846,192602,270881,291855,591936,676500
15,EBITDA,-356524,58724,-370649,-596423,177993,2624468,-485664,-687418,-613630,9518817,2016849,1722754,-490075,340888,1798835,1453394,1811391,2345376,1027871,1419945,963384,1936103
16,EBITDA ratio,-65.6461,143.2293,-0.1505,-0.2615,0.1808,1.9760,-0.4969,-0.3641,-0.2733,3.2740,0.4373,0.2612,-0.0623,0.0386,0.1832,0.1474,0.1358,0.1498,0.0622,0.0785,0.0515,0.1014
17,Operating Income,-361880,-417321,-1555027,-1156864,-682615,-2352535,-1593487,-1649129,-595434,513377,1472458,1514972,-690190,138011,1594156,1263643,1490583,2126326,1306517,999901,262318,1226312
18,Operating Income ratio,-66.6323,-1017.8561,-0.6313,-0.5073,-0.6934,-1.7712,-1.6304,-0.8736,-0.2652,0.1766,0.3193,0.2297,-0.0878,0.0156,0.1623,0.1282,0.1117,0.1358,0.0791,0.0553,0.0140,0.0642
19,Total Other Income Expenses (Gains),- -,- -,55760,13121,2628,4923000,768178,703494,-205842,8738207,-57446,-495110,-2571,-24615,-13380,-2402,135962,26448,-549527,128189,109130,33291
20,Income Before Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,9251584,1415012,1019862,-692761,113396,1580776,1261241,1626545,2152774,756990,1128090,371448,1259603
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,3.1821,0.3068,0.1546,-0.0881,0.0128,0.1610,0.1279,0.1219,0.1375,0.0458,0.0624,0.0199,0.0660
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,89562,102752,-2505292,309998,446725,-218800
23,Net Income,-361880,-190266,-2954576,-2692755,-1590122,1566091,-1995056,-1473507,-1124045,9251584,1415012,1019862,-692761,113396,1580776,1261241,1536983,2050022,3262282,818092,-75277,1478403
24,Net Income ratio,-66.6323,-464.0634,-1.1996,-1.1808,-1.6152,1.1791,-2.0413,-0.7806,-0.5007,3.1821,0.3068,0.1546,-0.0881,0.0128,0.1610,0.1279,0.1152,0.1310,0.1974,0.0452,-0.0040,0.0775
25,EPS,-0.76,-0.30,-1.80,-1.60,-0.80,0.60,-0.60,-0.40,-0.20,1.42,0.20,0.13,-0.09,0.01,0.20,0.20,0.20,0.26,0.41,0.10,-0.01,0.19
26,EPS Diluted,-0.76,-0.30,-1.80,-1.60,-0.80,0.60,-0.60,-0.40,-0.20,1.42,0.20,0.13,-0.09,0.01,0.20,0.20,0.20,0.24,0.39,0.10,-0.01,0.19
27,Weighted Average Shares Outstanding,479053,616418,1587925,1767907,2120798,2583767,3111090,4059314,5381527,6500105,7033811,7631286,7914252,7914252,7914252,7914252,7912939,7917023,7919568,7903801,7747655,7757037
28,Weighted Average Shares Outstanding Diluted,479053,616418,1587925,1767907,2120798,2622528,3111090,4059314,5381527,6500105,7033811,7631286,7914252,8081890,7959974,8157265,8344053,8303368,8397377,8254376,7747655,7835830
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1085243/000116232703000018/0001162327-03-000018-index.htm,https://www.sec.gov/Archives/edgar/data/1085243/000116232704000035/0001162327-04-000035-index.htm,https://www.sec.gov/Archives/edgar/data/1085243/000116232705000025/0001162327-05-000025-index.htm,https://www.sec.gov/Archives/edgar/data/1085243/000133248907000022/0001332489-07-000022-index.htm,https://www.sec.gov/Archives/edgar/data/1085243/000133248907000023/0001332489-07-000023-index.htm,https://www.sec.gov/Archives/edgar/data/1085243/000113717108000384/0001137171-08-000384-index.htm,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1085243/000149315218004294/0001493152-18-004294-index.htm,https://www.sec.gov/Archives/edgar/data/1085243/000149315219004401/0001493152-19-004401-index.htm,https://www.sec.gov/Archives/edgar/data/1085243/000149315220004519/0001493152-20-004519-index.htm,https://www.sec.gov/Archives/edgar/data/1085243/000149315221007053/0001493152-21-007053-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,98442,80870,160566,764,91221,16646,101960,109981,535728,144051,372119,2358955,1912729,3317020,3703579,5080445,2500381,1415091,6841984
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3490000,1915000,- -
33,Cash and Short-Term Investments,- -,- -,- -,98442,80870,160566,764,91221,16646,101960,109981,535728,144051,372119,2358955,1912729,3317020,3703579,5080445,5990381,3330091,6841984
34,Net Receivables,- -,- -,- -,111271,315274,61260,184904,406784,187602,703553,1585308,1347520,365720,462942,786877,1610381,2346141,3244852,2700182,2400968,5895254,6786868
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,179428,804548,370019,407434,702829,902642,1319944,1720438,1612002,1949414,3515997
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,350200,- -,- -,58783,157180,65558,44902,58124,51620,357363,586439,377520,353975,382445
37,Total Current Assets,- -,- -,- -,209713,396144,221826,185668,498005,554448,805513,1695289,2121459,1471499,1270638,3598168,4284063,6617423,8625738,10087504,10380871,11528734,17527294
38,PP&E,- -,- -,- -,346114,206232,1034917,951630,141386,55461,62587,812429,594988,799189,612380,460527,367898,516005,814323,677274,678245,2419071,2476271
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,36261,18133,- -,- -,88074,- -,6600000,6415655,6542958,- -,- -,- -,- -,- -,- -,- -,- -,217930,271048
