,https://roic.ai/company/PACV,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , 
1,Revenue,- -,- -,- -,- -,- -,-55,- -,- -,- -,255213,4763,- -,3211573,5918337,30212420,41991172
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,113118,2020,- -,2392329,5070322,26857783,37139454
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,- -,- -,142095,2743,- -,819244,848015,3354637,4851718
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.5568,0.5759,- -,0.2551,0.1433,0.1110,0.1155
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,1400,9324,31480,17037,16118,188903,369852,470186,1601258,2222016,- -,1144959
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,130851,100508,45837,286752
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,1400,9324,31480,17037,16118,188903,369852,470186,1732109,2322524,6336138,5933273
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,3993,3993,- -,17626,229036,696145,2334697
10,Operating Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,192896,373845,- -,1749735,2551560,7032283,8267970
11,COGS and Expenses,- -,- -,- -,- -,- -,- -,31480,17037,16118,306014,375865,486988,4142064,7621882,33890066,45407424
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,55,528,464,179,80619,28409,124963,617368,970488,2204391,3452693
14,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,- -,- -,- -,3993,3993,3995,-18818,72375,696144,567042
15,EBITDA,- -,- -,- -,- -,- -,-9324,-31480,-17037,-16118,20060,-454687,-482992,-949310,-1631170,-2981503,-2849210
16,EBITDA ratio,- -,- -,- -,- -,- -,169.5273,-Infinity,-Infinity,-Infinity,0.0786,-95.4623,-Infinity,-0.2956,-0.2756,-0.0987,-0.0679
17,Operating Income,- -,- -,- -,- -,-1400,- -,-31480,-17037,-16118,-50800,-371103,-486988,-930492,-1703545,-3677646,-3416252
18,Operating Income ratio,- -,- -,- -,- -,-Infinity,- -,-Infinity,-Infinity,-Infinity,-0.1990,-77.9137,-Infinity,-0.2897,-0.2878,-0.1217,-0.0814
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,- -,- -,-528,-464,-179,-13752,-115986,-103071,-617368,-970488,-2204392,-3452693
20,Income Before Tax,- -,- -,- -,- -,- -,- -,-32008,-17501,-16297,-64552,-487089,-590059,-1547860,-2674033,-5882038,-6868945
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,-Infinity,-Infinity,-Infinity,-0.2529,-102.2652,-Infinity,-0.4820,-0.4518,-0.1947,-0.1636
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,- -,- -,- -,- -,-1400,-9379,-32008,-17501,-16297,-64552,-487089,-590059,-1547860,-2674033,-5882038,-6868945
24,Net Income ratio,- -,- -,- -,- -,-Infinity,170.5273,-Infinity,-Infinity,-Infinity,-0.2529,-102.2652,-Infinity,-0.4820,-0.4518,-0.1947,-0.1636
