,https://roic.ai/company/WNS,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , 
1,Revenue,86805000,162173000,202809000,352286000,459867000,539264000,582461000,616251000,474122000,460263000,502621000,533893000,562179000,602546000,757956000,809120000,928258000,912643000
2,COGS,- -,140254000,145730000,271174000,363322000,410316000,439248000,491847000,340951000,311006000,327680000,342715000,365360000,403324000,503130000,518236000,583920000,587205000
3,Gross Profit,- -,21919000,57079000,81112000,96545000,128948000,143213000,124404000,133171000,149257000,174941000,191178000,196819000,199222000,254826000,290884000,344338000,325438000
4,Gross Profit Ratio,- -,0.1352,0.2814,0.2302,0.2099,0.2391,0.2459,0.2019,0.2809,0.3243,0.3481,0.3581,0.3501,0.3306,0.3362,0.3595,0.3710,0.3566
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,51344000,57091000,55385000,70013000,78902000,91742000,117626000,115261000,128592000,126300000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,26336000,30191000,35235000,31073000,30844000,32631000,41767000,44573000,52802000,49613000
8,"Selling, General and Administrative Exp.",- -,24887000,36347000,52461000,72699000,75522000,86231000,80543000,77680000,87282000,90620000,101086000,109746000,124373000,159393000,159834000,181394000,175913000
9,Other Expenses,- -,1416000,856000,1896000,18333000,24912000,32422000,31810000,29476000,26350000,23789000,24192000,25198000,20539000,15505000,15783000,15653000,13722000
10,Operating Expenses,- -,26303000,37203000,54357000,91032000,100434000,118653000,112353000,107156000,113632000,114409000,125278000,134944000,144912000,174898000,175617000,197047000,189635000
11,COGS and Expenses,- -,166557000,182933000,325531000,454354000,510750000,557901000,604200000,448107000,424638000,442089000,467993000,500304000,548236000,678028000,693853000,780967000,776840000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,3140000,3480000,4785000,6236000,2083000,3693000,2556000,3840000,3702000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,11782000,13823000,8018000,4017000,3439000,2835000,1251000,265000,424000,3215000,3266000,16951000,14241000
