,https://roic.ai/company/DPWW,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,INCOME STATEMENT, , , , , , , , , 
1,Revenue,30368,98093,52033,304530,374179,1540997,1456939,1646369,1265137
2,COGS,26495,18424,16300,- -,8173,1212161,1130135,1189352,1006581
3,Gross Profit,3873,79669,35733,304530,366006,328836,326804,457017,258556
4,Gross Profit Ratio,0.1275,0.8122,0.6867,1.0000,0.9782,0.2134,0.2243,0.2776,0.2044
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,72733,54829,55488,15496100,6124882,5704621,2786615,2521649,1029185
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,95606,66511,52605,32940
8,"Selling, General and Administrative Exp.",72733,54829,55488,15496100,6124882,5800227,2853126,2574254,1062125
9,Other Expenses,- -,- -,- -,- -,- -,456918,498400,139595,- -
10,Operating Expenses,72733,54829,55488,15496100,6124882,6257145,3351526,2713849,1062125
11,COGS and Expenses,99228,73253,71788,15496100,6133055,7469306,4481661,3903201,2068706
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,150577
13,Interest Expense (Gain),- -,- -,- -,- -,308170,2576211,2758160,3184951,1994199
14,Depreciation and Amortization,93,451,594,- -,9447,456918,498400,139595,- -
15,EBITDA,-68767,25666,-19161,-16518387,-6749068,-11616832,-3648384,753642,-1006228
16,EBITDA ratio,-2.2645,0.2616,-0.3682,-54.2422,-18.0370,-7.5385,-2.5041,0.4578,-0.7954
17,Operating Income,-68860,24840,-19755,-15600470,-5758876,-5928309,-3024722,-2256832,-803569
18,Operating Income ratio,-2.2675,0.2532,-0.3797,-51.2280,-15.3907,-3.8471,-2.0761,-1.3708,-0.6352
19,Total Other Income Expenses (Gains),- -,375,- -,-917917,-1307809,-8721652,-3880222,-314072,-2196858
20,Income Before Tax,-68860,25215,-19755,-16518387,-7066685,-14649961,-6904944,-2570904,-3000427
21,Income Before Tax Ratio,-2.2675,0.2571,-0.3797,-54.2422,-18.8858,-9.5068,-4.7394,-1.5616,-2.3716
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,-68860,25215,-19755,-16518387,-7066685,-14649961,-6904944,-2570904,-3000427
24,Net Income ratio,-2.2675,0.2571,-0.3797,-54.2422,-18.8858,-9.5068,-4.7394,-1.5616,-2.3716
25,EPS,-0.02,0.01,-0.01,-13.00,-3.40,-4.60,-0.45,-0.04,-0.02
26,EPS Diluted,-0.02,0.01,-0.01,-13.00,-3.40,-4.60,-0.45,-0.04,-0.02
27,Weighted Average Shares Outstanding,2750000,2963203,3135000,1274261,2121820,3137337,15301015,59828096,150896077
28,Weighted Average Shares Outstanding Diluted,2750000,2963203,3135000,1274261,2121820,3137337,15301015,59828096,150896077
