,https://roic.ai/company/LC,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , 
1,Revenue,400000,2300000,19200000,15797000,80785000,172842000,368608000,426052000,487649000,595436000,655204000,243509000,802416000
2,COGS,1500000,1400000,12700000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
3,Gross Profit,-1100000,900000,6500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
4,Gross Profit Ratio,-2.7500,0.3913,0.3385,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
5,Research and Development Exp.,1900000,1700000,2000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,-2342162000,-6129498000,-11840090000,7360000,34440000,117068000,122182000,207172000,191683000,228641000,238292000,213021000,288390000
7,Selling and Marketing Exp.,2351262000,6138798000,11855890000,17669000,39037000,87278000,171526000,216670000,229865000,268517000,279423000,79055000,156142000
8,"Selling, General and Administrative Exp.",9100000,9300000,15800000,25029000,73477000,204346000,293708000,423842000,421548000,497158000,517715000,292076000,444532000
9,Other Expenses,- -,100000,- -,- -,- -,394654000,688292000,918158000,908452000,811842000,663285000,- -,- -
10,Operating Expenses,11000000,11100000,17800000,- -,- -,599000000,982000000,1342000000,1330000000,1309000000,1181000000,- -,- -
11,COGS and Expenses,12500000,12500000,30500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
12,Interest Income ,- -,- -,- -,32292000,- -,354453000,552972000,696662000,611259000,487462000,345345000,209694000,292832000
13,Interest Expense (Gain),1501621000,1424429000,975324000,32030000,187447000,356615000,549740000,688368000,571424000,385605000,246587000,141503000,80001000
14,Depreciation and Amortization,60000,70000,80000,150000,1663000,10258000,21578000,29882000,46208000,54764000,59152000,54029000,5575000
15,EBITDA,1490631000,1414199000,964104000,20236000,196418000,335369000,569156000,568053000,464429000,312104000,274793000,7915000,104020000
16,EBITDA ratio,3726.5775,614.8691,50.2137,1.2810,2.4314,1.9403,1.5441,1.3333,0.9524,0.5242,0.4194,0.0325,0.1296
17,Operating Income,-12100000,-10300000,-11300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-187617000
18,Operating Income ratio,-30.2500,-4.4783,-0.5885,- -,- -,- -,- -,- -,- -,- -,- -,- -,-0.2338
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,206061000
20,Income Before Tax,-12100000,-10300000,-11300000,-11944000,7308000,-31504000,-2162000,-150197000,-153413000,-128110000,-30891000,-187617000,18444000
21,Income Before Tax Ratio,-30.2500,-4.4783,-0.5885,-0.7561,0.0905,-0.1823,-0.0059,-0.3525,-0.3146,-0.2152,-0.0471,-0.7705,0.0230
22,Income Tax expense (Gain),1050000,- -,- -,- -,- -,1390000,2833000,-4228000,632000,43000,-201000,-79000,-136000
23,Net Income,-12100000,-10300000,-11300000,-11944000,7308000,-32894000,-4995000,-145969000,-153835000,-128308000,-30745000,-187538000,18580000
24,Net Income ratio,-30.2500,-4.4783,-0.5885,-0.7561,0.0905,-0.1903,-0.0136,-0.3426,-0.3155,-0.2155,-0.0469,-0.7701,0.0232
25,EPS,-0.17,-0.14,-0.16,-0.20,0.15,-2.20,-0.05,-1.90,-1.90,-1.50,-0.35,-2.63,0.24
26,EPS Diluted,-0.17,-0.14,-0.16,-0.20,0.10,-2.20,-0.05,-1.90,-1.90,-1.50,-0.35,-2.63,0.24
27,Weighted Average Shares Outstanding,72200000,72200000,72200000,58353238,58353238,15114748,74974423,77552414,81799189,84583461,87278596,77934302,100320691
28,Weighted Average Shares Outstanding Diluted,72200000,72200000,72200000,64666310,64666310,15114748,74974423,77552414,81799189,84583461,87278596,77934302,108096823
29,SEC Link,https://www.sec.gov/Archives/edgar/data/1409970/000095012309014424/0000950123-09-014424-index.html,https://www.sec.gov/Archives/edgar/data/1409970/000095012310062067/0000950123-10-062067-index.html,https://www.sec.gov/Archives/edgar/data/1409970/000095012311062871/0000950123-11-062871-index.html,https://www.sec.gov/Archives/edgar/data/1409970/000119312512290153/0001193125-12-290153-index.html,- -,https://www.sec.gov/Archives/edgar/data/1409970/000119312515070385/d851207d10k.htm,https://www.sec.gov/Archives/edgar/data/1409970/000140997016001762/0001409970-16-001762-index.html,https://www.sec.gov/Archives/edgar/data/1409970/000140997017000255/0001409970-17-000255-index.html,https://www.sec.gov/Archives/edgar/data/1409970/000140997018000231/0001409970-18-000231-index.html,https://www.sec.gov/Archives/edgar/data/1409970/000140997019000222/0001409970-19-000222-index.html,https://www.sec.gov/Archives/edgar/data/1409970/000140997020000212/0001409970-20-000212-index.html,https://www.sec.gov/Archives/edgar/data/1409970/000140997021000016/0001409970-21-000016-index.htm,https://www.sec.gov/Archives/edgar/data/1409970/000140997022000006/0001409970-22-000006-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , 
31,Cash and Cash Equivalents,12000000,2600000,13300000,32200000,49492000,870437000,624402000,516457000,401719000,372974000,243779000,524963000,687126000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,297211000,287137000,117573000,170469000,270927000,142226000,263530000
33,Cash and Short-Term Investments,12000000,2600000,13300000,32200000,49492000,870437000,921613000,803594000,519292000,543443000,514706000,667189000,950656000
34,Net Receivables,100000,100000,100000,2351000,35389000,26628000,45607000,58141000,112297000,42246000,31874000,15448000,- -
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,-120993000,-65527000,-58491000,-156085000,- -,-3023000,4666830000,-18697000,-78475000,-19991000,2213357000,848050000,3311827000
37,Total Current Assets,-108893000,-62827000,-45091000,-121534000,- -,894042000,5634050000,843038000,553114000,565698000,2759937000,1530687000,4262483000
38,PP&E,100000,100000,200000,525000,12595000,27051000,55930000,89263000,101933000,113875000,207855000,170678000,175312000
39,Goodwill,- -,- -,- -,- -,- -,72592000,72683000,35633000,35633000,- -,- -,- -,75717000
40,Intangible Assets,- -,- -,- -,- -,- -,36302000,30971000,26211000,21923000,18048000,14549000,11427000,91551000
41,Intangible Assets,- -,- -,- -,- -,- -,108894000,103654000,61844000,57556000,18048000,14549000,11427000,167268000
