,https://roic.ai/company/GNSS,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,933643,967408,200000,800000,1433050,855342,1010752,1315426,5752549,10195546,8922659,9900880,11189942,15824838,16694075,26506821,14792338,17087930,24591342,16784220,16361005,20314178,26306790,36979055,43010000,47003000
2,COGS,797154,809437,300000,500000,823909,578276,683844,1544077,3469821,5624361,6071526,6508855,6779213,8374082,7520284,10577370,7313762,8842631,10828287,8255663,8689484,10035577,13567076,18522548,20371000,23577000
3,Gross Profit,136489,157971,-100000,300000,609141,277066,326908,-228651,2282728,4571185,2851133,3392025,4410729,7450756,9173791,15929451,7478576,8245299,13763055,8528557,7671521,10278601,12739714,18456507,22639000,23426000
4,Gross Profit Ratio,0.1462,0.1633,-0.5000,0.3750,0.4251,0.3239,0.3234,-0.1738,0.3968,0.4484,0.3195,0.3426,0.3942,0.4708,0.5495,0.6010,0.5056,0.4825,0.5597,0.5081,0.4689,0.5060,0.4843,0.4991,0.5264,0.4984
5,Research and Development Exp.,160934,566288,1000000,1100000,2086019,3136109,3622063,2493351,2988784,4621532,1909834,2223119,3354461,2106959,2062158,2483938,1659673,1841369,2481235,2028539,2387985,2500053,3523498,4527741,4554000,4918000
6,General and Administrative Exp.,555950,1616568,2700000,2200000,2563223,2319690,3046537,4863711,5309547,9333436,9537221,7052163,7502641,6365646,4659443,8463842,4541594,5438406,7959003,5280704,6876792,8586288,10692681,10792401,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",555950,1616568,2700000,2200000,2563223,2319690,3046537,4863711,5309547,9333436,9537221,7052163,7502641,6365646,4659443,8463842,4541594,5438406,7959003,5280704,6876792,8586288,10692681,10792401,- -,17424000
9,Other Expenses,- -,- -,100000,100000,226986,- -,20692,-24513,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12044000,- -
10,Operating Expenses,716884,2182856,3800000,3400000,4876228,5455799,6689292,7332549,8298331,13954968,11447055,9275282,10857102,8472605,6721601,10947780,6201267,7279775,10440238,7309243,9264777,11086341,14216179,15320142,16598000,22342000
11,COGS and Expenses,1514038,2992293,4100000,3900000,5700137,6034075,7373136,8876626,11768152,19579329,17518581,15784137,17636315,16846687,14241885,21525150,13515029,16122406,21268525,15564906,17954261,21121918,27783255,33842690,36969000,45919000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,30332,903,32354,33895,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1565,1565,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
14,Depreciation and Amortization,74493,97920,100000,100000,226986,621967,2357248,954612,239948,1167566,463198,479200,352514,312382,271370,138191,93931,146307,209975,238314,167693,153283,483087,824889,1399000,2291000
15,EBITDA,-485955,-2046443,-4500000,-2900000,-2841060,-4424252,-5862884,-7272401,-5720488,-7919141,-7244601,-5081648,-6007762,-679135,3423319,5236283,1405135,1411021,3553315,1579464,-1300066,-525871,-886355,4182081,7567000,3429000
16,EBITDA ratio,-0.5205,-2.1154,-22.5000,-3.6250,-1.9825,-5.1725,-5.8005,-5.5286,-0.9944,-0.7767,-0.8119,-0.5133,-0.5369,-0.0429,0.2051,0.1975,0.0950,0.0826,0.1445,0.0941,-0.0795,-0.0259,-0.0337,0.1131,0.1759,0.0730
17,Operating Income,-580395,-2024885,-3900000,-3100000,-4267087,-5178733,-6362384,-7561200,-6015603,-9383783,-8595922,-5883257,-6446373,-1021849,2452190,4981671,1277309,965524,3322817,1219314,-1593256,-807740,-1476465,3136365,6041000,1084000
18,Operating Income ratio,-0.6216,-2.0931,-19.5000,-3.8750,-2.9776,-6.0546,-6.2947,-5.7481,-1.0457,-0.9204,-0.9634,-0.5942,-0.5761,-0.0646,0.1469,0.1879,0.0863,0.0565,0.1351,0.0726,-0.0974,-0.0398,-0.0561,0.0848,0.1405,0.0231
19,Total Other Income Expenses (Gains),- -,26853,100000,- -,987198,2200,-21492,22046,- -,1050000,624700,-53855,-85440,28767,747255,46967,33895,299190,20523,121836,125497,128586,107023,220827,127000,54000
20,Income Before Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-993082,3199445,5028638,1311204,1264714,3343340,1341150,-1467759,-679154,-1369442,3357192,6168000,1138000
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-0.0628,0.1917,0.1897,0.0886,0.0740,0.1360,0.0799,-0.0897,-0.0334,-0.0521,0.0908,0.1434,0.0242
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,49671,166771,75190,-150816,1902,16252,-8346666,-186160,197600,2375600,572200,-5706000,434000
23,Net Income,-560448,-2144363,-4600000,-3000000,-3068046,-5046219,-8220132,-8227013,-5960436,-9086707,-7707799,-5560848,-6360276,-1042753,2983613,5022902,1462020,1262812,3327088,9687816,-1281599,-876754,-3745042,2784992,11874000,704000
24,Net Income ratio,-0.6003,-2.2166,-23.0000,-3.7500,-2.1409,-5.8997,-8.1327,-6.2543,-1.0361,-0.8912,-0.8638,-0.5617,-0.5684,-0.0659,0.1787,0.1895,0.0988,0.0739,0.1353,0.5772,-0.0783,-0.0432,-0.1424,0.0753,0.2761,0.0150
25,EPS,-0.08,-0.30,-0.42,-0.33,-0.67,-0.38,-0.60,-0.67,-0.37,-0.50,-0.31,-0.18,-0.21,-0.03,0.10,0.16,0.05,0.04,0.10,0.29,-0.04,-0.03,-0.12,0.09,0.36,0.02
26,EPS Diluted,-0.08,-0.30,-0.42,-0.33,-0.67,-0.38,-0.60,-0.67,-0.37,-0.50,-0.31,-0.18,-0.21,-0.03,0.10,0.15,0.04,0.04,0.10,0.29,-0.04,-0.03,-0.12,0.08,0.35,0.02
27,Weighted Average Shares Outstanding,7464588,9268128,10889654,11408264,11868511,13563101,14193508,15857569,19603265,21570002,25149428,30326050,30535207,30537424,30589212,31755157,32374499,32464935,33077556,33174546,31970600,31855430,32492645,32689028,33221000,34409000
28,Weighted Average Shares Outstanding Diluted,7464588,9268128,10889654,11408264,11868511,13563101,14193508,15857569,19603265,21570002,25149428,30326050,30535207,30537424,31111330,32722632,33015955,32920019,33437124,33574919,31970600,31855430,32492645,33397095,34092000,35589000
29,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/924383/0000936392-98-000988-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/924383/000089843000004014/0000898430-00-004014-index.html,https://www.sec.gov/Archives/edgar/data/924383/000102140801511695/0001021408-01-511695-index.html,https://www.sec.gov/Archives/edgar/data/924383/000095016802003916/0000950168-02-003916-index.htm,https://www.sec.gov/Archives/edgar/data/924383/000101968703002557/0001019687-03-002557-index.htm,https://www.sec.gov/Archives/edgar/data/924383/000101968704002933/0001019687-04-002933-index.htm,https://www.sec.gov/Archives/edgar/data/924383/000101968705003508/0001019687-05-003508-index.htm,https://www.sec.gov/Archives/edgar/data/924383/000119312507002417/0001193125-07-002417-index.htm,https://www.sec.gov/Archives/edgar/data/924383/000119312508002436/0001193125-08-002436-index.htm,https://www.sec.gov/Archives/edgar/data/924383/000119312508247995/0001193125-08-247995-index.htm,https://www.sec.gov/Archives/edgar/data/924383/000119312509245063/0001193125-09-245063-index.htm,https://www.sec.gov/Archives/edgar/data/924383/000119312510272302/0001193125-10-272302-index.htm,https://www.sec.gov/Archives/edgar/data/924383/000119312511330669/0001193125-11-330669-index.htm,https://www.sec.gov/Archives/edgar/data/924383/000119312512490634/0001193125-12-490634-index.htm,https://www.sec.gov/Archives/edgar/data/924383/000143774913015128/0001437749-13-015128-index.htm,https://www.sec.gov/Archives/edgar/data/924383/000143774914021173/0001437749-14-021173-index.htm,https://www.sec.gov/Archives/edgar/data/924383/000143774915021734/0001437749-15-021734-index.htm,https://www.sec.gov/Archives/edgar/data/924383/000143774916043040/0001437749-16-043040-index.htm,https://www.sec.gov/Archives/edgar/data/924383/000143774917020614/0001437749-17-020614-index.htm,https://www.sec.gov/Archives/edgar/data/924383/000143774918022542/0001437749-18-022542-index.htm,https://www.sec.gov/Archives/edgar/data/924383/000143774919024099/0001437749-19-024099-index.htm,https://www.sec.gov/Archives/edgar/data/924383/000143774920025049/0001437749-20-025049-index.htm,https://www.sec.gov/Archives/edgar/data/924383/000143774921027262/0001437749-21-027262-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,657331,3338458,1000000,600000,4645615,1354072,1807720,9850358,4178968,10347779,9896342,6414537,2694869,5102502,5421167,13870762,13859505,15805195,23894744,18316103,13466711,12803887,11063091,18819078,23319000,13167000
32,Short-Term Investments,190153,29289,- -,300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1251947,2936124,4359542,3592175,3695364,4265000,5686000
33,Cash and Short-Term Investments,847484,3367747,1000000,900000,4645615,1354072,1807720,9850358,4178968,10347779,9896342,6414537,2694869,5102502,5421167,13870762,13859505,15805195,23894744,19568050,16402835,17163429,14655266,22514442,27584000,18853000
34,Net Receivables,195457,307174,100000,200000,237912,117584,111486,184162,926747,880276,2055132,938229,2210526,1463222,4187999,5098148,5517894,4958532,4284051,2116323,3408912,5681882,3918014,3644059,5442000,7682000
35,Inventory,313930,189815,100000,300000,172473,197013,136881,408944,651095,1799447,4449680,3802747,2890219,3067675,2784098,2735520,3112489,4587750,3895736,4926172,4763909,5257234,6734183,5835163,5949000,6416000
36,Other Current Assets,58906,27376,100000,100000,184482,67160,20130,33849,156419,201339,139214,259566,251390,194451,317204,1276101,441823,1003875,523947,565666,595638,983322,2362811,2044973,6347000,2534000
37,Total Current Assets,1415777,3892112,1300000,1500000,5240482,1735829,2076217,10477313,5913229,13228841,16540368,11415079,8047004,9827850,12710468,22980531,22931711,26355352,32598478,27176211,25171294,29085867,27670274,34038637,45322000,35485000
38,PP&E,93409,196422,200000,100000,237327,516208,363448,200262,453355,606871,693534,422027,292094,230432,124353,75468,212863,237377,360084,471963,473344,509603,2448725,2269506,7215000,6617000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2445990,2305750,2472000,23834000
40,Intangible Assets,76205,137440,200000,500000,640513,1585247,1349969,1066796,1278707,1373158,1416012,1363595,1058186,897351,277647,225969,158457,51650,53835,58385,62905,55689,1557346,1175634,943000,12804000
41,Intangible Assets,76205,137440,200000,500000,640513,1585247,1349969,1066796,1278707,1373158,1416012,1363595,1058186,897351,277647,225969,158457,51650,53835,58385,62905,55689,4003336,3481384,3415000,36638000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,58265,- -,- -,- -,- -,- -,3047166,2187536,711124,1200541,1384819,3805000,1875000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8339000,8527000,8331000,5957000,5387000,11095000,8039000
44,Other Non-Current Assets,10071,25904,- -,100000,1157292,- -,- -,- -,- -,- -,58265,58265,58265,- -,58265,1218750,1102016,914516,766423,578938,391454,164517,580921,558637,520000,1474000
45,Total Non-Current Assets,179685,359766,400000,700000,2035132,2101455,1713417,1267058,1732062,1980029,2167811,1843887,1408545,1186048,460265,1520187,1473336,1203543,1180342,12495452,11642239,9771933,14190523,13081346,26050000,54643000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,1595462,4251878,1700000,2200000,7275614,3837284,3789634,11744371,7645291,15208870,18708179,13258966,9455549,11013898,13170733,24500718,24405047,27558895,33778820,39671663,36813533,38857800,41860797,47119983,71372000,90128000
48,Accounts Payable,348187,120869,200000,300000,233802,321775,733531,604343,1300075,1985353,1904027,771642,963915,960308,965047,1040202,995719,1596409,830503,703942,574566,1112366,3083344,859530,1370000,2160000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,8963,9915,10967,12131,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,296594,279588,1071000,1195000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,105858,- -,- -,- -,1600,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,395833,351658,286482,275509,- -,274454,5343,- -,215566,764673,248379,834797,465614,856716,5824446,4414000,9821000
52,Other Current Liabilities,19803,51436,100000,100000,211937,522014,779010,1378845,1129203,1109215,1625820,584880,702294,2009503,1593542,2903131,623742,839402,3323303,622176,668247,2095781,2343148,2309895,8671000,4290000
53,Total Current Liabilities,367990,172305,300000,400000,445739,843789,1521504,1993103,2440245,3502532,3881505,1643004,1941718,2969811,2833043,3948676,1619461,2651377,4918479,1574497,2077610,3673761,6579802,9273459,15526000,17466000
54,Long-Term Debt,- -,386651,- -,- -,- -,- -,3120000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,52358,32903,18000,5709000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,270141,- -,23482,25831,25958,- -,- -,76372,550885,293000,308000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,100000,- -,- -,33012,23097,12131,1564000,1223300,- -,- -,- -,- -,6603,363817,122627,131719,121996,165038,- -,1663058,1881387,6395000,687000
58,Total Non-Current Liabilities,- -,386651,- -,100000,- -,- -,3153012,23097,12131,1564000,1223300,- -,- -,- -,- -,276744,363817,146109,157550,147954,165038,- -,1791788,2465175,6706000,6704000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
