,https://roic.ai/company/LYV,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , 
1,Revenue,2543668000,2473319000,2707902000,2806128000,2936845000,3691559000,4184981000,4166838000,4181021000,5063748000,5383998000,5819047000,6478547000,6866964000,7245731000,8354934000,10337448000,10787800000,11547969000,1861178000,6268447000
2,COGS,2386504000,1853096000,2506635000,2645293000,2829832000,2981801000,3333572000,3377170000,3357245000,3658310000,3789488000,4151277000,4680507000,4919969000,5196473000,6082708000,7748791000,7967932000,8467182000,1402400000,4355989000
3,Gross Profit,157164000,620223000,201267000,160835000,107013000,709758000,851409000,789668000,823776000,1405438000,1594510000,1667770000,1798040000,1946995000,2049258000,2272226000,2588657000,2819868000,3080787000,458778000,1912458000
4,Gross Profit Ratio,0.0618,0.2508,0.0743,0.0573,0.0364,0.1923,0.2034,0.1895,0.1970,0.2775,0.2962,0.2866,0.2775,0.2835,0.2828,0.2720,0.2504,0.2614,0.2668,0.2465,0.3051
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,562967000,699665000,655351000,675869000,1124743000,1224126000,1143632000,1226892000,1330160000,1397908000,1548450000,1907723000,1997028000,2145486000,1524342000,1915250000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,562967000,699665000,655351000,675869000,1124743000,1224126000,1143632000,1226892000,1330160000,1397908000,1548450000,1907723000,1997028000,2145486000,1524342000,1915250000
9,Other Expenses,347359000,525307000,247263000,204406000,120196000,116527000,69602000,418477000,155135000,322040000,343018000,542921000,463308000,469143000,505035000,528712000,590506000,539935000,612830000,587125000,416277000
10,Operating Expenses,347359000,525307000,247263000,204406000,120196000,679494000,769267000,1073828000,831004000,1446783000,1567144000,1686553000,1690200000,1799303000,1902943000,2077162000,2498229000,2536963000,2758316000,2111467000,2331527000
11,COGS and Expenses,2733863000,2378403000,2753898000,2849699000,2950028000,3661295000,4102839000,4450998000,4188249000,5105093000,5356632000,5837830000,6370707000,6719272000,7099416000,8159870000,10247020000,10504895000,11225498000,3513867000,6687516000
12,Interest Income ,- -,- -,- -,- -,- -,12446000,- -,- -,- -,3771000,4215000,4170000,5071000,3606000,3528000,2573000,5717000,8961000,14406000,11737000,6625000
13,Interest Expense (Gain),- -,- -,2788000,- -,52496000,37218000,- -,- -,66365000,116527000,120414000,123740000,111659000,106312000,102881000,106506000,106722000,138505000,157521000,226832000,282440000
14,Depreciation and Amortization,299343000,64836000,63436000,64095000,64631000,128903000,122923000,152186000,162694000,321666000,343018000,429557000,368923000,368143000,397241000,403651000,455534000,386529000,443991000,485025000,416277000
15,EBITDA,44074000,-3892739000,134591000,78820000,47996000,171889000,154579000,-95504000,180213000,224957000,354192000,419806000,468082000,388278000,489736000,541128000,539087000,626048000,738293000,-1041553000,25561000
16,EBITDA ratio,0.0173,-1.5739,0.0497,0.0281,0.0163,0.0466,0.0369,-0.0229,0.0431,0.0444,0.0658,0.0721,0.0723,0.0565,0.0676,0.0648,0.0521,0.0580,0.0639,-0.5596,0.0041
17,Operating Income,-190195000,94916000,-45996000,-43571000,-13183000,30264000,82142000,-284160000,-52356000,-63700000,18337000,-21639000,139660000,7164000,131372000,194940000,91397000,272536000,324844000,-1653192000,-417858000
18,Operating Income ratio,-0.0748,0.0384,-0.0170,-0.0155,-0.0045,0.0082,0.0196,-0.0682,-0.0125,-0.0126,0.0034,-0.0037,0.0216,0.0010,0.0181,0.0233,0.0088,0.0253,0.0281,-0.8883,-0.0667
19,Total Other Income Expenses (Gains),-65074000,-62486000,114363000,58296000,-55948000,-24496000,-50486000,-51965000,-62322000,-124954000,-114964000,-110522000,-144797000,-106984000,-125019000,-146614000,-100777000,-141431000,-139740000,-203473000,-193409000
