,https://roic.ai/company/WNC,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,170600000,190500000,289100000,360000000,561800000,734300000,631500000,846100000,1292300000,1454600000,1332172000,863392000,819568000,887940000,1041096000,1213711000,1312180000,1102544000,836213000,337840000,640372000,1187244000,1461854000,1635686000,1863315000,2027489000,1845444000,1767161000,2267278000,2319136000,1481889000,1803268000
2,COGS,158400000,171800000,264900000,320700000,504400000,666000000,587300000,762000000,1174600000,1301100000,1186154000,982605000,779117000,810746000,915310000,1079196000,1207687000,1010823000,815289000,360750000,612289000,1120524000,1298031000,1420563000,1630681000,1724046000,1519910000,1506286000,1983627000,2012754000,1322135000,1606801000
3,Gross Profit,12200000,18700000,24200000,39300000,57400000,68300000,44200000,84100000,117700000,153500000,146018000,-119213000,40451000,77194000,125786000,134515000,104493000,91721000,20924000,-22910000,28083000,66720000,163823000,215123000,232634000,303443000,325534000,260875000,283651000,306382000,159754000,196467000
4,Gross Profit Ratio,0.0715,0.0982,0.0837,0.1092,0.1022,0.0930,0.0700,0.0994,0.0911,0.1055,0.1096,-0.1381,0.0494,0.0869,0.1208,0.1108,0.0796,0.0832,0.0250,-0.0678,0.0439,0.0562,0.1121,0.1315,0.1248,0.1497,0.1764,0.1476,0.1251,0.1321,0.1078,0.1090
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,13400000,26300000,42500000,50800000,55874000,82325000,- -,- -,- -,- -,- -,- -,44094000,31988000,32831000,33949000,44751000,58666000,61694000,73495000,74129000,77825000,95114000,108274000,92740000,88807000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14290000,11176000,10669000,12981000,23589000,30597000,26676000,27233000,27270000,25588000,33046000,34851000,25080000,23691000
8,"Selling, General and Administrative Exp.",3200000,4500000,6100000,7500000,8700000,10900000,13400000,26300000,42500000,50800000,55874000,82325000,77398000,57716000,56577000,54521000,66227000,65255000,58384000,43164000,43500000,46930000,68340000,89263000,88370000,100728000,101399000,103413000,128160000,143125000,117820000,112498000
9,Other Expenses,1100000,1500000,2900000,4900000,7400000,11500000,15300000,16600000,18400000,21800000,30051000,-1590000,- -,- -,- -,- -,15373000,- -,- -,- -,- -,- -,10590000,21786000,21878000,22346000,21603000,17041000,19468000,20471000,- -,22858000
10,Operating Expenses,4300000,6000000,9000000,12400000,16100000,22400000,28700000,42900000,60900000,72600000,85925000,80735000,77398000,57716000,56577000,54521000,81600000,65255000,58384000,43164000,43500000,46930000,78930000,111049000,110248000,123074000,123002000,120454000,147628000,163596000,117820000,135356000
11,COGS and Expenses,162700000,177800000,273900000,333100000,520500000,688400000,616000000,804900000,1235500000,1373700000,1272079000,1063340000,856515000,868462000,971887000,1133717000,1289287000,1076078000,873673000,403914000,655789000,1167454000,1376961000,1531612000,1740929000,1847120000,1642912000,1626740000,2131255000,2176350000,1439955000,1742157000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4657000,4379000,4140000,4136000,21724000,26308000,22165000,19548000,15663000,16400000,28759000,27340000,24194000,23128000
14,Depreciation and Amortization,1100000,1500000,2900000,4900000,7400000,11500000,15300000,16600000,18400000,21800000,30051000,32143000,28626000,23788000,19441000,15547000,20598000,19467000,21467000,19585000,16855000,15591000,25565000,38336000,38829000,37998000,36770000,35053000,40683000,42357000,25989000,48842000
15,EBITDA,5900000,12600000,17400000,30800000,47000000,51800000,21300000,42400000,56900000,86500000,19001000,-242882000,-42842000,-33439000,78446000,89603000,36900000,44155000,-82638000,-80802000,-120816000,34940000,95952000,142267000,159456000,220857000,237850000,173991000,165446000,187428000,-59031000,73260000
16,EBITDA ratio,0.0346,0.0661,0.0602,0.0856,0.0837,0.0705,0.0337,0.0501,0.0440,0.0595,0.0143,-0.2813,-0.0523,-0.0377,0.0753,0.0738,0.0281,0.0400,-0.0988,-0.2392,-0.1887,0.0294,0.0656,0.0870,0.0856,0.1089,0.1289,0.0985,0.0730,0.0808,-0.0398,0.0406
17,Operating Income,7900000,12700000,15200000,26900000,41300000,45900000,15500000,41200000,56800000,80900000,60093000,-239402000,-38760000,-9022000,69209000,79994000,22893000,26466000,-103777000,-66074000,-15417000,19790000,70484000,103191000,122386000,180369000,202532000,130816000,110987000,142786000,-85608000,33542000
18,Operating Income ratio,0.0463,0.0667,0.0526,0.0747,0.0735,0.0625,0.0245,0.0487,0.0440,0.0556,0.0451,-0.2773,-0.0473,-0.0102,0.0665,0.0659,0.0174,0.0240,-0.1241,-0.1956,-0.0241,0.0167,0.0482,0.0631,0.0657,0.0890,0.1097,0.0740,0.0490,0.0616,-0.0578,0.0186
19,Total Other Income Expenses (Gains),-3100000,-1600000,-700000,-1000000,-1700000,-5600000,-9500000,-15400000,-18300000,-16200000,-71143000,-35623000,-32708000,-48205000,-10204000,-5938000,-6591000,-1778000,-4985000,-38692000,-126394000,-4577000,-21821000,-25568000,-23924000,-17058000,-17115000,-8278000,-14983000,-25055000,-23606000,-32252000
20,Income Before Tax,4800000,11100000,14500000,25900000,39600000,40300000,6000000,25800000,38500000,64700000,-11050000,-275025000,-71468000,-57227000,59005000,74056000,16302000,24688000,-108762000,-104766000,-141811000,15213000,48663000,77623000,98462000,163311000,185417000,122538000,96004000,117731000,-109214000,1290000
21,Income Before Tax Ratio,0.0281,0.0583,0.0502,0.0719,0.0705,0.0549,0.0095,0.0305,0.0298,0.0445,-0.0083,-0.3185,-0.0872,-0.0644,0.0567,0.0610,0.0124,0.0224,-0.1301,-0.3101,-0.2215,0.0128,0.0333,0.0475,0.0528,0.0805,0.1005,0.0693,0.0423,0.0508,-0.0737,0.0007
22,Income Tax expense (Gain),2000000,4300000,5600000,10300000,15700000,14900000,2400000,10600000,15200000,25900000,-4314000,-42857000,-15278000,- -,600000,-37031000,6882000,8403000,17064000,-3001000,-51000,171000,-56968000,31094000,37532000,59022000,65984000,11116000,26583000,28156000,-11802000,126000
23,Net Income,2800000,6800000,8900000,15600000,23900000,25400000,3600000,15200000,23300000,38800000,-6736000,-232168000,-56190000,-57227000,58405000,111087000,9420000,16285000,-125826000,-101765000,-141760000,15042000,105631000,46529000,60930000,104289000,119433000,111422000,69421000,89575000,-97412000,1164000
24,Net Income ratio,0.0164,0.0357,0.0308,0.0433,0.0425,0.0346,0.0057,0.0180,0.0180,0.0267,-0.0051,-0.2689,-0.0686,-0.0644,0.0561,0.0915,0.0072,0.0148,-0.1505,-0.3012,-0.2214,0.0127,0.0723,0.0284,0.0327,0.0514,0.0647,0.0631,0.0306,0.0386,-0.0657,0.0006
25,EPS,0.21,0.35,0.36,0.60,1.32,1.34,0.19,0.74,1.00,1.60,-0.38,-10.17,-2.43,-2.26,2.10,3.57,0.30,0.54,-4.16,-3.48,-3.36,0.22,1.53,0.67,0.88,1.55,1.87,1.88,1.22,1.64,-1.84,0.02
26,EPS Diluted,0.21,0.35,0.36,0.60,1.32,1.34,0.19,0.74,0.99,1.59,-0.38,-10.17,-2.43,-2.26,1.80,3.06,0.30,0.52,-4.16,-3.48,-3.36,0.22,1.53,0.67,0.85,1.50,1.82,1.78,1.19,1.62,-1.84,0.02
27,Weighted Average Shares Outstanding,13548387,19615385,16630000,17381000,18106061,18955224,18912000,19586000,21900000,22937500,22734211,23010128,23766667,25787611,27811905,31116807,31400000,30157407,29964904,30237000,49819000,68086000,68325000,68460000,68895000,67201000,63729000,59358000,56996000,54695000,52945000,52945000
28,Weighted Average Shares Outstanding Diluted,13548387,19615385,16630000,17381000,18106061,18955224,18912000,19586000,22121212,23081761,22734211,23010128,23766667,25787611,32447222,36302941,31400000,31317308,29964904,30237000,49819000,68418000,68564000,69081000,71063000,69368000,65762000,62598000,58430000,55290000,52945000,52945000
