,https://roic.ai/company/MEC,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , 
1,Revenue,313331000,354526000,519704000,357606000,454826000
2,COGS,278594000,303948000,460986000,326105000,403451000
3,Gross Profit,34737000,50578000,58718000,31501000,51375000
4,Gross Profit Ratio,0.1109,0.1427,0.1130,0.0881,0.1130
5,Research and Development Exp.,- -,- -,- -,- -,- -
6,General and Administrative Exp.,21555000,24313000,56024000,27293000,31909000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",21555000,24313000,56024000,27293000,31909000
9,Other Expenses,3756000,4096000,10706000,10706000,10706000
10,Operating Expenses,25311000,28409000,66730000,37999000,42615000
11,COGS and Expenses,303905000,332357000,527716000,364104000,446066000
12,Interest Income ,- -,- -,- -,- -,- -
13,Interest Expense (Gain),4180000,3879000,6728000,2668000,2003000
14,Depreciation and Amortization,20731000,20468000,33002000,32089000,31783000
15,EBITDA,30157000,41823000,30889000,25591000,24392000
16,EBITDA ratio,0.0962,0.1180,0.0594,0.0716,0.0536
17,Operating Income,9426000,22169000,-1958000,-6498000,-7391000
18,Operating Income ratio,0.0301,0.0625,-0.0038,-0.0182,-0.0163
19,Total Other Income Expenses (Gains),-4180000,-4693000,-6882000,-2668000,-2003000
20,Income Before Tax,5246000,17476000,-8840000,-9166000,-9394000
21,Income Before Tax Ratio,0.0167,0.0493,-0.0170,-0.0256,-0.0207
22,Income Tax expense (Gain),- -,-459000,-4088000,-2074000,-1943000
23,Net Income,5246000,17935000,-4753000,-7092000,-7451000
24,Net Income ratio,0.0167,0.0506,-0.0091,-0.0198,-0.0164
25,EPS,0.27,0.91,-0.27,-0.36,-0.37
26,EPS Diluted,0.27,0.91,-0.27,-0.36,-0.37
27,Weighted Average Shares Outstanding,19693484,19693484,17447464,19898122,20404543
28,Weighted Average Shares Outstanding Diluted,19693484,19693484,17447464,19898122,20830977
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1766368/000156459020008206/0001564590-20-008206-index.htm,https://www.sec.gov/Archives/edgar/data/1766368/000156459021011139/0001564590-21-011139-index.htm,https://www.sec.gov/Archives/edgar/data/1766368/000156459022008290/0001564590-22-008290-index.htm
30,BALANCE SHEET, , , , , 
31,Cash and Cash Equivalents,76000,3089000,1000,121000,118000
32,Short-Term Investments,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,76000,3089000,1000,121000,118000
34,Net Receivables,26392000,52298000,40188000,42080000,55417000
35,Inventory,35385000,53405000,45692000,41366000,70157000
36,Other Current Assets,2320000,3967000,4596000,5681000,6874000
37,Total Current Assets,64173000,112759000,90477000,89248000,132566000
38,PP&E,90816000,125836000,128290000,109269000,120746000
39,Goodwill,40202000,69437000,71535000,71535000,71535000
40,Intangible Assets,18845000,82879000,72173000,61467000,50761000
41,Intangible Assets,59047000,152316000,143708000,133002000,122296000
42,Investments,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -
44,Other Non-Current Assets,280000,814000,1107000,7014000,3865000
45,Total Non-Current Assets,150143000,278966000,273105000,249285000,246907000
46,Other Assets,- -,- -,- -,- -,- -
47,Total Assets,214316000,391725000,363582000,338533000,379473000
48,Accounts Payable,19494000,45992000,32173000,33495000,50119000
49,Short-Term Debt,- -,- -,- -,626000,315000
50,Tax Payable,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -
52,Other Current Liabilities,22382000,37169000,16018000,18619000,26938000
53,Total Current Liabilities,41876000,83161000,48191000,52740000,77372000
54,Long-Term Debt,67569000,171304000,72572000,47318000,68502000
55,Deferred Revenue,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,19123000,14188000,11887000,8641000
57,Other Non-Current Liabilities,11984000,15148000,27736000,25731000,26687000
58,Total Non-Current Liabilities,79553000,205575000,114496000,84936000,103830000
59,Other Liabilities,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,1978000,3285000,2687000,1207000
