,https://roic.ai/company/RENN,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,INCOME STATEMENT, , , , , , , , , , , , 
1,Revenue,46684000,76535000,111500000,154800000,64100000,46668000,41111000,63364000,202102000,498198000,349783000,18106000
2,COGS,10379000,16624000,25600000,49800000,33000000,34663000,36720000,51767000,184398000,476468000,346893000,3451000
3,Gross Profit,36305000,59911000,85900000,105000000,31100000,12005000,4391000,11597000,17704000,21730000,2890000,14655000
4,Gross Profit Ratio,0.7777,0.7828,0.7704,0.6783,0.4852,0.2572,0.1068,0.1830,0.0876,0.0436,0.0083,0.8094
5,Research and Development Exp.,12937000,23699000,37400000,71600000,54700000,42697000,32392000,20750000,23678000,26349000,26148000,11347000
6,General and Administrative Exp.,6510000,7511000,17215000,38860000,50999000,51429000,46803000,42584000,52949000,71094000,46651000,22242000
7,Selling and Marketing Exp.,19375000,20281000,62050000,82789000,66443000,38340000,30502000,21276000,28954000,34562000,- -,8293000
8,"Selling, General and Administrative Exp.",25885000,27792000,79265000,121649000,117442000,89769000,77305000,63860000,81903000,105656000,46651000,30535000
9,Other Expenses,211000,739000,5261000,7941000,25830000,7978000,- -,- -,- -,- -,37550000,- -
10,Operating Expenses,39033000,52230000,121926000,201190000,197972000,140444000,109697000,84610000,105581000,132005000,110349000,41882000
11,COGS and Expenses,49412000,68854000,116700000,202900000,194000000,207581000,150675000,238684000,403052000,611600000,542621000,45333000
12,Interest Income ,288000,335000,9619000,20067000,12789000,12677000,2190000,919000,2029000,5760000,8837000,8079000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,2041000,12439000,10185000,5103000,4623000,303000
14,Depreciation and Amortization,4836000,6262000,8640000,16140000,19190000,18488000,8935000,2678000,2029000,1443000,975000,967000
15,EBITDA,-65310000,-59225000,49272000,-59780000,90343000,72431000,-212276000,-170237000,-102692000,69236000,-45471000,-18015000
16,EBITDA ratio,-1.3990,-0.7738,0.4419,-0.3862,1.4094,1.5520,-5.1635,-2.6867,-0.5081,0.1390,-0.1300,-0.9950
17,Operating Income,-2728000,7681000,-30192000,-91723000,113660000,159394000,105306000,-73013000,-87877000,-113402000,-190838000,-27227000
18,Operating Income ratio,-0.0584,0.1004,-0.2708,-0.5925,1.7732,3.4155,2.5615,-1.1523,-0.4348,-0.2276,-0.5456,-1.5038
19,Total Other Income Expenses (Gains),-65468000,-70208000,95592000,68723000,-172360000,-172102000,-319891000,-100387000,-85387000,-33102000,90842000,10292000
20,Income Before Tax,-68196000,-62527000,65400000,-23000000,-58700000,-12708000,-214585000,-173400000,-173264000,-146504000,-99996000,-16935000
21,Income Before Tax Ratio,-1.4608,-0.8170,0.5865,-0.1486,-0.9158,-0.2723,-5.2196,-2.7366,-0.8573,-0.2941,-0.2859,-0.9353
22,Income Tax expense (Gain),-31000,-1332000,-668000,-920000,7453000,-6517000,-3124000,-2000,-4479000,-9850000,24000,-65000
23,Net Income,-70115000,-64155000,41300000,-75000000,63700000,60460000,-220128000,-185352000,-110427000,72540000,-51093000,-19220000
24,Net Income ratio,-1.5019,-0.8382,0.3704,-0.4845,0.9938,1.2955,-5.3545,-2.9252,-0.5464,0.1456,-0.1461,-1.0615
25,EPS,-15.75,-13.95,2.25,-3.15,2.70,2.70,-9.90,-8.10,-0.06,3.15,-2.25,-0.90
26,EPS Diluted,-15.75,-13.95,2.25,-3.15,2.70,2.70,-9.90,-8.10,-0.06,3.15,-2.25,-0.90
27,Weighted Average Shares Outstanding,5571780,5435851,18903772,25592409,24846461,23543231,22652834,22725853,22931953,23031556,23311623,23636691
28,Weighted Average Shares Outstanding Diluted,5571780,5435851,20029766,25592409,25127529,23725125,22652834,22725853,22931953,24351218,23311623,23636691
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1509223/000110465912029921/a12-7066_120f.htm,https://www.sec.gov/Archives/edgar/data/1509223/000110465913031652/a13-5335_120f.htm,https://www.sec.gov/Archives/edgar/data/1509223/000110465914031901/a14-8497_120f.htm,https://www.sec.gov/Archives/edgar/data/1509223/000114420415023129/v403466_20f.htm,https://www.sec.gov/Archives/edgar/data/1509223/000114420416102618/v437342_20f.htm,https://www.sec.gov/Archives/edgar/data/1509223/000114420417027564/v464327_20f.htm,https://www.sec.gov/Archives/edgar/data/1509223/000114420418028238/tv488618_20f.htm,https://www.sec.gov/Archives/edgar/data/1509223/000114420419026613/tv519980_20f.htm,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , 
