,https://roic.ai/company/ACM,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , 
1,Revenue,1747000000,1915000000,2011975000,2395340000,3421492000,4237270000,5194482000,6119465000,6545791000,8037374000,8218180000,8153495000,8356783000,17989880000,17410825000,18203402000,20155512000,20173329000,13239976000,13340852000
2,COGS,1269000000,1381000000,- -,1717863000,2515684000,3076092000,4907286000,5768262000,6115520000,7570672000,7796321000,7703507000,7953607000,17454692000,16768001000,17519682000,19504863000,19359884000,12530416000,12542431000
3,Gross Profit,478000000,534000000,- -,677477000,905808000,1161178000,287196000,351203000,430271000,466702000,421859000,449988000,403176000,535188000,642824000,683720000,650649000,813445000,709560000,798421000
4,Gross Profit Ratio,0.2736,0.2789,- -,0.2828,0.2647,0.2740,0.0553,0.0574,0.0657,0.0581,0.0513,0.0552,0.0482,0.0297,0.0369,0.0376,0.0323,0.0403,0.0536,0.0598
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,97318000,80908000,113975000,115088000,133309000,135787000,148123000,188535000,155072000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",430000000,467000000,- -,581529000,808953000,1017067000,70581000,86894000,110463000,90298000,80903000,97318000,80908000,113975000,115088000,133309000,135787000,148123000,188535000,155072000
9,Other Expenses,-1000000,-2000000,- -,-2352000,-6554000,-11828000,-22192000,22557000,-20987000,-44819000,-48650000,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,429000000,465000000,- -,579177000,802399000,1005239000,48389000,109451000,89476000,45479000,32253000,97318000,80908000,113975000,115088000,133309000,135787000,148123000,188535000,155072000
11,COGS and Expenses,1698000000,1846000000,- -,2297040000,3318083000,4081331000,4955675000,5877713000,6204996000,7616151000,7828574000,7800825000,8034515000,17568667000,16883089000,17652991000,19640650000,19508007000,12718951000,12697503000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,40411000,45096000,44737000,40842000,299627000,258162000,231310000,267519000,225994000,159914000,238352000
14,Depreciation and Amortization,- -,- -,- -,19928000,39830000,45126000,62752000,84117000,78899000,110306000,- -,94406000,95394000,599265000,398730000,278631000,267570000,261185000,237376000,176400000
15,EBITDA,12000000,37000000,50436000,102721000,118739000,192626000,286299000,350815000,407482000,526607000,60945000,470964000,448114000,663810000,715084000,857037000,651914000,225999000,256673000,676948000
16,EBITDA ratio,0.0069,0.0193,0.0251,0.0429,0.0347,0.0455,0.0551,0.0573,0.0623,0.0655,0.0074,0.0578,0.0536,0.0369,0.0411,0.0471,0.0323,0.0112,0.0194,0.0507
17,Operating Income,49000000,69000000,- -,98300000,103409000,155939000,238807000,286866000,340795000,421223000,53606000,376989000,352882000,129018000,375537000,653856000,424868000,25085000,381461000,629553000
18,Operating Income ratio,0.0280,0.0360,- -,0.0410,0.0302,0.0368,0.0460,0.0469,0.0521,0.0524,0.0065,0.0462,0.0422,0.0072,0.0216,0.0359,0.0211,0.0012,0.0288,0.0472
19,Total Other Income Expenses (Gains),-15000000,-13000000,- -,-15507000,-24500000,-8439000,-16292000,-23160000,322000,-37043000,-36123000,-41215000,-38094000,-280488000,-249982000,-224674000,-247384000,-209205000,-148858000,-220749000
20,Income Before Tax,34000000,56000000,- -,82793000,78909000,147500000,222515000,263706000,341117000,384180000,17483000,335774000,314788000,-151470000,125555000,429182000,177484000,-184120000,232603000,408804000
21,Income Before Tax Ratio,0.0195,0.0292,- -,0.0346,0.0231,0.0348,0.0428,0.0431,0.0521,0.0478,0.0021,0.0412,0.0377,-0.0084,0.0072,0.0236,0.0088,-0.0091,0.0176,0.0306
22,Income Tax expense (Gain),-11000000,- -,- -,28979000,25223000,47203000,76321000,77002000,91696000,100090000,74416000,92578000,82024000,-80237000,-37917000,7706000,-19643000,-130000,45753000,89011000
23,Net Income,23000000,37000000,50436000,53814000,53686000,100297000,147226000,189696000,236887000,275800000,-58567000,239243000,229854000,-154845000,96109000,339390000,136468000,-261050000,-186370000,173185000
24,Net Income ratio,0.0132,0.0193,0.0251,0.0225,0.0157,0.0237,0.0283,0.0310,0.0362,0.0343,-0.0071,0.0293,0.0275,-0.0086,0.0055,0.0186,0.0068,-0.0129,-0.0141,0.0130
25,EPS,0.40,0.67,1.71,1.86,0.94,1.37,1.45,1.76,2.07,2.35,-0.52,2.38,2.36,-1.04,0.62,2.18,0.86,-1.66,-1.17,1.18
26,EPS Diluted,0.29,0.65,1.57,1.68,0.74,1.15,1.41,1.73,2.05,2.33,-0.52,2.35,2.33,-1.04,0.62,2.13,0.84,-1.66,-1.17,1.16
27,Weighted Average Shares Outstanding,56965000,52858000,26300000,25940000,54856000,73091000,101456000,108003000,114344000,117396000,111875000,100618000,97226000,149605000,154772000,155728000,159101000,157044000,159005000,147279000
28,Weighted Average Shares Outstanding Diluted,78500000,57178000,32127000,31989000,72658000,87537000,104215000,109706000,115463000,118345000,111875000,101942000,98657000,149605000,156073000,159135000,162261000,157044000,161292000,149676000
