,https://roic.ai/company/NURO,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , 
1,Revenue,3464379,4225007,9167557,17920089,34298133,55249716,44622211,31120800,26137026,13899670,10396775,7575289,5278806,5512764,7299830,12027528,17092336,16090138,9272522,7377975,8253493
2,COGS,1424287,1370159,2706539,4853326,8858094,13558054,12061798,9011941,7535616,7050209,4722069,3588806,2194259,2568602,3950746,7113005,10235538,8707082,7026899,2128417,2331833
3,Gross Profit,2040092,2854848,6461018,13066763,25440039,41691662,32560413,22108859,18601410,6849461,5674706,3986483,3084547,2944162,3349084,4914523,6856798,7383056,2245623,5249558,5921660
4,Gross Profit Ratio,0.5889,0.6757,0.7048,0.7292,0.7417,0.7546,0.7297,0.7104,0.7117,0.4928,0.5458,0.5262,0.5843,0.5341,0.4588,0.4086,0.4012,0.4589,0.2422,0.7115,0.7175
5,Research and Development Exp.,2560961,2146060,2396772,3268363,3820624,5010513,4891937,5256721,5611296,5855353,3877526,3545790,3438218,4075976,3894786,4394353,3497636,5134592,3101976,2391316,2596415
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,12016158,9119001,7231875,5111616,4735238,4225474,4725123,5497513,4872670,5689917,4841278,5923190,3516340,3990141
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,14646958,10840340,11072172,6688591,5727482,2779695,2913112,7232971,10855445,10751863,9698753,4755168,1436806,1619711
8,"Selling, General and Administrative Exp.",- -,5542398,7618095,13332425,21482940,33818744,37797913,26663116,19959341,18304047,11800207,10462720,7005169,7638235,12730484,15728115,16441780,14540031,10678358,4953146,5609852
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,-1767500,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,2560961,7688458,10014867,16600788,25303564,38829257,42689850,30152337,25570637,24159400,15677733,14008510,10443387,11714211,16625270,20122468,19939416,19674623,13780334,7344462,8206267
11,COGS and Expenses,3985248,9058617,12721406,21454114,34161658,52387311,54751648,39164278,33106253,31209609,20399802,17597316,12637646,14282813,20576016,27235473,30174954,28381705,20807233,9472879,10538100
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,720932,226863,298301,21922,14474,5666,4606,5232,19132,14885,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
14,Depreciation and Amortization,- -,261222,214589,205023,718666,564818,381127,1593467,578666,523756,376932,297097,150663,145100,222592,251327,262334,169712,124012,89954,76378
15,EBITDA,-8717494,-4532241,-3452119,-4078966,1691924,5025624,-7997347,-26136582,-11338834,-16487882,-9604173,-9710456,-7868474,-7621122,-8964756,-14661824,-12596919,193317,-3649002,-2002241,-2205079
16,EBITDA ratio,-2.5163,-1.0727,-0.3766,-0.2276,0.0493,0.0910,-0.1792,-0.8398,-0.4338,-1.1862,-0.9238,-1.2819,-1.4906,-1.3825,-1.2281,-1.2190,-0.7370,0.0120,-0.3935,-0.2714,-0.2672
17,Operating Income,-9052893,-4833610,-3553849,-3534025,136475,2862405,-10129437,-19350308,-6969227,-17309939,-10003027,-10022027,-7358840,-8770049,-13276186,-15207945,-13082618,-12291567,-11534711,-2094904,-2284607
18,Operating Income ratio,-2.6131,-1.1440,-0.3877,-0.1972,0.0040,0.0518,-0.2270,-0.6218,-0.2666,-1.2453,-0.9621,-1.3230,-1.3940,-1.5909,-1.8187,-1.2644,-0.7654,-0.7639,-1.2440,-0.2839,-0.2768
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,836783,1598401,1750963,-1779068,-5175136,298301,21922,14474,-660297,1003827,4088838,294794,223365,12315172,7761697,2709,3150
20,Income Before Tax,- -,- -,- -,- -,973258,4460806,-8378474,-21129376,- -,-17011638,-9981105,-10007553,-8019137,-7766222,-9187348,-14913151,-12859253,23605,-3773014,-2092195,-2281457
21,Income Before Tax Ratio,- -,- -,- -,- -,0.0284,0.0807,-0.1878,-0.6789,- -,-1.2239,-0.9600,-1.3211,-1.5191,-1.4088,-1.2586,-1.2399,-0.7523,0.0015,-0.4069,-0.2836,-0.2764
