,https://roic.ai/company/SPT,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , 
1,Revenue,44815000,78813000,102707000,132949000,187859000
2,COGS,9995000,20994000,28154000,34917000,46788000
3,Gross Profit,34820000,57819000,74553000,98032000,141071000
4,Gross Profit Ratio,0.7770,0.7336,0.7259,0.7374,0.7509
5,Research and Development Exp.,16664000,25426000,28059000,30491000,40049000
6,General and Administrative Exp.,14994000,17185000,38178000,40406000,44929000
7,Selling and Marketing Exp.,25165000,35980000,55584000,59137000,84182000
8,"Selling, General and Administrative Exp.",40159000,53165000,93762000,99543000,129111000
9,Other Expenses,- -,- -,- -,- -,- -
10,Operating Expenses,56823000,78591000,121821000,130034000,169160000
11,COGS and Expenses,66818000,99585000,149975000,164951000,215948000
12,Interest Income ,117000,35000,307000,617000,259000
13,Interest Expense (Gain),24000,617000,270000,366000,300000
14,Depreciation and Amortization,1354000,3986000,5324000,5285000,4707000
15,EBITDA,-20532000,-16309000,-41147000,-25877000,-23484000
16,EBITDA ratio,-0.4582,-0.2069,-0.4006,-0.1946,-0.1250
17,Operating Income,-22003000,-20772000,-47268000,-32002000,-28089000
18,Operating Income ratio,-0.4910,-0.2636,-0.4602,-0.2407,-0.1495
19,Total Other Income Expenses (Gains),93000,-140000,527000,474000,-402000
20,Income Before Tax,-21910000,-20912000,-46741000,-31528000,-28491000
21,Income Before Tax Ratio,-0.4889,-0.2653,-0.4551,-0.2371,-0.1517
22,Income Tax expense (Gain),- -,22000,66000,127000,211000
23,Net Income,-21910000,-20934000,-46807000,-31655000,-28702000
24,Net Income ratio,-0.4889,-0.2656,-0.4557,-0.2381,-0.1528
25,EPS,-0.54,-0.56,-2.54,-0.62,-0.53
26,EPS Diluted,-0.54,-0.56,-2.54,-0.62,-0.53
27,Weighted Average Shares Outstanding,40258989,37448149,18438695,51368737,53908520
28,Weighted Average Shares Outstanding Diluted,40258989,37448149,18438695,51368737,53908520
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1517375/000151737520000012/0001517375-20-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1517375/000151737521000009/0001517375-21-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1517375/000151737522000009/0001517375-22-000009-index.htm
30,BALANCE SHEET, , , , , 
31,Cash and Cash Equivalents,4847000,26190000,135310000,114515000,107114000
32,Short-Term Investments,- -,- -,- -,49364000,69821000
33,Cash and Short-Term Investments,4847000,26190000,135310000,163879000,176935000
34,Net Receivables,6403000,10551000,11099000,17178000,25483000
35,Inventory,- -,- -,- -,- -,- -
36,Other Current Assets,2997000,6141000,10624000,18273000,20114000
37,Total Current Assets,14247000,42882000,157033000,199330000,222532000
38,PP&E,14952000,15524000,19147000,25057000,22313000
39,Goodwill,2299000,2299000,2299000,2299000,2299000
40,Intangible Assets,8559000,7014000,5482000,4088000,3045000
41,Intangible Assets,10858000,9313000,7781000,6387000,5344000
42,Investments,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -
44,Other Non-Current Assets,5243000,4126000,5630000,8895000,14528000
45,Total Non-Current Assets,31053000,28963000,32558000,40339000,42185000
46,Other Assets,- -,- -,- -,- -,- -
47,Total Assets,45300000,71845000,189591000,239669000,264717000
48,Accounts Payable,2319000,1784000,2049000,1543000,2888000
49,Short-Term Debt,- -,- -,- -,23638000,2693000
50,Tax Payable,- -,- -,- -,- -,- -
51,Deferred Revenue,14051000,21150000,29566000,43407000,69220000
52,Other Current Liabilities,5534000,8137000,11441000,-5011000,23628000
53,Total Current Liabilities,21904000,31071000,43056000,63577000,98429000
54,Long-Term Debt,3000000,- -,- -,- -,20946000
55,Deferred Revenue,327000,390000,209000,355000,132000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,76537000,14651000,18196000,23638000,- -
58,Total Non-Current Liabilities,79864000,15041000,18405000,23993000,21078000
59,Other Liabilities,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,20527000,25793000,23639000
61,Total Liabilities,101768000,46112000,61461000,87570000,119507000
62,Preferred Stock,- -,102976000,- -,- -,- -
63,Common Stock,1000,1000,5000,5000,5000
64,Retained Earnings,-47647000,-68581000,-115388000,-147043000,-175745000
65,Other Comprehensive Income/Loss,-2179000,-4609000,-7102000,- -,- -
66,Other Total Stockholders Equity,-6643000,-4054000,250615000,299137000,- -
67,Total Stockholders Equity,-56468000,25733000,128130000,152099000,145210000
68,Total Liabilities And Stockholders Equity,45300000,71845000,189591000,239669000,264717000
69,Minority Interest,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,45300000,71845000,189591000,239669000,264717000
