,https://roic.ai/company/OFLX,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , 
1,Revenue,30717000,35026000,37065000,48165000,65638000,73574000,74510000,63484000,44140000,46875000,54193000,64016000,77122000,85219000,93278000,94051000,101799000,108313000,111360000,105796000,130011000
2,COGS,- -,- -,- -,23397000,32937000,35682000,38456000,32265000,21507000,22573000,26476000,31086000,35229000,35193000,36132000,36167000,40033000,42217000,40873000,39246000,48480000
3,Gross Profit,- -,- -,- -,24768000,32701000,37892000,36054000,31219000,22633000,24302000,27717000,32930000,41893000,50026000,57146000,57884000,61766000,66096000,70487000,66550000,81531000
4,Gross Profit Ratio,- -,- -,- -,0.5142,0.4982,0.5150,0.4839,0.4918,0.5128,0.5184,0.5114,0.5144,0.5432,0.5870,0.6126,0.6155,0.6067,0.6102,0.6330,0.6290,0.6271
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,2693000,2222000,2250000,2321000,2468000,2597000,2758000,2921000,2684000,3185000,3293000,4813000,4715000,4200000,4610000
6,General and Administrative Exp.,- -,- -,- -,5490000,- -,- -,- -,- -,6267000,6378000,7666000,12030000,11133000,12351000,15707000,17108000,17897000,17800000,24818000,19117000,21430000
7,Selling and Marketing Exp.,- -,- -,- -,8709000,- -,- -,- -,- -,7872000,8855000,10874000,12256000,12954000,14109000,15252000,15694000,16359000,17117000,19032000,16580000,20429000
8,"Selling, General and Administrative Exp.",- -,- -,- -,14199000,- -,- -,- -,- -,14139000,15233000,18540000,24286000,24087000,26460000,30959000,32802000,34256000,34917000,43850000,35697000,41859000
9,Other Expenses,- -,- -,- -,1363000,20635000,20215000,19633000,18110000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,- -,- -,- -,15562000,20635000,20215000,22326000,20332000,16389000,17554000,21008000,26883000,26845000,29381000,33643000,35987000,37549000,39730000,48565000,39897000,46469000
11,COGS and Expenses,- -,- -,- -,38959000,53572000,55897000,60782000,52597000,37896000,40127000,47484000,57969000,62074000,64574000,69775000,72154000,77582000,81947000,89438000,79143000,94949000
12,Interest Income ,- -,- -,- -,- -,157000,562000,562000,291000,174000,- -,- -,- -,- -,- -,73000,98000,117000,488000,876000,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,39000,- -
14,Depreciation and Amortization,- -,- -,- -,665000,665000,417000,498000,599000,623000,637000,651000,588000,547000,486000,460000,459000,502000,543000,719000,870000,1020000
15,EBITDA,2468000,3563000,4037000,10376000,13086000,8643000,14306000,11899000,7176000,7372000,7405000,11510000,15475000,20942000,23851000,21811000,24614000,27133000,23434000,27413000,36077000
16,EBITDA ratio,0.0803,0.1017,0.1089,0.2154,0.1994,0.1175,0.1920,0.1874,0.1626,0.1573,0.1366,0.1798,0.2007,0.2457,0.2557,0.2319,0.2418,0.2505,0.2104,0.2591,0.2775
17,Operating Income,30717000,35026000,37065000,9206000,12066000,7178000,13212000,11100000,6244000,6748000,6709000,10747000,15048000,20645000,23503000,21897000,24217000,26366000,21922000,26653000,35062000
18,Operating Income ratio,1.0000,1.0000,1.0000,0.1911,0.1838,0.0976,0.1773,0.1748,0.1415,0.1440,0.1238,0.1679,0.1951,0.2423,0.2520,0.2328,0.2379,0.2434,0.1969,0.2519,0.2697
19,Total Other Income Expenses (Gains),- -,- -,- -,505000,355000,1048000,596000,200000,306000,-30000,32000,118000,-65000,-46000,61000,-376000,79000,362000,932000,-92000,56000
20,Income Before Tax,- -,- -,- -,9711000,12421000,8226000,13808000,11300000,6550000,6718000,6741000,10865000,14983000,20599000,23564000,21521000,24296000,26728000,22854000,26561000,35118000
21,Income Before Tax Ratio,- -,- -,- -,0.2016,0.1892,0.1118,0.1853,0.1780,0.1484,0.1433,0.1244,0.1697,0.1943,0.2417,0.2526,0.2288,0.2387,0.2468,0.2052,0.2511,0.2701
22,Income Tax expense (Gain),- -,- -,- -,3710000,4944000,3062000,5126000,3918000,2172000,2169000,2107000,4046000,4891000,6994000,7603000,6975000,8450000,6451000,5429000,6594000,8862000
23,Net Income,2468000,3563000,4037000,6001000,7477000,5164000,8682000,7382000,4381000,4566000,4647000,6876000,10037000,13462000,15788000,14377000,15662000,20139000,17286000,19910000,26195000
24,Net Income ratio,0.0803,0.1017,0.1089,0.1246,0.1139,0.0702,0.1165,0.1163,0.0993,0.0974,0.0857,0.1074,0.1301,0.1580,0.1693,0.1529,0.1539,0.1859,0.1552,0.1882,0.2015
25,EPS,0.28,0.41,0.46,0.66,0.74,0.51,0.86,0.73,0.43,0.45,0.46,0.68,0.99,1.33,1.56,1.42,1.55,2.00,1.71,1.97,2.60
26,EPS Diluted,0.24,0.35,0.40,0.59,0.74,0.51,0.86,0.73,0.43,0.45,0.46,0.68,0.99,1.33,1.56,1.42,1.55,2.00,1.71,1.97,2.60
