,https://roic.ai/company/AY,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , 
1,Revenue,- -,107183000,210907000,362693000,790881000,971797000,1008381000,1043822000,1011452000,1013260000,1211749000
2,COGS,- -,5165000,21424000,31583000,47978000,160211000,146856000,156505000,116018000,118665000,265487000
3,Gross Profit,- -,102018000,189483000,331110000,742903000,811586000,861525000,887317000,895434000,894595000,946262000
4,Gross Profit Ratio,- -,0.9518,0.8984,0.9129,0.9393,0.8351,0.8544,0.8501,0.8853,0.8829,0.7809
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,11826000,26875000,29695000,114226000,73950000,85962000,84302000,99646000,134826000,172696000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,11826000,26875000,29695000,114226000,73950000,85962000,84302000,99646000,134826000,172696000
9,Other Expenses,- -,22459000,51022000,128072000,284159000,335199000,317596000,354060000,285619000,386716000,433601000
10,Operating Expenses,- -,34285000,77897000,157767000,398385000,409149000,403558000,438362000,385265000,521542000,606297000
11,COGS and Expenses,- -,39450000,99321000,189350000,446363000,569360000,550414000,594867000,511002000,640207000,871784000
12,Interest Income ,- -,718000,640000,4075000,933000,286000,325000,36296000,3665000,6651000,2066000
13,Interest Expense (Gain),- -,58158000,95757000,179557000,279782000,333914000,391222000,356793000,348672000,316237000,302558000
14,Depreciation and Amortization,- -,20234000,46943000,125480000,261301000,332925000,310960000,362697000,310755000,408604000,439441000
15,EBITDA,- -,83749000,127521000,277838000,355868000,663650000,710215000,803745000,752512000,761686000,748139000
16,EBITDA ratio,- -,0.7814,0.6046,0.7660,0.4500,0.6829,0.7043,0.7700,0.7440,0.7517,0.6174
17,Operating Income,- -,67733000,111586000,173343000,344518000,402437000,457967000,487910000,500449000,373051000,353890000
18,Operating Income ratio,- -,0.6319,0.5291,0.4779,0.4356,0.4141,0.4542,0.4674,0.4948,0.3682,0.2920
19,Total Other Income Expenses (Gains),- -,-63571000,-125206000,-198195000,-518914000,-399104000,-443017000,-389982000,-394891000,-331300000,-328588000
20,Income Before Tax,- -,4162000,-13620000,-24852000,-174396000,3333000,14950000,97928000,105558000,41751000,25302000
