,https://roic.ai/company/EDU,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , 
1,Revenue,41950073,53379000,77721000,98322000,136445000,201003000,292567000,386307000,557872000,771718000,959854000,1138887000,1246766000,1478348000,1799509000,2447430000,3096491000,3578682000,4276539000
2,COGS,17556942,23077000,33068000,40962000,55239000,77219000,112011000,147261000,222625000,304027000,384177000,451669000,526320000,614364000,749586000,1065740000,1376269000,1588899000,2036875000
3,Gross Profit,24393131,30302000,44653000,57360000,81206000,123784000,180556000,239046000,335247000,467691000,575677000,687218000,720446000,863984000,1049923000,1381690000,1720222000,1989783000,2239664000
4,Gross Profit Ratio,0.5815,0.5677,0.5745,0.5834,0.5952,0.6158,0.6171,0.6188,0.6009,0.6060,0.5998,0.6034,0.5779,0.5844,0.5834,0.5645,0.5555,0.5560,0.5237
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,19750000,25103000,38688000,54073000,78449000,80689000,103336000,155412000,235743000,311014000,324210000,378434000,471010000,554948000,794482000,1034028000,1145521000,1489826000
7,Selling and Marketing Exp.,2496572,5028000,6128000,10483000,- -,- -,38947000,58396000,82797000,115151000,142098000,169062000,188483000,197897000,232826000,324249000,384287000,445259000,600778000
8,"Selling, General and Administrative Exp.",2496572,24778000,31231000,49171000,54073000,78449000,119636000,161732000,238209000,350894000,453112000,493272000,566917000,668907000,787774000,1118731000,1418315000,1590780000,2090604000
9,Other Expenses,18914492,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,21411064,24778000,31231000,49171000,54073000,78449000,119636000,161732000,238209000,350894000,453112000,493272000,566917000,668907000,787774000,1118731000,1418315000,1590780000,2090604000
11,COGS and Expenses,38968006,47855000,64299000,90133000,109312000,155668000,231647000,308993000,460834000,654921000,837289000,944941000,1093237000,1283271000,1537360000,2184471000,2794584000,3179679000,4127479000
12,Interest Income ,- -,499000,441000,298000,- -,- -,6599000,6474000,13017000,25488000,30121000,44880000,66605000,66861000,61445000,84838000,97530000,116117000,141511000
13,Interest Expense (Gain),- -,373000,766000,1256000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1615000,4627000,6747000
14,Depreciation and Amortization,- -,- -,- -,5339000,7052000,7803000,10602000,12350000,17019000,26358000,39193000,43808000,47386000,48515000,55389000,79030000,114004000,151002000,230443000
15,EBITDA,2531604,7021000,18624000,14675000,38580000,60460000,78874000,96113000,127029000,169818000,190817000,285554000,266620000,310930000,380470000,434568000,439398000,703324000,655192000
16,EBITDA ratio,0.0603,0.1315,0.2396,0.1493,0.2828,0.3008,0.2696,0.2488,0.2277,0.2201,0.1988,0.2507,0.2138,0.2103,0.2114,0.1776,0.1419,0.1965,0.1532
17,Operating Income,2982067,5524000,13422000,8189000,27133000,45335000,60920000,77314000,95501000,116797000,122565000,197567000,153529000,198837000,262149000,262959000,305534000,399003000,117266000
18,Operating Income ratio,0.0711,0.1035,0.1727,0.0833,0.1989,0.2255,0.2082,0.2001,0.1712,0.1513,0.1277,0.1735,0.1231,0.1345,0.1457,0.1074,0.0987,0.1115,0.0274
19,Total Other Income Expenses (Gains),298134,406000,-242000,-1332000,4265000,7322000,7189000,6222000,14274000,26663000,30893000,45632000,66947000,68447000,68560000,94065000,10315000,88833000,197711000
20,Income Before Tax,3280201,5930000,13180000,6857000,31398000,52657000,68109000,83536000,109775000,143460000,153458000,243199000,220476000,267284000,330709000,357024000,315849000,487836000,314977000
21,Income Before Tax Ratio,0.0782,0.1111,0.1696,0.0697,0.2301,0.2620,0.2328,0.2162,0.1968,0.1859,0.1599,0.2135,0.1768,0.1808,0.1838,0.1459,0.1020,0.1363,0.0737
22,Income Tax expense (Gain),192555,319000,706000,1777000,1897000,3644000,7256000,5974000,8236000,10772000,15355000,26042000,26221000,37531000,50624000,59408000,85714000,134362000,83588000
23,Net Income,2339049,6329000,17152000,6303000,29631000,49013000,61016000,77789000,101774000,132688000,136269000,215704000,193013000,224884000,274457000,296130000,238065000,413333000,334414000
24,Net Income ratio,0.0558,0.1186,0.2207,0.0641,0.2172,0.2438,0.2086,0.2014,0.1824,0.1719,0.1420,0.1894,0.1548,0.1521,0.1525,0.1210,0.0769,0.1155,0.0782
25,EPS,0.00,0.01,0.02,0.00,0.02,0.03,0.04,0.05,0.07,0.09,0.09,0.14,0.12,0.14,0.17,0.19,0.15,0.26,0.20
26,EPS Diluted,0.00,0.01,0.02,0.00,0.02,0.03,0.04,0.05,0.07,0.09,0.09,0.14,0.12,0.14,0.17,0.19,0.15,0.26,0.20
27,Weighted Average Shares Outstanding,1000000000,1000000000,1000000000,1000000000,1342181910,1499922000,1496336340,1509522490,1538567150,1546277840,1557629590,1560339920,1564386060,1567824390,1575513200,1581687940,1582938900,1584295760,1645463440
