,https://roic.ai/company/IMUC,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
0,INCOME STATEMENT, , , , , , , , , , , , , 
1,Revenue,- -,- -,- -,- -,300000,- -,- -,- -,- -,- -,- -,- -,- -
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
5,Research and Development Exp.,150000,770000,80000,1300000,960000,2290000,4990000,7710000,5339720,5969180,10896590,19105730,17126240
6,General and Administrative Exp.,50000,4560000,2240000,1880000,1990000,2840000,3640000,4120000,4120600,3889360,4616500,5006400,4027200
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",50000,4560000,2240000,1880000,1990000,2840000,3640000,4120000,4120600,3889360,4616500,5006400,4027200
9,Other Expenses,6886,5108,593,-3725,-1750,6009,-4498,-3469,-1,1,1,-5,4
10,Operating Expenses,206886,5335108,2320593,3176275,2948250,5136009,8625502,11826531,9460319,9858541,15513091,24112125,21153444
11,COGS and Expenses,250000,5370000,2320000,3180000,2950000,5140000,8630000,11830000,9460320,9858540,15513090,24112130,13434000
12,Interest Income ,- -,30054,162040,116545,22045,4105,4346,8609,17345,13917,19863,24381,4680
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,397294,- -,62683,133905,1311836,882683
14,Depreciation and Amortization,- -,- -,- -,2075,3397,3633,20357,45823,50402,47656,36193,75114,47768
15,EBITDA,-250000,-4930000,-4910000,-2940000,-2626603,-7160000,-8610000,-11780000,-9409920,-9810880,-15476900,-24037020,-13386230
16,EBITDA ratio,-Infinity,-Infinity,-Infinity,-Infinity,-8.7553,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
17,Operating Income,-206886,-5369967,-2320593,-3176275,-2648250,-5136009,-8625502,-11826531,-9460319,-9858541,-15513091,-24112125,-21153444
18,Operating Income ratio,-Infinity,-Infinity,-Infinity,-Infinity,-8.8275,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
19,Total Other Income Expenses (Gains),-43114,219967,-1299407,116275,18250,-1013991,2905502,-2673469,659759,481011,2722281,2026425,6841434
20,Income Before Tax,-250000,-5150000,-3620000,-3060000,-2630000,-6150000,-5720000,-14500000,-8800560,-9377530,-12790810,-22085700,-14312010
21,Income Before Tax Ratio,-Infinity,-Infinity,-Infinity,-Infinity,-8.7667,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,-250000,-5150000,-3620000,-3060000,-2630000,-6150000,-5720000,-14500000,-8800560,-9377530,-12790810,-22085700,-14312010
24,Net Income ratio,-Infinity,-Infinity,-Infinity,-Infinity,-8.7667,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
25,EPS,-16.00,-200.00,-132.00,-96.00,-76.00,-172.00,-84.00,-112.58,-61.18,-64.00,-60.00,-78.90,-12.30
26,EPS Diluted,-16.00,-200.00,-132.00,-96.00,-76.00,-172.00,-84.00,-112.58,-61.18,-64.00,-60.00,-78.91,-12.30
27,Weighted Average Shares Outstanding,17169,21832,27133,31350,34299,47971,68626,128752,143855,146524,218009,279888,4191325
28,Weighted Average Shares Outstanding Diluted,17169,21832,27133,31350,34299,47971,68626,128752,143855,146524,218009,279888,4191325
