,https://roic.ai/company/VICI,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , 
1,Revenue,18908000,18077000,18785000,201436000,897977000,894798000,1225574000,1509568000
2,COGS,14067000,13417000,13739000,33768000,99181000,18901000,- -,48570000
3,Gross Profit,4841000,4660000,5046000,167668000,798796000,875897000,1225574000,1460998000
4,Gross Profit Ratio,0.2560,0.2578,0.2686,0.8324,0.8896,0.9789,1.0000,0.9678
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,1898000,1760000,2009000,11280000,24429000,24569000,30661000,33122000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",1898000,1760000,2009000,11280000,24429000,24569000,30661000,33122000
9,Other Expenses,2904000,2882000,3030000,3153000,3686000,3831000,290357000,-16463000
10,Operating Expenses,4802000,4642000,5039000,14433000,28115000,28400000,321018000,16659000
11,COGS and Expenses,18869000,18059000,18778000,48201000,127296000,47301000,321018000,65229000
12,Interest Income ,- -,- -,- -,- -,11307000,20014000,6795000,120000
13,Interest Expense (Gain),39000,18000,7000,63354000,212663000,248384000,308605000,392390000
14,Depreciation and Amortization,2904000,2882000,3030000,3153000,3686000,3831000,3731000,3091000
15,EBITDA,2943000,2900000,3037000,107268000,741409000,799884000,1207713000,1412219000
16,EBITDA ratio,0.1556,0.1604,0.1617,0.5325,0.8256,0.8939,0.9854,0.9355
17,Operating Income,39000,18000,7000,144196000,757954000,842499000,- -,- -
18,Operating Income ratio,0.0021,0.0010,0.0004,0.7158,0.8441,0.9416,- -,- -
19,Total Other Income Expenses (Gains),- -,- -,- -,-101560000,-224396000,-286513000,871575000,- -
20,Income Before Tax,- -,- -,- -,42636000,533558000,555986000,897039000,1026045000
21,Income Before Tax Ratio,- -,- -,- -,0.2117,0.5942,0.6214,0.7319,0.6797
22,Income Tax expense (Gain),-4000,-3000,- -,-1901000,1441000,1705000,-831000,2887000
23,Net Income,4000,3000,- -,42662000,523619000,545964000,896208000,1013851000
24,Net Income ratio,0.0002,0.0002,- -,0.2118,0.5831,0.6102,0.7313,0.6716
25,EPS,0.00,0.00,- -,0.13,1.43,1.25,1.76,2.00
26,EPS Diluted,0.00,0.00,- -,0.13,1.43,1.24,1.75,1.98
27,Weighted Average Shares Outstanding,360778938,360778938,360778938,327541414,367226395,435071096,506140642,506140642
28,Weighted Average Shares Outstanding Diluted,360778938,360778938,360778938,327580567,367316901,439152946,510908755,510908755
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1705696/000170569618000015/0001705696-18-000015-index.html,https://www.sec.gov/Archives/edgar/data/1705696/000170569619000064/0001705696-19-000064-index.html,https://www.sec.gov/Archives/edgar/data/1705696/000170569620000048/0001705696-20-000048-index.html,https://www.sec.gov/Archives/edgar/data/1705696/000170569621000030/0001705696-21-000030-index.htm,https://www.sec.gov/Archives/edgar/data/1705696/000170569622000046/0001705696-22-000046-index.htm
30,BALANCE SHEET, , , , , , , , 
31,Cash and Cash Equivalents,- -,351000,920000,183646000,577883000,1101893000,315993000,739614000
32,Short-Term Investments,- -,- -,- -,- -,520877000,59474000,19973000,- -
33,Cash and Short-Term Investments,- -,351000,920000,183646000,1098760000,1161367000,335966000,739614000
34,Net Receivables,- -,183000,77000,- -,- -,1626000,3162216000,3150979000
35,Inventory,- -,442000,371000,- -,- -,- -,- -,- -
36,Other Current Assets,- -,66000,276000,13760000,20564000,3252000,2710000,3660000
37,Total Current Assets,- -,1042000,1644000,197406000,1119324000,1166245000,3500892000,3894253000
38,PP&E,- -,90992000,88831000,74300000,71513000,96832000,364193000,359296000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,8268643000,- -,- -,- -,- -
