,https://roic.ai/company/CARS,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , 
1,Revenue,418204000,495954000,596510000,633106000,626262000,662127000,606682000,547503000,623683000
2,COGS,106550000,115525000,116690000,129864000,65541000,92367000,99549000,101536000,114200000
3,Gross Profit,311654000,380429000,479820000,503242000,560721000,569760000,507133000,445967000,509483000
4,Gross Profit Ratio,0.7452,0.7671,0.8044,0.7949,0.8953,0.8605,0.8359,0.8145,0.8169
5,Research and Development Exp.,- -,- -,- -,- -,- -,73970000,- -,- -,- -
6,General and Administrative Exp.,146815000,229647000,147614000,162066000,119065000,133654000,136631000,119715000,150878000
7,Selling and Marketing Exp.,186274000,210754000,211779000,211032000,209813000,232884000,217432000,183448000,208335000
8,"Selling, General and Administrative Exp.",333089000,440401000,359393000,373098000,328878000,366538000,354063000,303163000,359213000
9,Other Expenses,- -,18164000,72658000,74829000,88639000,29840000,116877000,113276000,101932000
10,Operating Expenses,333089000,458565000,432051000,447927000,417517000,470348000,470940000,416439000,461145000
11,COGS and Expenses,333089000,458565000,432051000,447927000,483058000,562715000,570489000,517975000,575345000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,27717000,- -,37856000,38729000
14,Depreciation and Amortization,9260000,27647000,80818000,83106000,88639000,103810000,116877000,113276000,101932000
15,EBITDA,113950000,619243000,238656000,260064000,210801000,188456000,-358402000,-785277000,150144000
16,EBITDA ratio,0.2725,1.2486,0.4001,0.4108,0.3366,0.2846,-0.5908,-1.4343,0.2407
17,Operating Income,67341000,22314000,157733000,176650000,134256000,83924000,-446060000,-887327000,48338000
18,Operating Income ratio,0.1610,0.0450,0.2644,0.2790,0.2144,0.1267,-0.7352,-1.6207,0.0775
19,Total Other Income Expenses (Gains),1901000,281000,105000,308000,-12094000,-26995000,-29219000,-49082000,-38855000
20,Income Before Tax,69242000,22595000,157838000,176958000,122162000,56929000,-475279000,-936409000,9483000
21,Income Before Tax Ratio,0.1656,0.0456,0.2646,0.2795,0.1951,0.0860,-0.7834,-1.7103,0.0152
22,Income Tax expense (Gain),- -,- -,- -,588000,-102281000,18120000,-29955000,-119289000,1764000
23,Net Income,104690000,591596000,157838000,176370000,224443000,38809000,-445324000,-817120000,7719000
24,Net Income ratio,0.2503,1.1928,0.2646,0.2786,0.3584,0.0586,-0.7340,-1.4924,0.0124
25,EPS,1.46,8.26,2.20,2.46,3.13,0.55,-6.65,-12.15,0.11
26,EPS Diluted,1.46,8.26,2.20,2.46,3.13,0.55,-6.65,-12.15,0.11
27,Weighted Average Shares Outstanding,71600000,71600000,71600000,71600000,71661000,70318000,66995000,67241000,68727000
28,Weighted Average Shares Outstanding Diluted,71600000,71600000,71600000,71600000,71727000,70547000,66995000,67241000,71337000
29,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1683606/000156459018004522/0001564590-18-004522-index.html,https://www.sec.gov/Archives/edgar/data/1683606/000156459019005502/0001564590-19-005502-index.html,https://www.sec.gov/Archives/edgar/data/1683606/000156459020006776/0001564590-20-006776-index.html,https://www.sec.gov/Archives/edgar/data/1683606/000156459021008812/0001564590-21-008812-index.htm,https://www.sec.gov/Archives/edgar/data/1683606/000095017022002101/0000950170-22-002101-index.htm
30,BALANCE SHEET, , , , , , , , , 
31,Cash and Cash Equivalents,- -,187000,100000,8896000,20563000,25463000,13549000,67719000,39069000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,187000,100000,8896000,20563000,25463000,13549000,67719000,39069000
34,Net Receivables,- -,114191000,86677000,98303000,100857000,108921000,101762000,93649000,98893000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,15396000,11740000,12342000,21219000,19553000,7129000,16713000,9475000
37,Total Current Assets,- -,129774000,98517000,119541000,142639000,153937000,122440000,178081000,147437000
38,PP&E,- -,18353000,18897000,20461000,39740000,41482000,43696000,41323000,43005000
39,Goodwill,- -,703228000,703228000,788107000,788107000,884449000,505885000,- -,26227000
40,Intangible Assets,- -,1716056000,1643398000,1607369000,1529500000,1510410000,1329499000,835166000,769424000
41,Intangible Assets,- -,2419284000,2346626000,2395476000,2317607000,2394859000,1835384000,835166000,795651000
42,Investments,- -,10297000,9627000,11788000,11053000,10271000,26471000,21142000,21112000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -
45,Total Non-Current Assets,- -,2447934000,2375150000,2427725000,2368400000,2446612000,1905551000,897631000,859768000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,2577708000,2473667000,2547266000,2511039000,2600549000,2027991000,1075712000,1007205000
48,Accounts Payable,- -,11843000,8529000,7844000,6581000,11631000,12431000,16512000,15420000
49,Short-Term Debt,- -,- -,- -,- -,21158000,26853000,31391000,7756000,8941000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,25514000,25903000,26087000,720000,18885000,- -,- -,- -
52,Other Current Liabilities,- -,82664000,53938000,38053000,61690000,53341000,54984000,66100000,69929000
53,Total Current Liabilities,- -,120021000,88370000,71984000,90149000,110710000,98806000,90368000,94290000
54,Long-Term Debt,- -,- -,- -,- -,557194000,665306000,611277000,576143000,457383000
55,Deferred Revenue,- -,94485000,69285000,44085000,18885000,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,8325000,146482000,177916000,132996000,30800000,31086000
57,Other Non-Current Liabilities,- -,27525000,11493000,5587000,19201000,19694000,43844000,38225000,57512000
58,Total Non-Current Liabilities,- -,122010000,80778000,57997000,741762000,862916000,788117000,645168000,545981000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,242031000,169148000,129981000,831911000,973626000,886923000,735536000,640271000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,716000,683000,668000,674000,692000
64,Retained Earnings,- -,- -,- -,- -,176582000,118239000,-367067000,-1184187000,-1176468000
65,Other Comprehensive Income/Loss,- -,-2082000,-9888000,-16729000,-21606000,-30843000,-7642000,-6804000,-2002000
66,Other Total Stockholders Equity,- -,2337759000,2314407000,2434014000,1523436000,1538844000,1515109000,1530493000,1544712000
67,Total Stockholders Equity,- -,2335677000,2304519000,2417285000,1679128000,1626923000,1141068000,340176000,366934000
68,Total Liabilities And Stockholders Equity,- -,2577708000,2473667000,2547266000,2511039000,2600549000,2027991000,1075712000,1007205000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,2577708000,2473667000,2547266000,2511039000,2600549000,2027991000,1075712000,1007205000
71,SEC Link,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1683606/000156459018004522/0001564590-18-004522-index.html,https://www.sec.gov/Archives/edgar/data/1683606/000156459019005502/0001564590-19-005502-index.html,https://www.sec.gov/Archives/edgar/data/1683606/000156459020006776/0001564590-20-006776-index.html,https://www.sec.gov/Archives/edgar/data/1683606/000156459021008812/0001564590-21-008812-index.htm,https://www.sec.gov/Archives/edgar/data/1683606/000095017022002101/0000950170-22-002101-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , 
73,Net Income,104690000,591596000,157838000,176370000,224443000,38809000,-445324000,-817120000,7719000
74,Depreciation and Amortization,9260000,27647000,80818000,83106000,88639000,103810000,116877000,113276000,101932000
75,Deferred Income Tax,- -,- -,- -,- -,-108845000,16693000,-44920000,-103582000,-2641000
76,Stock Based Compensation,- -,- -,- -,- -,2627000,9423000,7588000,15155000,21431000
77,Change in Working Capital,6655000,1828000,394000,37410000,4933000,-9263000,-19593000,64079000,-1048000
78,Accounts Receivable,-6823000,-20886000,-5535000,-13579000,-5006000,-1164000,2262000,3733000,-5352000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,-1498000,5815000,-3395000,-1548000,-432000,2512000,874000,3993000,-1099000
81,Other Working Capital,7925000,9753000,10147000,47557000,52490000,43227000,23634000,87713000,5293000
82,Other Non-Cash Items,-2862000,-523942000,-48995000,-97733000,-25868000,4076000,486856000,866808000,10610000
83,Cash Provided by Operating Activities,117743000,97129000,190055000,199153000,185929000,163548000,101484000,138616000,138003000
84,CAPEX,-10678000,-8576000,-9108000,-9701000,-32774000,-14233000,-21257000,-16712000,-19192000
85,Acquisitions Net,3260000,545875000,7900000,-117116000,- -,-157153000,- -,- -,-20258000
86,Purchases of Investments,- -,-2000000,- -,-2216000,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,21000,2067000,62000,2280000,- -,11000,-599000,-16712000,- -
89,Cash Used for Investing Activites,-7397000,537366000,-1146000,-126753000,-32774000,-171375000,-21856000,-16712000,-39450000
90,Debt Repayment,- -,- -,- -,- -,-91250000,-82500000,-58125000,-615625000,-120000000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,-97190000,-40000000,- -,- -
93,Dividends Paid,-90000000,-598321000,- -,- -,-650000000,- -,- -,- -,- -
94,Other Financing Activites,- -,-75392000,-188996000,-63604000,599762000,192417000,6583000,547891000,-7203000
95,Cash Used/Provided by Financing Activities,-90000000,-673713000,-188996000,-63604000,-141488000,12727000,-91542000,-67734000,-127203000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,20346000,-39218000,-87000,8796000,11667000,4900000,-11914000,54170000,-28650000
98,Cash at the End of Period,39405000,187000,100000,8896000,20563000,25463000,13549000,67719000,39069000
99,Cash at the Beginning of Period,19059000,39405000,187000,100000,8896000,20563000,25463000,13549000,67719000
100,Free Cash Flow,107065000,88553000,180947000,189452000,153155000,149315000,80227000,121904000,118811000
101,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1683606/000156459018004522/0001564590-18-004522-index.html,https://www.sec.gov/Archives/edgar/data/1683606/000156459019005502/0001564590-19-005502-index.html,https://www.sec.gov/Archives/edgar/data/1683606/000156459020006776/0001564590-20-006776-index.html,https://www.sec.gov/Archives/edgar/data/1683606/000156459021008812/0001564590-21-008812-index.htm,https://www.sec.gov/Archives/edgar/data/1683606/000095017022002101/0000950170-22-002101-index.htm
102,false,,,,,,,,,
