,https://roic.ai/company/HBI,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , 
1,Revenue,5010548000,4920840000,4669665000,4632741000,4683683000,4472832000,4474537000,- -,4248800000,3891300000,4637143000,4525700000,4627800000,- -,5324700000,6028199000,6471410000,6803955000,6966923000,- -,6664350000
2,COGS,3337522000,3278506000,3010383000,3092026000,3223571000,2987500000,3033627000,- -,2871400000,2626000000,3096772000,3105700000,3016100000,- -,3420300000,3752151000,3784055000,4112381000,4189326000,- -,4816086000
3,Gross Profit,1673026000,1642334000,1659282000,1540715000,1460112000,1485332000,1440910000,- -,1377400000,1265300000,1540371000,1420000000,1611700000,- -,1904400000,2276048000,2687355000,2691574000,2777597000,- -,1848264000
4,Gross Profit Ratio,0.3339,0.3338,0.3553,0.3326,0.3117,0.3321,0.3220,- -,0.3242,0.3252,0.3322,0.3138,0.3483,- -,0.3577,0.3776,0.4153,0.3956,0.3987,- -,0.2773
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,48300000,51300000,- -,63300000,- -,65457000,59313000,51520000,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,1009600000,937400000,1062090000,931600000,1044700000,- -,1278400000,1500399000,1551999000,1688138000,1771788000,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,- -,1040754000,- -,1009600000,937400000,1062090000,931600000,1044700000,- -,1278400000,1500399000,1551999000,1688138000,1771788000,- -,- -
9,Other Expenses,1500294000,1146549000,1111668000,1115430000,1100632000,1051833000,-32144000,- -,50300000,57000000,- -,0,500000,- -,-1200000,- -,326724000,79436000,64559000,- -,1841763000
10,Operating Expenses,1500294000,1146549000,1111668000,1115430000,1100632000,1051833000,1008610000,- -,1059900000,994400000,1062090000,979900000,1096500000,- -,1340500000,1500399000,1944180000,1826887000,1887867000,- -,1841763000
11,COGS and Expenses,4837816000,4425055000,4122051000,4207456000,4324203000,4039333000,4042237000,- -,3931300000,3620400000,4158862000,4085600000,4112600000,- -,4760800000,5252550000,5728235000,5939268000,6077193000,- -,6657849000
