,https://roic.ai/company/WB,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,INCOME STATEMENT, , , , , , , , , , 
1,Revenue,- -,65929000,188313000,334172000,477891000,655800000,1150054000,1718518000,1766914000,1689931000
2,COGS,29527000,46429000,59891000,83599000,141960000,171231000,231255000,277648000,328826000,302180000
3,Gross Profit,-29527000,19500000,128422000,250573000,335931000,484569000,918799000,1440870000,1438088000,1387751000
4,Gross Profit Ratio,-Infinity,0.2958,0.6820,0.7498,0.7029,0.7389,0.7989,0.8384,0.8139,0.8212
5,Research and Development Exp.,36921000,71186000,100740000,125832000,143444000,154088000,193393000,249873000,284444000,324110000
6,General and Administrative Exp.,3981000,5778000,22517000,26530000,28925000,41218000,42315000,43755000,90721000,101224000
7,Selling and Marketing Exp.,45048000,40380000,63069000,120314000,126059000,148283000,275537000,527424000,465339000,455619000
8,"Selling, General and Administrative Exp.",49029000,46158000,85586000,146844000,154984000,189501000,317852000,571179000,556060000,556843000
9,Other Expenses,- -,- -,- -,-811000,- -,- -,- -,- -,- -,- -
10,Operating Expenses,85950000,117344000,186326000,271865000,298428000,343589000,511245000,821052000,840504000,880953000
11,COGS and Expenses,115477000,163773000,246217000,358796000,448393000,554981000,747247000,1133328000,1419265000,1183133000
12,Interest Income ,-1750000,-4853000,-2884000,6758000,6344000,8757000,13260000,43808000,85386000,85829000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,29896000,57428000
14,Depreciation and Amortization,7323000,16386000,21529000,23060000,20950000,13982000,15328000,19847000,25772000,- -
15,EBITDA,-108154000,-87651000,-16315000,-41137000,58286000,126325000,434664000,687892000,659907000,432108000
16,EBITDA ratio,-Infinity,-1.3295,-0.0866,-0.1231,0.1220,0.1926,0.3780,0.4003,0.3735,0.2557
17,Operating Income,-115477000,-97844000,-57904000,-21292000,37503000,140980000,407554000,609264000,597584000,506798000
18,Operating Income ratio,-Infinity,-1.4841,-0.3075,-0.0637,0.0785,0.2150,0.3544,0.3545,0.3382,0.2999
19,Total Other Income Expenses (Gains),-2173000,-6193000,20060000,-43048000,-723000,-31000000,9557000,59578000,4813000,-130885000
20,Income Before Tax,-117650000,-104037000,-37844000,-64340000,36780000,109980000,417111000,668842000,602397000,375913000
21,Income Before Tax Ratio,-Infinity,-1.5780,-0.2010,-0.1925,0.0770,0.1677,0.3627,0.3892,0.3409,0.2224
