,https://roic.ai/company/CC,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , 
1,Revenue,7972000000,7365000000,6859000000,6432000000,5717000000,5400000000,6183000000,6638000000,5526000000,4969000000,6345000000
2,COGS,5375000000,5014000000,5395000000,5072000000,4762000000,4290000000,4429000000,4667000000,4463000000,3902000000,4964000000
3,Gross Profit,2597000000,2351000000,1464000000,1360000000,955000000,1110000000,1754000000,1971000000,1063000000,1067000000,1381000000
4,Gross Profit Ratio,0.3258,0.3192,0.2134,0.2114,0.1670,0.2056,0.2837,0.2969,0.1924,0.2147,0.2177
5,Research and Development Exp.,135000000,145000000,164000000,143000000,97000000,80000000,80000000,82000000,80000000,93000000,107000000
6,General and Administrative Exp.,731000000,747000000,768000000,685000000,632000000,934000000,602000000,657000000,548000000,527000000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",731000000,747000000,768000000,685000000,632000000,934000000,602000000,657000000,548000000,527000000,592000000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,23000000,- -,8000000
10,Operating Expenses,866000000,892000000,932000000,828000000,729000000,1014000000,682000000,739000000,651000000,620000000,707000000
11,COGS and Expenses,6241000000,5906000000,6327000000,5900000000,5491000000,5304000000,5111000000,5406000000,5114000000,4522000000,5671000000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,132000000,213000000,215000000,195000000,208000000,210000000,185000000
14,Depreciation and Amortization,272000000,266000000,261000000,257000000,267000000,284000000,273000000,284000000,311000000,320000000,317000000
15,EBITDA,2177000000,1750000000,836000000,806000000,211000000,486000000,1399000000,1633000000,395000000,709000000,1178000000
16,EBITDA ratio,0.2731,0.2376,0.1219,0.1253,0.0369,0.0900,0.2263,0.2460,0.0715,0.1427,0.1857
17,Operating Income,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
18,Operating Income ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
19,Total Other Income Expenses (Gains),176000000,26000000,44000000,18000000,-414000000,-107000000,-160000000,-77000000,-536000000,-268000000,- -
20,Income Before Tax,1907000000,1485000000,576000000,550000000,-188000000,-11000000,912000000,1155000000,-124000000,179000000,676000000
21,Income Before Tax Ratio,0.2392,0.2016,0.0840,0.0855,-0.0329,-0.0020,0.1475,0.1740,-0.0224,0.0360,0.1065
22,Income Tax expense (Gain),474000000,427000000,152000000,149000000,-98000000,-18000000,165000000,159000000,-72000000,-40000000,68000000
23,Net Income,1431000000,1057000000,423000000,400000000,-90000000,7000000,746000000,995000000,-52000000,219000000,608000000
24,Net Income ratio,0.1795,0.1435,0.0617,0.0622,-0.0157,0.0013,0.1207,0.1499,-0.0094,0.0441,0.0958
25,EPS,7.89,5.83,2.33,1.50,-0.50,0.04,4.04,5.62,-0.32,1.33,3.68
26,EPS Diluted,7.83,5.78,2.31,1.49,-0.50,0.04,3.91,5.45,-0.32,1.32,3.60
27,Weighted Average Shares Outstanding,181367000,181367000,181367000,182950000,180993623,181621422,184844106,176968554,164816839,164681827,165113024
28,Weighted Average Shares Outstanding Diluted,182764000,182764000,182764000,184375000,180993623,183416500,190983991,182572021,167245023,166346529,168954694
29,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1627223/000162722316000066/0001627223-16-000066-index.html,https://www.sec.gov/Archives/edgar/data/1627223/000156459017001763/0001564590-17-001763-index.html,https://www.sec.gov/Archives/edgar/data/1627223/000156459018002325/0001564590-18-002325-index.html,https://www.sec.gov/Archives/edgar/data/1627223/000156459019003090/0001564590-19-003090-index.html,https://www.sec.gov/Archives/edgar/data/1627223/000156459020004829/0001564590-20-004829-index.html,https://www.sec.gov/Archives/edgar/data/1627223/000156459021005805/0001564590-21-005805-index.htm,https://www.sec.gov/Archives/edgar/data/1627223/000156459022004791/0001564590-22-004791-index.htm
30,BALANCE SHEET, , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,366000000,902000000,1556000000,1201000000,943000000,1105000000,1451000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,167000,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,366000000,902000000,1556000000,1201000000,943000000,1105167000,1451000000
34,Net Receivables,- -,789000000,829000000,831000000,859000000,807000000,919000000,861000000,674000000,511000000,720000000
35,Inventory,- -,977000000,1055000000,1052000000,972000000,767000000,935000000,1147000000,1079000000,939000000,1099000000
36,Other Current Assets,- -,67000000,96000000,79000000,104000000,77000000,83000000,84000000,81000000,77833000,75000000
37,Total Current Assets,- -,1833000000,1980000000,1962000000,2301000000,2553000000,3493000000,3293000000,2777000000,2633000000,3345000000
38,PP&E,- -,2793000000,2972000000,3308000000,3177000000,2784000000,3008000000,3291000000,3853000000,3710000000,3381000000
39,Goodwill,- -,198000000,198000000,198000000,166000000,153000000,153000000,153000000,153000000,153000000,102000000
40,Intangible Assets,- -,29000000,17000000,11000000,10000000,17000000,13000000,28000000,21000000,14000000,6000000
41,Intangible Assets,- -,227000000,215000000,209000000,176000000,170000000,166000000,181000000,174000000,167000000,108000000
42,Investments,- -,130000000,123000000,124000000,136000000,136000000,173000000,160000000,162000000,167000000,169000000
43,Tax Assets,- -,9000000,9000000,9000000,47000000,41000000,40000000,46000000,40000000,95000000,171000000
44,Other Non-Current Assets,- -,325000000,322000000,366000000,461000000,376000000,413000000,391000000,252000000,310000000,376000000
45,Total Non-Current Assets,- -,3484000000,3641000000,4016000000,3997000000,3507000000,3800000000,4069000000,4481000000,4449000000,4205000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,5317000000,5621000000,5978000000,6298000000,6060000000,7293000000,7362000000,7258000000,7082000000,7550000000
48,Accounts Payable,- -,887000000,1026000000,1004000000,945000000,858000000,1008000000,1111000000,901000000,820000000,1141000000
49,Short-Term Debt,- -,- -,- -,- -,39000000,15000000,15000000,13000000,200000000,78000000,84000000
