,https://roic.ai/company/IBRX,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , 
1,Revenue,- -,641000,236000,44000,45000,47000,43000,111000,934000
2,COGS,- -,323000,- -,- -,- -,- -,- -,- -,- -
3,Gross Profit,- -,318000,- -,- -,- -,- -,- -,111000,- -
4,Gross Profit Ratio,- -,0.4961,- -,- -,- -,- -,- -,1.0000,- -
5,Research and Development Exp.,- -,1595000,11434000,29153000,42044000,55718000,49785000,64483000,195958000
6,General and Administrative Exp.,- -,4326000,227678000,95391000,57121000,42718000,18065000,27254000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,4326000,227678000,95391000,57121000,42718000,18065000,27254000,135256000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,- -,5921000,239112000,124544000,99165000,98436000,67850000,91737000,331214000
11,COGS and Expenses,- -,6244000,239112000,124544000,99165000,98436000,67850000,91737000,- -
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,66000,618000,433000,19000,41000,-14849000
14,Depreciation and Amortization,- -,128000,1472000,3607000,5566000,9555000,9012000,9147000,14238000
15,EBITDA,- -,-6084000,-235705000,-117708000,-90732000,-86741000,-56855000,-83190000,-350468000
16,EBITDA ratio,- -,-9.4914,-998.7500,-2675.1818,-2016.2667,-1845.5532,-1322.2093,-749.4595,-375.2334
17,Operating Income,- -,-5603000,-238876000,-124500000,-99120000,-98389000,-156251000,-220880000,-330280000
18,Operating Income ratio,- -,-8.7410,-1012.1864,-2829.5455,-2202.6667,-2093.3830,-3633.7442,-1989.9099,-353.6188
19,Total Other Income Expenses (Gains),- -,-609000,1699000,3119000,2204000,1660000,90365000,128502000,-19559000
20,Income Before Tax,- -,-6212000,-237177000,-121381000,-96916000,-96729000,-65886000,-92378000,-349839000
21,Income Before Tax Ratio,- -,-9.6911,-1004.9873,-2758.6591,-2153.6889,-2058.0638,-1532.2326,-832.2342,-374.5600
22,Income Tax expense (Gain),- -,1000,-301000,-572000,-493000,-503000,-97000,5000,-9000
23,Net Income,- -,-6213000,-236876000,-120809000,-96423000,-96226000,-65789000,-92383000,-349848000
24,Net Income ratio,- -,-9.6927,-1003.7119,-2745.6591,-2142.7333,-2047.3617,-1529.9767,-832.2793,-374.5696
25,EPS,- -,-0.08,-3.31,-1.47,-1.20,-1.22,-0.41,-0.58,-0.89
26,EPS Diluted,- -,-0.08,-3.31,-1.47,-1.20,-1.22,-0.41,-0.58,-0.89
27,Weighted Average Shares Outstanding,- -,78931632,71519609,81979005,80583910,79132220,383179376,383179376,391853623
28,Weighted Average Shares Outstanding Diluted,- -,78931632,71519609,81979005,80583910,79132220,383179376,383179376,391853623
29,SEC Link,undefined,- -,https://www.sec.gov/Archives/edgar/data/1326110/000156459016015596/0001564590-16-015596-index.htm,https://www.sec.gov/Archives/edgar/data/1326110/000156459017004430/0001564590-17-004430-index.htm,https://www.sec.gov/Archives/edgar/data/1326110/000156459018005290/0001564590-18-005290-index.htm,https://www.sec.gov/Archives/edgar/data/1326110/000156459019007562/0001564590-19-007562-index.htm,https://www.sec.gov/Archives/edgar/data/1326110/000156459020012816/0001564590-20-012816-index.htm,https://www.sec.gov/Archives/edgar/data/1326110/000156459021010945/0001564590-21-010945-index.htm,https://www.sec.gov/Archives/edgar/data/1326110/000132611022000011/0001326110-22-000011-index.htm
30,BALANCE SHEET, , , , , , , , , 
31,Cash and Cash Equivalents,350000,59104000,175908000,8083000,23872000,16821000,15508000,11441000,181101
32,Short-Term Investments,- -,- -,118310000,190838000,104280000,57328000,36144000,54772000,136015
33,Cash and Short-Term Investments,350000,59104000,294218000,198921000,128152000,74149000,51652000,66213000,317116
34,Net Receivables,380000,145000,1774000,2668000,1258000,12168000,303000,518000,- -
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,248000,124000,1548000,3556000,3048000,2455000,3802000,8767000,17231
37,Total Current Assets,978000,59373000,297540000,205145000,132458000,88772000,55757000,75498000,334347
38,PP&E,13000,211000,6147000,19268000,76726000,76885000,72230000,67390000,119167
