,https://roic.ai/company/JBT,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , 
1,Revenue,844300000,978000000,1028100000,841600000,880400000,955800000,917300000,934200000,984200000,1107300000,1350500000,1635100000,1919700000,1945700000,1727800000,1868300000
2,COGS,631100000,740800000,776300000,621200000,649500000,721200000,686500000,701300000,723500000,790400000,969800000,1164400000,1382100000,1347600000,1194100000,1301500000
3,Gross Profit,213200000,237200000,251800000,220400000,230900000,234600000,230800000,232900000,260700000,316900000,380700000,470700000,537600000,598100000,533700000,566800000
4,Gross Profit Ratio,0.2525,0.2425,0.2449,0.2619,0.2623,0.2454,0.2516,0.2493,0.2649,0.2862,0.2819,0.2879,0.2800,0.3074,0.3089,0.3034
5,Research and Development Exp.,16200000,18700000,22000000,17100000,17500000,18500000,14300000,14000000,14600000,18200000,23600000,28700000,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,152900000,147800000,147800000,152900000,156600000,164300000,179300000,207000000,236700000,294400000,346800000,396400000,358500000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,152900000,147800000,147800000,152900000,156600000,164300000,179300000,207000000,236700000,294400000,346800000,396400000,358500000,401100000
9,Other Expenses,146700000,153800000,- -,- -,-1500000,-1600000,- -,- -,1600000,2700000,4700000,100000,- -,- -,- -,- -
10,Operating Expenses,162900000,172500000,174900000,164900000,163800000,169800000,170900000,178300000,195500000,227900000,265000000,323200000,346800000,396400000,358500000,401100000
11,COGS and Expenses,794000000,913300000,951200000,786100000,813300000,891000000,857400000,879600000,919000000,1018300000,1234800000,1487600000,1728900000,1744000000,1552600000,1702600000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,2200000,1600000,1100000,1600000,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,8800000,- -,6400000,6900000,7600000,7600000,7900000,11000000,13600000,13900000,18800000,13900000,8700000
14,Depreciation and Amortization,23200000,25100000,25500000,22600000,22900000,24100000,23600000,25000000,25300000,29600000,38500000,51700000,57700000,65600000,71800000,76800000
15,EBITDA,73800000,83000000,92100000,80300000,81600000,77000000,83600000,79500000,77600000,119600000,143100000,195900000,200300000,251000000,231200000,238200000
16,EBITDA ratio,0.0874,0.0849,0.0896,0.0954,0.0927,0.0806,0.0911,0.0851,0.0788,0.1080,0.1060,0.1198,0.1043,0.1290,0.1338,0.1275
17,Operating Income,50300000,64700000,76900000,55500000,67100000,53200000,60900000,53200000,50700000,89000000,103400000,145800000,143800000,188200000,163100000,160100000
18,Operating Income ratio,0.0596,0.0662,0.0748,0.0659,0.0762,0.0557,0.0664,0.0569,0.0515,0.0804,0.0766,0.0892,0.0749,0.0967,0.0944,0.0857
19,Total Other Income Expenses (Gains),500000,-3100000,-10400000,-6600000,-7800000,-6400000,-6900000,-5400000,-6000000,-6800000,-9400000,-13600000,-14800000,-21300000,-17600000,-7400000
20,Income Before Tax,50800000,61600000,66500000,48900000,59300000,46800000,54000000,47800000,44700000,82200000,94000000,132200000,129000000,166900000,145500000,152700000
21,Income Before Tax Ratio,0.0602,0.0630,0.0647,0.0581,0.0674,0.0490,0.0589,0.0512,0.0454,0.0742,0.0696,0.0809,0.0672,0.0858,0.0842,0.0817
22,Income Tax expense (Gain),16000000,21500000,22400000,16100000,21400000,16000000,16900000,13800000,13900000,26200000,26000000,50100000,24600000,37600000,36700000,34300000
23,Net Income,34600000,36400000,44200000,32800000,37300000,30500000,36200000,33100000,30800000,55900000,67600000,80500000,104100000,129000000,108800000,118400000
24,Net Income ratio,0.0410,0.0372,0.0430,0.0390,0.0424,0.0319,0.0395,0.0354,0.0313,0.0505,0.0501,0.0492,0.0542,0.0663,0.0630,0.0634
25,EPS,1.26,1.32,1.61,1.19,1.32,1.06,1.24,1.13,1.04,1.89,2.30,2.56,3.26,4.04,3.40,0.09
26,EPS Diluted,1.26,1.32,1.59,1.15,1.28,1.04,1.23,1.11,1.03,1.88,2.27,2.53,3.23,4.02,3.39,0.09
27,Weighted Average Shares Outstanding,27500000,27500000,27500000,27600000,28300000,28800000,29100000,29200000,29500000,29500000,29400000,31400000,31900000,31900000,32000000,32000000
28,Weighted Average Shares Outstanding Diluted,27500000,27500000,27800000,28600000,29100000,29300000,29500000,29700000,29900000,29800000,29800000,31900000,32200000,32000000,32100000,32100000
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1433660/000119312509050967/0001193125-09-050967-index.html,https://www.sec.gov/Archives/edgar/data/1433660/000119312510047030/0001193125-10-047030-index.html,https://www.sec.gov/Archives/edgar/data/1433660/000143774911001273/jbt_10k-123110.htm,https://www.sec.gov/Archives/edgar/data/1433660/000143774912002106/0001437749-12-002106-index.html,https://www.sec.gov/Archives/edgar/data/1433660/000143774913002494/0001437749-13-002494-index.html,https://www.sec.gov/Archives/edgar/data/1433660/000143774914003618/jbtc20131231_10k.htm,https://www.sec.gov/Archives/edgar/data/1433660/000143774915003838/jbtc20141231_10k.htm,https://www.sec.gov/Archives/edgar/data/1433660/000162828016012004/0001628280-16-012004-index.html,https://www.sec.gov/Archives/edgar/data/1433660/000143366017000007/0001433660-17-000007-index.html,https://www.sec.gov/Archives/edgar/data/1433660/000143366018000004/0001433660-18-000004-index.html,https://www.sec.gov/Archives/edgar/data/1433660/000143366019000006/0001433660-19-000006-index.html,https://www.sec.gov/Archives/edgar/data/1433660/000143366020000008/0001433660-20-000008-index.html,https://www.sec.gov/Archives/edgar/data/1433660/000143366021000010/0001433660-21-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1433660/000143366022000006/0001433660-22-000006-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,10300000,9500000,43600000,14400000,13700000,9000000,99000000,29400000,33300000,37200000,33200000,34000000,43000000,39500000,47500000,78800000
