,https://roic.ai/company/TUFN,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , 
1,Revenue,64540000,84981000,103270000,100834000,110949000
2,COGS,9480000,13436000,19857000,20247000,23112000
3,Gross Profit,55060000,71545000,83413000,80587000,87837000
4,Gross Profit Ratio,0.8531,0.8419,0.8077,0.7992,0.7917
5,Research and Development Exp.,17672000,21363000,31571000,34978000,39584000
6,General and Administrative Exp.,4608000,52114000,78865000,20050000,24204000
7,Selling and Marketing Exp.,35042000,- -,- -,59484000,60378000
8,"Selling, General and Administrative Exp.",39650000,52114000,78865000,79534000,84582000
9,Other Expenses,- -,- -,- -,- -,- -
10,Operating Expenses,57322000,73477000,110436000,114512000,124166000
11,COGS and Expenses,66802000,86913000,130293000,134759000,147278000
12,Interest Income ,- -,- -,- -,- -,- -
13,Interest Expense (Gain),137000,218000,878000,- -,- -
14,Depreciation and Amortization,368000,956000,1205000,1523000,1904000
15,EBITDA,-1490000,-1805000,-25025000,-32288000,-35529000
16,EBITDA ratio,-0.0231,-0.0212,-0.2423,-0.3202,-0.3202
17,Operating Income,-2262000,-1932000,-27023000,-33925000,-36329000
18,Operating Income ratio,-0.0350,-0.0227,-0.2617,-0.3364,-0.3274
19,Total Other Income Expenses (Gains),267000,-1047000,-85000,114000,-1104000
20,Income Before Tax,-1995000,-2979000,-27108000,-33811000,-37433000
21,Income Before Tax Ratio,-0.0309,-0.0351,-0.2625,-0.3353,-0.3374
22,Income Tax expense (Gain),797000,1283000,1011000,1595000,-507000
23,Net Income,-2792000,-4262000,-28119000,-35406000,-36926000
24,Net Income ratio,-0.0433,-0.0502,-0.2723,-0.3511,-0.3328
25,EPS,-0.11,-0.17,-1.04,-0.99,-1.04
26,EPS Diluted,-0.11,-0.17,-1.04,-0.99,-1.04
27,Weighted Average Shares Outstanding,24462397,24462397,27088000,35674000,35674000
28,Weighted Average Shares Outstanding Diluted,24462397,24462397,27088000,35674000,35674000
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1757399/000117891320000854/0001178913-20-000854-index.html,- -,- -
30,BALANCE SHEET, , , , , 
31,Cash and Cash Equivalents,14700000,15248000,118661000,58449000,44439000
32,Short-Term Investments,- -,- -,- -,19586000,18177000
33,Cash and Short-Term Investments,14700000,15248000,118661000,78035000,62616000
