,https://roic.ai/company/ESI,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , 
1,Revenue,728773000,731200000,- -,843200000,2542300000,3585900000,3775900000,1961000000,1835900000,1853700000,2399800000
2,COGS,388298000,376100000,- -,446600000,1550400000,2078200000,2186900000,1123400000,1047600000,1067700000,1439000000
3,Gross Profit,340475000,355100000,- -,396600000,991900000,1507700000,1589000000,837600000,788300000,786000000,960800000
4,Gross Profit Ratio,0.4672,0.4856,- -,0.4704,0.3902,0.4205,0.4208,0.4271,0.4294,0.4240,0.4004
5,Research and Development Exp.,22966000,25100000,- -,26200000,62800000,84400000,98400000,44300000,42200000,48600000,49700000
6,General and Administrative Exp.,- -,- -,- -,357900000,857500000,1123300000,1109300000,544800000,497000000,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,357900000,857500000,1123300000,1109300000,544800000,497000000,- -,611200000
9,Other Expenses,260665000,214600000,- -,- -,- -,- -,- -,- -,- -,504700000,- -
10,Operating Expenses,283631000,239700000,- -,384100000,920300000,1207700000,1207700000,589100000,539200000,553300000,660900000
11,COGS and Expenses,671929000,615800000,- -,830700000,2470700000,3285900000,3394600000,1712500000,1586800000,1621000000,2099900000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),54054000,49100000,- -,37900000,213900000,375700000,341600000,311000000,90700000,63400000,54200000
14,Depreciation and Amortization,46745000,42200000,- -,88000000,251000000,342300000,354200000,156700000,154700000,161400000,163900000
15,EBITDA,111739000,162000000,- -,89300000,231400000,672900000,406200000,167100000,398900000,304800000,469700000
16,EBITDA ratio,0.1533,0.2216,- -,0.1059,0.0910,0.1877,0.1076,0.0852,0.2173,0.1644,0.1957
17,Operating Income,55948000,115100000,- -,9500000,71600000,253400000,221300000,248500000,249100000,232700000,299900000
18,Operating Income ratio,0.0768,0.1574,- -,0.0113,0.0282,0.0707,0.0586,0.1267,0.1357,0.1255,0.1250
19,Total Other Income Expenses (Gains),-44642000,-44100000,- -,-40400000,-300900000,-301500000,-510300000,-301700000,-108200000,-151600000,-48200000
20,Income Before Tax,11306000,71000000,- -,-30900000,-229300000,-48100000,-289000000,-53200000,140900000,81100000,251700000
21,Income Before Tax Ratio,0.0155,0.0971,- -,-0.0366,-0.0902,-0.0134,-0.0765,-0.0271,0.0767,0.0438,0.1049
22,Income Tax expense (Gain),9953000,24700000,- -,-6700000,75100000,28600000,6600000,23800000,61300000,4300000,48300000
23,Net Income,987000,46000000,- -,-29900000,-308600000,-73700000,-296200000,-324400000,92200000,75700000,203300000
