,https://roic.ai/company/XELA,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , 
1,Revenue,- -,- -,- -,1152324000,1586222000,1562337000,1292562000,1166606000
2,COGS,- -,- -,- -,829143000,1209874000,1224735000,1023544000,889095000
3,Gross Profit,- -,- -,- -,323181000,376348000,337602000,269018000,277511000
4,Gross Profit Ratio,- -,- -,- -,0.2805,0.2373,0.2161,0.2081,0.2379
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,1027734,1128167,220955000,184651000,198864000,186104000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,1027734,1128167,220955000,184651000,198864000,186104000,169781000
9,Other Expenses,- -,- -,- -,98890000,145485000,100903000,- -,86341000
10,Operating Expenses,- -,1027734,1128167,319845000,330136000,299767000,186104000,256122000
11,COGS and Expenses,- -,1027734,1128167,1148988000,1540010000,1524502000,1209648000,1145217000
12,Interest Income ,- -,155807,1185130,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,128489000,153095000,163449000,173878000,168048000
14,Depreciation and Amortization,- -,- -,- -,98890000,145485000,100903000,93953000,77150000
15,EBITDA,- -,-1527734,-1128167,-37152000,144470000,-237122000,75717000,114464000
16,EBITDA ratio,- -,-Infinity,-Infinity,-0.0322,0.0911,-0.1518,0.0586,0.0981
17,Operating Income,- -,-527734,-1128167,-99532000,-6249000,-321223000,-16420000,21389000
18,Operating Income ratio,- -,-Infinity,-Infinity,-0.0864,-0.0039,-0.2056,-0.0127,0.0183
19,Total Other Income Expenses (Gains),- -,155807,1185130,-164999000,-147861000,-180251000,-148526000,-152123000
20,Income Before Tax,- -,-371927,56963,-264531000,-154110000,-501474000,-164946000,-130734000
21,Income Before Tax Ratio,- -,-Infinity,Infinity,-0.2296,-0.0972,-0.3210,-0.1276,-0.1121
22,Income Tax expense (Gain),- -,- -,- -,-60246000,8407000,7642000,-13584000,11656000
