,https://roic.ai/company/APTO,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,72558,68653,67820,667,1000,- -,47823,446695,4999,24001,100023,43023,168807,124156,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
2,COGS,- -,-68653,-203460,-945707,-1170997,- -,39852,20986,1000,3000,15003,2001,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
3,Gross Profit,- -,137306,271280,946374,1171997,- -,7971,425709,3999,21001,85020,41022,168807,124156,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
4,Gross Profit Ratio,- -,2.0000,4.0000,1418.0000,1171.6313,- -,0.1667,0.9530,0.7999,0.8750,0.8500,0.9535,1.0000,1.0000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
5,Research and Development Exp.,2104194,1922285,2170242,2832449,6371981,5666454,9144082,19660575,11470145,9297245,3163732,6122243,3446789,2385511,2352459,2105815,3218264,2778597,4506770,7679488,6274000,18733000,16835000,29288000,45985000
6,General and Administrative Exp.,1088376,1304408,1152941,2437348,4171987,- -,3125407,3607537,5437646,5031133,4067941,4633454,3122936,2975965,2689256,2140750,2199519,6071442,7046242,6128264,5502000,10321000,9900000,26345000,19462000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",1088376,1304408,1152941,2437348,4171987,3184941,3125407,3607537,5437646,5031133,4067941,4633454,3122936,2975965,2689256,2140750,2199519,6071442,7046242,6128264,5502000,10321000,9900000,26345000,19462000
9,Other Expenses,362792,274612,203460,1776621,2407993,1279780,-25270266,307790,-34261472,779020,479112,319169,173394,81507,- -,- -,- -,- -,48282,- -,- -,- -,122000,135000,- -
10,Operating Expenses,3555362,3501304,3526643,7046418,12951961,10131175,-13000777,23575902,-17353681,15107398,7710784,11074866,6743119,5442983,5041716,4246565,5417782,8850039,11601294,13807752,11776000,29054000,26857000,55768000,65447000
11,COGS and Expenses,3555362,3432651,3323183,6100711,11780964,10131175,-12960925,23596888,-17352681,15110398,7725788,11076867,6743119,5442983,5099043,4463939,5422634,8854647,11601294,13887360,11826000,29107000,26857000,55768000,- -
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,247706,19903,14332,5823,29107,70041,206098,78119,68000,283000,574000,522000,94000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,648624,51179,72683,19408,5821,238692,18016,49103,- -,- -,- -,- -,- -
14,Depreciation and Amortization,362792,274612,339100,1776621,2407993,2423477,1481505,1589914,1867535,2206058,1091253,319169,173394,81507,57327,42699,36869,19353,69180,114575,84000,87000,613000,614000,622000
