,https://roic.ai/company/HDSN,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,1300000,22000000,19600000,23000000,23300000,17900000,15455000,20768000,19963000,17963000,14613000,19223000,23451000,26894000,33167000,24167000,37273000,44322000,56447000,58634000,55810000,79722000,105481000,140380000,166525000,162059000,147605000,192748000
2,COGS,300000,12600000,14100000,18800000,17600000,14100000,10397000,14971000,14505000,13051000,9007000,11720000,16612000,20041000,21857000,20356000,29241000,35637000,33905000,59364000,49364000,61233000,74395000,102396000,173890000,144894000,112195000,121084000
3,Gross Profit,1000000,9400000,5500000,4200000,5700000,3800000,5058000,5797000,5458000,4912000,5606000,7503000,6839000,6853000,11310000,3811000,8032000,8685000,22542000,-730000,6446000,18489000,31086000,37984000,-7365000,17165000,35410000,71664000
4,Gross Profit Ratio,0.7692,0.4273,0.2806,0.1826,0.2446,0.2123,0.3273,0.2791,0.2734,0.2735,0.3836,0.3903,0.2916,0.2548,0.3410,0.1577,0.2155,0.1960,0.3993,-0.0125,0.1155,0.2319,0.2947,0.2706,-0.0442,0.1059,0.2399,0.3718
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,5900000,7600000,6900000,6000000,6175000,6797000,6769000,5214000,4471000,4296000,4657000,9207000,3776000,3229000,3687000,4004000,4914000,4723000,4708000,6129000,7829000,21745000,32270000,- -,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2118000,1796000,2193000,2153000,2748000,3032000,2723000,4179000,4310000,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",700000,5700000,5900000,7600000,6900000,6000000,6175000,6797000,6769000,5214000,4471000,4296000,4657000,9207000,5894000,5025000,5880000,6157000,7662000,7755000,7431000,10308000,12139000,21745000,32270000,30018000,26644000,26566000
9,Other Expenses,100000,600000,1100000,1500000,1200000,1300000,1290000,1220000,1142000,1231000,733000,619000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1107000,2973000,2931000,2862000,2793000
10,Operating Expenses,800000,6300000,7000000,9100000,8100000,7300000,7465000,8017000,7911000,6445000,5204000,4915000,4657000,9207000,5894000,5025000,5880000,6157000,7662000,7755000,7431000,10308000,12139000,22852000,35243000,32949000,29506000,29359000
11,COGS and Expenses,1100000,18900000,21100000,27900000,25700000,21400000,17862000,22988000,22416000,19496000,14211000,16635000,21269000,29248000,27751000,25381000,35121000,41794000,41567000,67119000,56795000,71541000,86534000,125248000,209133000,177843000,141701000,150443000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),100000,300000,500000,- -,400000,- -,501000,423000,347000,934000,341000,303000,345000,768000,1170000,1401000,1102000,881000,693000,933000,641000,776000,1118000,3156000,14755000,18911000,12330000,11376000
14,Depreciation and Amortization,100000,600000,1100000,1500000,1200000,1300000,1290000,1220000,1142000,1196000,733000,619000,565000,561000,547000,524000,540000,497000,556000,808000,979000,2072000,2225000,3379000,7131000,7117000,6096000,6180000
