,https://roic.ai/company/BBDC,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , 
1,Revenue,- -,4894785,- -,13105019,17131647,20861391,28635482,70590930,76908519,101016326,52799896,71144789,62773789,-6273266,-63035920,65415297,17160672,86788953
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,71031000,- -
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4.1392,- -
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,1631593,- -,4126663,6254096,6448999,7689015,11965985,16293172,19264885,21315182,22903509,4406303,5370046,16177534,6441095,5793880,9095185
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,1631593,- -,4126663,6254096,6448999,7689015,11965985,16293172,19264885,21315182,22903509,4406303,5370046,16177534,6441095,5793880,9095185
9,Other Expenses,- -,368407,- -,-126663,745904,551001,310985,34015,- -,- -,- -,- -,23675809,16135739,36000854,442238,3137109,- -
10,Operating Expenses,- -,2000000,- -,4000000,7000000,7000000,8000000,12000000,16293172,19264885,21315182,22903509,28082112,21505785,52178388,6883333,8930989,9095185
11,COGS and Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,39973000,- -
12,Interest Income ,- -,5963163,- -,12735843,21359498,27761982,35985494,63363981,90368467,101028365,104511683,102945678,102973135,109672428,74160168,73486781,66947829,113435974
13,Interest Expense (Gain),- -,1543378,- -,2073311,4227851,6900591,7350012,10114011,16412898,20234583,21180153,26754001,26720572,29261030,23887331,26100941,19812711,33013665
14,Depreciation and Amortization,- -,- -,- -,7814,16681,22548,19554,27295,33038,40151,48363,60244,70108,65857,27414,- -,10161326,- -
15,EBITDA,- -,4716600,- -,10946821,12016043,11109683,32980855,67820759,77061283,102026175,52713230,75055525,61482357,1547836,-91299563,84632905,38203720,110707433
16,EBITDA ratio,- -,0.9636,- -,0.8353,0.7014,0.5325,1.1517,0.9608,1.0020,1.0100,0.9984,1.0550,0.9794,-0.2467,1.4484,1.2938,2.2262,1.2756
17,Operating Income,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
18,Operating Income ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,-2850767,-9862030,5461816,- -,2952950,- -,- -,- -,- -,- -,- -,- -,-22828317,18725934
20,Income Before Tax,- -,3173222,- -,8865696,7771511,4186544,25611289,57679453,60615347,81751441,31484714,48241280,34691677,-27779051,-115214308,58531964,8229683,77693768
21,Income Before Tax Ratio,- -,0.6483,- -,0.6765,0.4536,0.2007,0.8944,0.8171,0.7881,0.8093,0.5963,0.6781,0.5526,4.4282,1.8278,0.8948,0.4796,0.8952
22,Income Tax expense (Gain),- -,- -,- -,52598,133010,149841,220740,908416,551830,539561,3122266,384028,435245,871410,-932172,340330,52890,8339
23,Net Income,- -,3173222,-103,8813098,7638501,4036703,25390549,56771037,60063517,81211880,28362448,47857252,34256432,-28650461,-114282136,58191634,8176793,77685429
24,Net Income ratio,- -,0.6483,-Infinity,0.6725,0.4459,0.1935,0.8867,0.8042,0.7810,0.8039,0.5372,0.6727,0.5457,4.5671,1.8130,0.8896,0.4765,0.8951
25,EPS,- -,0.47,-0.00,1.31,1.11,0.47,1.99,2.90,2.25,2.94,0.95,1.44,0.94,-0.62,-2.29,1.16,0.17,1.60
26,EPS Diluted,- -,0.47,-0.00,1.31,1.11,0.47,1.99,2.90,2.25,2.94,0.95,1.44,0.94,-0.62,-2.29,1.16,0.17,1.60
27,Weighted Average Shares Outstanding,- -,6686760,6686760,6728733,6877669,8593143,12763243,19555268,26740776,27576302,29775099,33234319,36405024,46497977,49897085,50185300,48575139,48575139
28,Weighted Average Shares Outstanding Diluted,- -,6686760,6686760,6728733,6877669,8593143,12763243,19555268,26740776,27576302,29775099,33234319,36405024,46497977,49897085,50185300,48575139,48575139
