,https://roic.ai/company/NAVB,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,100000,100000,900000,1000000,1171186,5127917,5832695,9445664,9710185,7583895,4920940,6509908,5952640,5919473,6051071,7124811,7886270,9518032,10700566,597729,78738,1130630,6274849,13249307,21969706,1810437,1169351,657826,915013,531513
2,COGS,100000,5900000,100000,500000,676773,1575699,1403951,3954812,4631171,4385632,2351169,3124978,2344925,2376211,2632131,3184706,3010232,3134740,3206709,- -,- -,332815,1586145,1754763,2297040,3651,96636,6667,1048,- -
3,Gross Profit,- -,-5800000,800000,500000,494413,3552218,4428744,5490852,5079014,3198263,2569771,3384930,3607715,3543262,3418940,3940105,4876038,6383292,7493857,597729,78738,797815,4688704,11494544,19672666,1806786,1072715,651159,913965,531513
4,Gross Profit Ratio,- -,-58.0000,0.8889,0.5000,0.4221,0.6927,0.7593,0.5813,0.5231,0.4217,0.5222,0.5200,0.6061,0.5986,0.5650,0.5530,0.6183,0.6707,0.7003,1.0000,1.0000,0.7056,0.7472,0.8676,0.8954,0.9980,0.9174,0.9899,0.9989,1.0000
5,Research and Development Exp.,- -,- -,- -,7800000,16082761,19656804,12960208,1313219,472730,344675,2323710,1893520,2453755,4031790,3803060,2865539,4505622,4967861,9221421,15154365,16890482,23710183,16779589,12787733,8882576,4513842,4221881,5338267,4930187,5141910
6,General and Administrative Exp.,- -,- -,- -,- -,7753570,6853283,10552079,8206060,2960452,2321115,3267361,3102535,3153059,3155674,3076379,2837344,3412534,3240337,4583503,9547779,- -,15525946,15542071,17257329,13013565,11169951,7698135,6275409,6694959,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,4306717,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,7753570,11160000,10552079,8206060,2960452,2321115,3267361,3102535,3153059,3155674,3076379,2837344,3412534,3240337,4583503,9547779,- -,15525946,15542071,17257329,13013565,11169951,7698135,6275409,6694959,7450015
9,Other Expenses,3000000,2400000,12600000,4100000,- -,- -,9384753,552962,- -,- -,- -,- -,- -,- -,- -,35530000,- -,- -,- -,- -,11177559,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,3000000,2400000,12600000,11900000,23836331,30816804,32897040,10072241,3433182,2665790,5591071,4996055,5606814,7187464,6879439,41232883,7918156,8208198,13804924,24702144,28068041,39236129,32321660,30045062,21896141,15683793,11920016,11613676,11625146,12591925
11,COGS and Expenses,3100000,8300000,12700000,12400000,24513104,32392503,34300991,14027053,8064353,7051422,7942240,8121033,7951739,9563675,9511570,44417589,10928388,11342938,17011633,24702144,28068041,39568944,33907805,31799825,24193181,15687444,12016652,11620343,11626194,- -
12,Interest Income ,- -,- -,- -,- -,2179345,- -,598834,- -,205964,127657,74257,9423,28869,226663,225468,70976,60860,18749,8804,25755,25044,18838,16102,- -,- -,- -,- -,- -,11344,- -
13,Interest Expense (Gain),- -,- -,100000,200000,83436,- -,189785,- -,24880,11100,31946,186912,334196,1350592,1496332,2284135,1744825,1533047,554988,13330,1166332,2778780,3706170,- -,- -,- -,30799,- -,- -,6361
14,Depreciation and Amortization,-100000,-100000,-600000,-500000,652623,896522,1124930,552962,392499,423117,796831,757784,856011,1291120,1220652,1810914,408352,333749,223460,176544,200222,404181,500183,571419,501369,254587,150385,144512,70393,36803
15,EBITDA,-2700000,-8100000,-11300000,-11100000,-20233084,-22350006,-26718037,-3621025,2257285,451786,-2135674,-854299,-2350815,-2287238,-2024232,-993163,-3013049,-37738924,-49186420,-2077277,-27790650,-39516497,-31520316,-27427312,-13807014,71138164,-15942506,-10802978,-10651298,-11703806
16,EBITDA ratio,-27.0000,-81.0000,-12.5556,-11.1000,-17.2757,-4.3585,-4.5807,-0.3834,0.2325,0.0596,-0.4340,-0.1312,-0.3949,-0.3864,-0.3345,-0.1394,-0.3821,-3.9650,-4.5966,-3.4753,-352.9509,-34.9509,-5.0233,-2.0701,-0.6285,39.2934,-13.6336,-16.4222,-11.6406,-22.0198
17,Operating Income,-3000000,-8200000,-11800000,-11400000,-23341918,-27264586,-28468296,-4581389,1286989,-352205,-2992932,-1611125,-1999099,-3644202,-3460499,-1762778,-3042118,-1824906,-6311067,-24104415,-27989303,-38438314,-27632956,-18550518,-2223475,-13877007,-10847301,-10962517,-10711181,-12060412
18,Operating Income ratio,-30.0000,-82.0000,-13.1111,-11.4000,-19.9302,-5.3169,-4.8808,-0.4850,0.1325,-0.0464,-0.6082,-0.2475,-0.3358,-0.6156,-0.5719,-0.2474,-0.3857,-0.1917,-0.5898,-40.3267,-355.4739,-33.9973,-4.4038,-1.4001,-0.1012,-7.6650,-9.2763,-16.6648,-11.7060,-22.6907
19,Total Other Income Expenses (Gains),200000,300000,900000,900000,276866,1922708,26495,386583,371833,369774,28481,-10381,-1236596,-160819,-9853,-1112275,-440143,-34376288,-43021020,-943161,-1167901,-4261144,-8093713,-10207677,-12085556,-3912679,-5321270,17675,-10510,345524
20,Income Before Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,17569,-2964451,- -,- -,- -,- -,- -,- -,- -,- -,-25047576,-29157204,-42699458,-35726669,-28758195,-14309031,-17789686,-16168571,-10944842,-10721691,-11714888
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.0023,-0.6024,- -,- -,- -,- -,- -,- -,- -,- -,-41.9046,-370.3066,-37.7661,-5.6936,-2.1705,-0.6513,-9.8262,-13.8270,-16.6379,-11.7175,-22.0406
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,2616,-726,- -,- -,- -,- -,- -,- -,- -,- -,-7880143,- -,- -,- -,-436051,- -,-4062489,-9753,707,- -,-16043
23,Net Income,-2600000,-8000000,-10800000,-10800000,-20969143,-23246528,-28032752,-4173987,1839906,14953,-2963725,-1798995,-3541022,-4928950,-4741216,-5088212,-5166226,-39605720,-49964868,5612992,-29157204,-42699458,-35726669,-27562680,-14308383,74946066,-16113937,-10948197,-10721691,-11730927
24,Net Income ratio,-26.0000,-80.0000,-12.0000,-10.8000,-17.9042,-4.5333,-4.8061,-0.4419,0.1895,0.0020,-0.6023,-0.2763,-0.5949,-0.8327,-0.7835,-0.7142,-0.6551,-4.1611,-4.6694,9.3905,-370.3066,-37.7661,-5.6936,-2.0803,-0.6513,41.3967,-13.7802,-16.6430,-11.7175,-22.0708
25,EPS,-8.20,-22.60,-23.60,-14.60,-21.20,-20.40,-24.60,-6.80,0.80,0.01,-1.60,-0.80,-1.20,-1.60,-1.60,-1.60,-1.60,-10.80,-14.40,1.20,-5.80,-7.00,-4.80,-3.60,-1.80,9.40,-1.80,-0.76,-0.48,-0.81
26,EPS Diluted,-8.20,-22.60,-23.60,-14.60,-21.20,-20.40,-24.60,-6.80,0.80,0.01,-1.60,-0.80,-1.20,-1.60,-1.60,-1.60,-1.60,-10.80,-14.41,1.20,-5.90,-7.00,-4.80,-3.60,-1.80,9.00,-1.80,-0.76,-0.48,-0.81
27,Weighted Average Shares Outstanding,317073,353982,457627,694444,987182,1136732,1142111,1150173,1285506,1294974,1802259,2016883,2838185,2921694,2929329,3146074,3429708,3688593,4036324,4525466,4952999,6090449,7437419,7559011,7771119,8079628,8526767,14393360,23896001,14393360
28,Weighted Average Shares Outstanding Diluted,317073,353982,457627,694444,987182,1144737,1142111,1150173,1322018,1302374,1802259,2016883,2838185,2921694,2929329,3146074,3429708,3688593,4036324,4525466,4952999,6090449,7437419,7559011,7771119,8300822,8526767,14393360,23896001,14393360
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/810509/000114420406012836/v038619_10ksb.htm,https://www.sec.gov/Archives/edgar/data/810509/000114420407013134/v068500_10ksb.htm,https://www.sec.gov/Archives/edgar/data/810509/000095015208002476/l30806ae10vk.htm,https://www.sec.gov/Archives/edgar/data/810509/000114420409017036/0001144204-09-017036-index.html,https://www.sec.gov/Archives/edgar/data/810509/000114420410017006/0001144204-10-017006-index.html,https://www.sec.gov/Archives/edgar/data/810509/000114420411015182/v214630_10k.htm,https://www.sec.gov/Archives/edgar/data/810509/000114420412013346/0001144204-12-013346-index.html,- -,https://www.sec.gov/Archives/edgar/data/810509/000144530514001051/navb1231201310k.htm,https://www.sec.gov/Archives/edgar/data/810509/000081050915000003/navb1231201410k.htm,https://www.sec.gov/Archives/edgar/data/810509/000156459016015173/0001564590-16-015173-index.html,https://www.sec.gov/Archives/edgar/data/810509/000165495417002915/0001654954-17-002915-index.html,https://www.sec.gov/Archives/edgar/data/810509/000143774918004756/0001437749-18-004756-index.html,https://www.sec.gov/Archives/edgar/data/810509/000143774919005086/0001437749-19-005086-index.html,https://www.sec.gov/Archives/edgar/data/810509/000143774920005567/0001437749-20-005567-index.html,https://www.sec.gov/Archives/edgar/data/810509/000143774921007329/0001437749-21-007329-index.htm,https://www.sec.gov/Archives/edgar/data/810509/000143774922007390/0001437749-22-007390-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,30168412,9921025,3054936,4882537,4643347,4287101,700525,1588760,9842658,4940946,2502655,1540220,3565837,5639842,6420506,28644004,9118564,32939026,5479006,7166260,1539325,2795006,3475881,1047159,2670495,4230865
32,Short-Term Investments,- -,- -,- -,- -,19748819,14672496,448563,- -,- -,- -,- -,- -,- -,1529259,- -,- -,495383,- -,- -,- -,- -,- -,- -,- -,- -,1797604,799270,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,49917231,24593521,3503499,4882537,4643347,4287101,700525,1588760,9842658,6470205,2502655,1540220,4061220,5639842,6420506,28644004,9118564,32939026,5479006,7166260,1539325,4592610,4275151,1047159,2670495,4230865
34,Net Receivables,- -,- -,- -,- -,1240474,2293376,2069633,453406,365061,561129,746107,1107800,411856,673008,1246089,1621910,1644070,1331908,2048111,15794,17605,1150626,816544,3703186,1802010,8137872,21151,901339,2987319,- -
35,Inventory,- -,- -,- -,- -,216272,413024,1578912,1134427,941120,1430908,1191918,1008326,855022,803703,1154376,1237403,961861,1143697,1458588,821549,297500,2232436,932385,652906,1470826,- -,- -,- -,169798,151155
36,Other Current Assets,- -,- -,- -,- -,2289546,2001378,867428,673865,232416,268445,451537,346449,327408,501557,430623,247035,573573,501718,305798,565174,1183714,1009094,1371210,1054822,6014108,1101923,1299454,967285,700716,1001265
37,Total Current Assets,- -,- -,- -,- -,53663523,29301299,8019472,7144235,6181944,6547583,3090087,4051335,11436944,8448473,5333743,4646568,7240724,8617165,10233003,30046521,10617383,37331182,8599145,12577174,10826269,13832405,5595756,2915783,6528328,5383285
38,PP&E,- -,- -,- -,- -,6448361,10424896,1419270,902946,865020,669112,462648,362713,337843,283235,355679,287603,390792,297313,519627,463269,934578,2125383,2509708,1927608,1251558,236701,162172,311898,382257,569430
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,2130335,- -,773863,775088,524035,3909953,3366328,2935515,2519109,2098910,1828517,1601142,1393485,78574,102687,85421,92482,136854,180833,186158,180967,458156,428492,385413,620241,- -
41,Intangible Assets,- -,- -,- -,- -,2130335,1715834,773863,775088,524035,3909953,3366328,2935515,2519109,2098910,1828517,1601142,1393485,78574,102687,85421,92482,136854,180833,186158,180967,458156,428492,385413,620241,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,241575,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,1630949,131375,1781594,1500300,1816,202258,160778,35479,1071999,739823,515593,527634,594449,24707,7421,598709,327954,723098,388919,273573,202882,6254174,835107,537812,227192,692118
45,Total Non-Current Assets,- -,- -,- -,- -,10209645,12272105,3974727,3178334,1390871,4781323,3989754,3333707,3928951,3121968,2699789,2416379,2378726,400594,629735,1147399,1355014,2985335,3321035,2387339,1635407,6949031,1425771,1235123,1229690,1261548
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,63873168,41573404,11994199,10322569,7572815,11328906,7079841,7385042,15365895,11570441,8033532,7062947,9619450,9017759,10862738,31193920,11972397,40316517,11920180,14964513,12461676,20781436,7021527,4150906,7758018,6644833
48,Accounts Payable,- -,- -,- -,- -,2404655,3848172,2857717,759961,731985,489688,432140,225032,198912,207824,668288,778085,731220,763966,1523377,681754,1417463,2422349,1477499,1767523,7123323,855043,424718,1112069,1161717,1421317
49,Short-Term Debt,- -,- -,- -,- -,155091,202615,1242163,3221633,116691,174779,187064,202003,256585,219584,1848181,139362,137857,- -,62411,- -,2756718,4095650,4383472,333333,51957913,2353639,316074,305955,745443,729145
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,800000,800000,933860,886657,176192,252494,348568,451512,526619,560369,654430,- -,- -,- -,- -,1044281,2315037,- -,866934,- -,700000,700000
52,Other Current Liabilities,- -,- -,- -,- -,5027591,2899433,2912860,2165649,725674,1011495,397161,227306,378247,821781,544215,801949,926760,1078312,1704221,2666716,2016358,4772963,3234120,3038713,8465515,4859721,1770792,2401527,2107945,2449340
53,Total Current Liabilities,- -,- -,- -,- -,7587337,6950220,7012740,6147243,2374350,2475962,1950225,1540998,1009936,1501683,3409252,2170908,2322456,2402647,3944439,3348470,6190539,11290962,9095091,6183850,69861788,8068403,3378518,3819551,4715105,5299802
54,Long-Term Debt,- -,- -,- -,- -,1000687,1813437,- -,1314345,- -,- -,- -,454802,5491494,5973853,4862125,5303822,5922557,10945907,- -,6456388,6930112,23572603,29539135,60746002,9641179,- -,- -,- -,- -,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,490165,534119,672924,- -,- -,- -,- -,192728,26061,- -,700000,700000,700000,700000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,8096,255355,155816,3000000,2232926,1949106,1169480,130297,2700635,78109,60182,3531811,909997,5004938,2113630,257315,257122,9462539,3089420,1677633,598861,664703,532549,512344,296006,751587
