,https://roic.ai/company/RETO,2015,2016,2017,2018,2019,2020
0,INCOME STATEMENT, , , , , , 
1,Revenue,17384373,32424269,35551016,37569862,29551727,9734500
2,COGS,9265313,18272017,17588738,20368339,22191157,8577137
3,Gross Profit,8119060,14152252,17962278,17201523,7360570,1157363
4,Gross Profit Ratio,0.4670,0.4365,0.5053,0.4579,0.2491,0.1189
5,Research and Development Exp.,458246,503688,603445,799604,438371,334904
6,General and Administrative Exp.,2607846,3878709,5308079,5265599,3954024,4639879
7,Selling and Marketing Exp.,1462144,1580825,1797926,1985706,1308436,1282299
8,"Selling, General and Administrative Exp.",4069990,5459534,7106005,7251305,5262460,5922178
9,Other Expenses,- -,- -,- -,- -,- -,- -
10,Operating Expenses,4528236,5963222,7709450,8050909,5700831,6257082
11,COGS and Expenses,13793549,24235239,25298188,28419248,27891988,14834219
12,Interest Income ,- -,- -,- -,- -,4549,- -
13,Interest Expense (Gain),1032329,1450389,1012960,1065287,1253855,1544540
14,Depreciation and Amortization,1257220,1361260,1566739,1734255,2373475,2323238
15,EBITDA,4899654,8867526,11318168,8860615,-10168379,-7336011
16,EBITDA ratio,0.2818,0.2735,0.3184,0.2358,-0.3441,-0.7536
17,Operating Income,3590824,8189030,10252828,7197968,-8161903,-13448094
18,Operating Income ratio,0.2066,0.2526,0.2884,0.1916,-0.2762,-1.3815
19,Total Other Income Expenses (Gains),-939449,-1733594,-845963,-1049831,-3127310,-1113810
20,Income Before Tax,2651375,6455436,9406865,6148137,-11289213,-14561904
21,Income Before Tax Ratio,0.1525,0.1991,0.2646,0.1636,-0.3820,-1.4959
22,Income Tax expense (Gain),295760,1952356,2760080,1580455,1006905,569974
23,Net Income,2314345,4103521,5978389,4480618,-14802614,-11773763
24,Net Income ratio,0.1331,0.1266,0.1682,0.1193,-0.5009,-1.2095
25,EPS,0.10,0.18,0.35,0.20,-0.66,-0.54
26,EPS Diluted,0.10,0.18,0.35,0.20,-0.66,-0.54
27,Weighted Average Shares Outstanding,22340000,22340000,19130137,22760000,22888219,24124884
28,Weighted Average Shares Outstanding Diluted,22340000,22340000,19130137,22760000,22888219,24124884
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1687277/000121390019008586/f20f2018_retoecosolutions.htm,- -,- -
30,BALANCE SHEET, , , , , , 
31,Cash and Cash Equivalents,532627,1594594,10863040,1477873,897281,1120840
32,Short-Term Investments,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,532627,1594594,10863040,1477873,897281,1120840
34,Net Receivables,9116558,15207029,18503286,16068660,11876749,4257447
35,Inventory,2161886,1308526,1611836,4630312,888203,730207
36,Other Current Assets,3713483,3034306,2622302,7345107,11802014,7171016
37,Total Current Assets,15524554,21144455,33600464,29521952,25464247,13279510
38,PP&E,28338161,34160330,39833280,41382223,37963273,35453453
39,Goodwill,- -,- -,- -,- -,- -,- -
40,Intangible Assets,6037729,7092370,7401550,6841513,6145179,6405059
41,Intangible Assets,6037729,7092370,7401550,6841513,6145179,6405059
42,Investments,- -,- -,- -,- -,28720,2836050
43,Tax Assets,49472,89015,296535,551534,- -,- -
44,Other Non-Current Assets,297851,174829,- -,3707700,1193825,- -
45,Total Non-Current Assets,34723213,41516544,47531365,52482970,45330997,44694562
46,Other Assets,- -,- -,- -,- -,- -,- -
47,Total Assets,50247767,62660999,81131829,82004922,70795244,57974072
48,Accounts Payable,4474644,4405118,2506484,2373080,2636619,1011621
49,Short-Term Debt,- -,10845926,12000905,9294657,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,5939171,8431858,7599481,4038424,3558690,4234395
52,Other Current Liabilities,11873846,4425829,4445169,4975506,19020460,17748770
53,Total Current Liabilities,22287661,28108731,26552039,20681667,25215769,22994786
54,Long-Term Debt,8870400,6249600,2951040,8142400,7323600,6285300
55,Deferred Revenue,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,301012,732166
58,Total Non-Current Liabilities,8870400,6249600,2951040,8142400,7624612,7017466
59,Other Liabilities,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,478915,367491
61,Total Liabilities,31158061,34358331,29503079,28824067,32840381,30012252
62,Preferred Stock,- -,- -,- -,- -,- -,- -
63,Common Stock,17840,18640,22760,22760,23160,24135
64,Retained Earnings,-3195148,224512,5246950,9084246,-5718368,-17245453
65,Other Comprehensive Income/Loss,-2954592,-2000000,-5585474,-3000000,-9088932,-14465778
66,Other Total Stockholders Equity,22401569,25047256,49636787,44805864,50920143,58962205
67,Total Stockholders Equity,16269669,23290408,49321023,50912870,36136003,27275109
68,Total Liabilities And Stockholders Equity,47427730,57648739,78824102,79736937,68976384,57287361
69,Minority Interest,2820037,5012260,2307727,2267985,1818860,686711
70,Total Liabilities & Equity,50247767,62660999,81131829,82004922,70795244,57974072
71,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1687277/000121390019008586/f20f2018_retoecosolutions.htm,- -,- -
72,CASH FLOW STATEMENT, , , , , , 
73,Net Income,2314345,4103521,5978389,4480618,-14802614,-11773763
74,Depreciation and Amortization,1257220,1361260,1566739,1734255,2373475,2323238
75,Deferred Income Tax,-45448,-44685,-194045,-282010,492241,- -
76,Stock Based Compensation,- -,- -,- -,- -,168000,772125
77,Change in Working Capital,-2007793,-2983397,-6361485,-8836276,-3040312,4351024
78,Accounts Receivable,-5353931,-7451292,-3174381,869600,-5588954,4598233
79,Inventory,353894,745161,-207182,-3220965,166240,74579
80,Accounts Payable,1809758,231012,-2113907,-20597,1136992,-1703123
81,Other Working Capital,-389857,3014554,-1348396,-3246842,105576,1599654
82,Other Non-Cash Items,340003,1501257,1545320,1999530,14896044,5303521
83,Cash Provided by Operating Activities,1858327,3937956,2534918,-903883,86834,976145
84,CAPEX,-2709343,-11053937,-4639003,-9275685,-1454975,-249493
85,Acquisitions Net,- -,- -,-2735000,-2269500,1375600,1193894
86,Purchases of Investments,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-2454045,70830,- -,- -,5740,- -
89,Cash Used for Investing Activites,-5163388,-9301237,-7374003,-11545185,-73635,944401
90,Debt Repayment,-7875157,-8734831,-13638944,-16244778,-10787336,-13242852
91,Common Stock Issued,- -,4457500,19700000,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,9596279,10930575,8174782,19700894,10239853,11341013
95,Cash Used/Provided by Financing Activities,1721122,6653244,14235838,3456116,-547483,-1901839
96,Effect of Forex Changes on Cash,85022,-227996,-128307,-306922,-43167,120615
97,Net Change In Cash,-1498917,1061967,9268446,-9299874,-577451,139322
98,Cash at the End of Period,532627,1594594,10863040,1563166,985715,1120840
99,Cash at the Beginning of Period,2031544,532627,1594594,10863040,1563166,981518
100,Free Cash Flow,-851016,-7115981,-2104085,-10179568,-1368141,726652
