,https://roic.ai/company/ENDP,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,108370000,138546000,197429000,251979000,398973000,595608000,615100000,820164000,909659000,1085608000,1260536000,1460841000,1716229000,2730121000,3027363000,2616907000,2877188000,3268718000,4010274000,3468858000,2947078000,2914364000,2903074000,2993206000
2,COGS,54731000,58263000,61807000,74891000,98857000,135671000,140989000,186350000,201421000,217369000,267235000,375058000,504757000,1065208000,1261093000,1039516000,1400555000,2075651000,2634973000,2228530000,1631682000,1569338000,1442511000,1221064000
3,Gross Profit,53639000,80283000,135622000,177088000,300116000,459937000,474111000,633814000,708238000,868239000,993301000,1085783000,1211472000,1664913000,1766270000,1577391000,1476633000,1193067000,1375301000,1240328000,1315396000,1345026000,1460563000,1772142000
4,Gross Profit Ratio,0.4950,0.5795,0.6869,0.7028,0.7522,0.7722,0.7708,0.7728,0.7786,0.7998,0.7880,0.7433,0.7059,0.6098,0.5834,0.6028,0.5132,0.3650,0.3429,0.3576,0.4463,0.4615,0.5031,0.5921
5,Research and Development Exp.,5893000,9373000,26012000,38994000,56823000,51024000,50546000,88307000,82808000,138255000,110211000,185317000,144525000,182286000,226120000,142472000,154203000,102197000,183372000,172067000,185826000,130732000,158902000,148560000
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,93081000,18976000,- -,- -,- -,795855000,741304000,770728000,629874000,646037000,632420000,698506000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,93081000,18976000,- -,- -,- -,795855000,741304000,770728000,629874000,646037000,632420000,698506000,861760000
9,Other Expenses,32913000,51230000,85395000,165992000,157708000,306623000,194630000,232258000,388855000,412758000,496146000,348361000,547605000,858172000,898847000,849339000,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,38806000,60603000,111407000,204986000,214531000,357647000,245176000,320565000,471663000,551013000,606357000,626759000,711106000,1040458000,1124967000,991811000,950058000,843501000,954100000,801941000,831863000,763152000,857408000,1010320000
11,COGS and Expenses,93537000,118866000,173214000,279877000,313388000,493318000,386165000,506915000,673084000,768382000,873592000,1001817000,1215863000,2105666000,2386060000,2031327000,2350613000,2919152000,3589073000,3030471000,2463545000,2332490000,2299919000,2231384000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1355000,599000,406000,1327000,4049000,5687000,3717000,6466000,13194000,19946000,4170000,- -
13,Interest Expense (Gain),- -,- -,15119000,10962000,4391000,258000,- -,- -,- -,117000,8354000,37718000,47956000,148623000,183240000,174928000,231164000,378901000,456396000,494694000,534850000,558680000,537109000,562353000
14,Depreciation and Amortization,7373000,8309000,28858000,58286000,3532000,6670000,11020000,15880000,17849000,16291000,49905000,99884000,108404000,237414000,285524000,255663000,331651000,632756000,983309000,983765000,723707000,612862000,518807000,457098000
15,EBITDA,7574000,13642000,-119044000,28953000,68817000,115926000,242116000,340124000,251583000,369658000,460459000,497262000,549044000,683276000,-325135000,-278815000,-560344000,-1620850000,-2607445000,-807267000,250023000,764586000,965878000,472848000
16,EBITDA ratio,0.0699,0.0985,-0.6030,0.1149,0.1725,0.1946,0.3936,0.4147,0.2766,0.3405,0.3653,0.3404,0.3199,0.2503,-0.1074,-0.1065,-0.1948,-0.4959,-0.6502,-0.2327,0.0848,0.2624,0.3327,0.1580
17,Operating Income,14833000,19680000,24215000,-27898000,65285000,109256000,228935000,313249000,210529000,317226000,387474000,390024000,465366000,508366000,-551727000,-425625000,-896943000,-933475000,-3471515000,-960065000,-469129000,- -,- -,- -
18,Operating Income ratio,0.1369,0.1420,0.1227,-0.1107,0.1636,0.1834,0.3722,0.3819,0.2314,0.2922,0.3074,0.2670,0.2712,0.1862,-0.1822,-0.1626,-0.3117,-0.2856,-0.8657,-0.2768,-0.1592,- -,- -,- -
19,Total Other Income Expenses (Gains),-14451000,-14347000,-187236000,-10962000,-4391000,-258000,2161000,10995000,23205000,36024000,14726000,-30364000,-44668000,-156675000,-189856000,-133942000,-228758000,-504389000,-452341000,-522939000,-469703000,-926778000,-629673000,22478000
20,Income Before Tax,382000,5333000,-163021000,-38860000,60894000,108998000,231096000,324244000,233734000,353250000,402200000,359660000,420698000,351691000,-741583000,-559567000,-1125701000,-1437864000,-3923856000,-1483004000,-938832000,-344904000,-26518000,-546603000
