,https://roic.ai/company/ADV,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , 
1,Revenue,2100235000,- -,3707628000,3785063000,3155671000,3602298000
2,COGS,1611285000,- -,3108651000,3163443000,2551485000,2964123000
3,Gross Profit,488950000,- -,598977000,621620000,604186000,638175000
4,Gross Profit Ratio,0.2328,- -,0.1616,0.1642,0.1915,0.1772
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,97542000,- -,- -,- -,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",97542000,- -,152493000,175373000,306282000,168086000
9,Other Expenses,170260000,- -,225233000,232573000,238598000,240041000
10,Operating Expenses,267802000,- -,377726000,407946000,544880000,408127000
11,COGS and Expenses,1879087000,- -,3486377000,3571389000,3096365000,3372250000
12,Interest Income ,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,229643000,232077000,234044000,137927000
14,Depreciation and Amortization,170260000,- -,225233000,232573000,238598000,240041000
15,EBITDA,225032000,- -,-870790000,444831000,304868000,466079000
16,EBITDA ratio,0.1071,- -,-0.2349,0.1175,0.0966,0.1294
17,Operating Income,221148000,- -,-1089914000,213674000,67006000,230048000
18,Operating Income ratio,0.1053,- -,-0.2940,0.0565,0.0212,0.0639
19,Total Other Income Expenses (Gains),-167360000,- -,-229643000,-232077000,-234044000,-138882000
20,Income Before Tax,53788000,- -,-1319557000,-18403000,-167038000,91166000
21,Income Before Tax Ratio,0.0256,- -,-0.3559,-0.0049,-0.0529,0.0253
22,Income Tax expense (Gain),22623000,- -,-168334000,1353000,-5331000,33617000
23,Net Income,32149000,- -,-1157332000,-21172000,-162443000,54494000
24,Net Income ratio,0.0153,- -,-0.3121,-0.0056,-0.0515,0.0151
25,EPS,0.16,- -,-5.68,-0.10,-0.70,0.17
26,EPS Diluted,0.16,- -,-5.68,-0.10,-0.70,0.17
27,Weighted Average Shares Outstanding,203750000,- -,203750000,203750000,223227833,318198860
28,Weighted Average Shares Outstanding Diluted,203750000,- -,203750000,203750000,223227833,321004756
29,SEC Link,- -,undefined,- -,https://www.sec.gov/Archives/edgar/data/1776661/000121390020007995/0001213900-20-007995-index.htm,https://www.sec.gov/Archives/edgar/data/1776661/000119312521082812/0001193125-21-082812-index.htm,https://www.sec.gov/Archives/edgar/data/1776661/000095017022002524/0000950170-22-002524-index.htm
30,BALANCE SHEET, , , , , , 
31,Cash and Cash Equivalents,40268000,- -,- -,184224000,204301000,164622000
32,Short-Term Investments,- -,- -,- -,- -,115624000,- -
33,Cash and Short-Term Investments,40268000,- -,- -,184224000,319925000,164622000
34,Net Receivables,419877000,- -,- -,694655000,584267000,809195000
35,Inventory,3317000,- -,- -,25163000,44185000,70704000
36,Other Current Assets,26454000,- -,- -,48449000,-48626000,59793000
37,Total Current Assets,489916000,- -,- -,952491000,899751000,1104314000
38,PP&E,71867000,- -,- -,208614000,129789000,111183000
39,Goodwill,2082344000,- -,- -,2116696000,2163339000,2206004000
40,Intangible Assets,3212868000,- -,- -,2600596000,2452796000,2287514000
41,Intangible Assets,5295212000,- -,- -,4717292000,4616135000,4493518000
42,Investments,84721000,- -,- -,111663000,115624000,125158000
43,Tax Assets,1949000,- -,- -,- -,- -,- -
44,Other Non-Current Assets,6135000,- -,- -,22623000,16193000,20095000
45,Total Non-Current Assets,5459884000,- -,- -,5060192000,4877741000,4749954000
46,Other Assets,- -,- -,- -,- -,- -,- -
47,Total Assets,5949800000,- -,- -,6012683000,5777492000,5854268000
48,Accounts Payable,94621000,- -,- -,179415000,195452000,277366000
49,Short-Term Debt,41047000,- -,- -,71112000,88687000,34812000
50,Tax Payable,9779000,- -,- -,6342000,6602000,5357000
51,Deferred Revenue,36353000,- -,- -,54255000,62604000,64090000
52,Other Current Liabilities,151608000,- -,- -,213349000,228246000,269252000
53,Total Current Liabilities,323629000,- -,- -,518131000,574989000,645520000
54,Long-Term Debt,2651686000,- -,- -,3172087000,2029328000,2069326000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,1156285000,- -,- -,506362000,491242000,483165000
57,Other Non-Current Liabilities,82355000,- -,- -,146297000,141910000,75856000
58,Total Non-Current Liabilities,3890326000,- -,- -,3824746000,2662480000,2628347000
59,Other Liabilities,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,3116000,- -,- -,118974000,65631000,60859000
61,Total Liabilities,4213955000,- -,- -,4342877000,3237469000,3273867000
62,Preferred Stock,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,20000,32000,32000
64,Retained Earnings,46804000,- -,- -,-745295000,-907738000,-866607000
65,Other Comprehensive Income/Loss,-12482000,- -,- -,-8153000,674000,-4479000
66,Other Total Stockholders Equity,1761460000,- -,- -,2331227000,3350101000,3354371000
67,Total Stockholders Equity,1702107000,- -,- -,1577799000,2443069000,2483317000
68,Total Liabilities And Stockholders Equity,5916062000,- -,- -,5920676000,5680538000,5757184000
69,Minority Interest,33738000,- -,- -,92007000,96954000,97084000
70,Total Liabilities & Equity,5949800000,- -,- -,6012683000,5777492000,5854268000
71,SEC Link,- -,undefined,undefined,https://www.sec.gov/Archives/edgar/data/1776661/000121390020007995/0001213900-20-007995-index.htm,https://www.sec.gov/Archives/edgar/data/1776661/000119312521082812/0001193125-21-082812-index.htm,https://www.sec.gov/Archives/edgar/data/1776661/000095017022002524/0000950170-22-002524-index.htm
72,CASH FLOW STATEMENT, , , , , , 
