,https://roic.ai/company/CLXT,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , 
1,Revenue,1272000,399000,508000,236000,7296000,23851000,25987000
2,COGS,751000,200000,- -,- -,9280000,35127000,28557000
3,Gross Profit,521000,199000,508000,236000,-1984000,-11276000,-2570000
4,Gross Profit Ratio,0.4096,0.4987,1.0000,1.0000,-0.2719,-0.4728,-0.0989
5,Research and Development Exp.,2766000,5638000,11556000,9846000,12213000,11082000,11335000
6,General and Administrative Exp.,3569000,6670000,14741000,18505000,20304000,16409000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,5172000,4380000,- -
8,"Selling, General and Administrative Exp.",3569000,6670000,14741000,18505000,25476000,20789000,15382000
9,Other Expenses,- -,- -,- -,- -,- -,- -,45000
10,Operating Expenses,6335000,12308000,26297000,28351000,37689000,31871000,26762000
11,COGS and Expenses,7086000,12508000,26297000,28351000,46969000,66998000,55319000
12,Interest Income ,- -,- -,- -,1521000,1600000,557000,- -
13,Interest Expense (Gain),261000,5000,1000,1257000,1490000,1435000,- -
14,Depreciation and Amortization,147000,345000,551000,1081000,1607000,1869000,2338000
15,EBITDA,-5481000,-11736000,-25428000,-25559000,-36515000,-41532000,-26861000
16,EBITDA ratio,-4.3090,-29.4135,-50.0551,-108.3008,-5.0048,-1.7413,-1.0336
17,Operating Income,-5814000,-12109000,-25789000,-28115000,-39673000,-43832000,-29332000
18,Operating Income ratio,-4.5708,-30.3484,-50.7657,-119.1314,-5.4376,-1.8377,-1.1287
19,Total Other Income Expenses (Gains),-75000,23000,-191000,218000,61000,-1004000,133000
20,Income Before Tax,-5889000,-12086000,-25980000,-27897000,-39612000,-44836000,-29199000
21,Income Before Tax Ratio,-4.6297,-30.2907,-51.1417,-118.2076,-5.4293,-1.8798,-1.1236
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -
23,Net Income,-5889000,-12086000,-25980000,-27897000,-39612000,-44836000,-29199000
24,Net Income ratio,-4.6297,-30.2907,-51.1417,-118.2076,-5.4293,-1.8798,-1.1236
25,EPS,-0.22,-0.45,-1.12,-0.91,-1.21,-1.32,-0.78
26,EPS Diluted,-0.22,-0.45,-1.12,-0.91,-1.21,-1.32,-0.78
27,Weighted Average Shares Outstanding,26600000,26600000,23153661,30683421,32805684,33882406,37279703
28,Weighted Average Shares Outstanding Diluted,26600000,26600000,23153661,30683421,32805684,33882406,37279703
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1705843/000119312518080923/0001193125-18-080923-index.html,https://www.sec.gov/Archives/edgar/data/1705843/000119312519071191/0001193125-19-071191-index.html,https://www.sec.gov/Archives/edgar/data/1705843/000156459020008777/0001564590-20-008777-index.html,https://www.sec.gov/Archives/edgar/data/1705843/000156459021010976/0001564590-21-010976-index.htm,https://www.sec.gov/Archives/edgar/data/1705843/000095017022002808/0000950170-22-002808-index.htm
30,BALANCE SHEET, , , , , , , 
31,Cash and Cash Equivalents,24687000,5026000,56664000,93794000,58610000,17299000,13823000
32,Short-Term Investments,- -,- -,- -,- -,- -,11698000,- -
33,Cash and Short-Term Investments,24687000,5026000,56664000,93794000,58610000,28997000,13823000
34,Net Receivables,334000,157000,167000,347000,1122000,4887000,- -
35,Inventory,- -,- -,- -,- -,2594000,1383000,- -
36,Other Current Assets,11000,282000,626000,1381000,1196000,4323000,1358000
37,Total Current Assets,25032000,5465000,57457000,95522000,63522000,39590000,15181000
38,PP&E,915000,10994000,14353000,21850000,23212000,22860000,- -
39,Goodwill,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,48000,164000,357000,1419000,1364000,877000,22013000
45,Total Non-Current Assets,963000,11158000,14710000,23269000,24576000,23737000,22013000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,25995000,16623000,72167000,118791000,88098000,63327000,37194000
48,Accounts Payable,304000,357000,1023000,818000,1077000,929000,1260000
49,Short-Term Debt,- -,- -,1350000,258000,356000,364000,370000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,182000,101000,43000,248000,- -,- -,- -
52,Other Current Liabilities,550000,2407000,1838000,5680000,5763000,5652000,3224000
53,Total Current Liabilities,1036000,2865000,4254000,7004000,7196000,6945000,4854000
54,Long-Term Debt,- -,- -,- -,- -,- -,1518000,- -
55,Deferred Revenue,702000,639000,289000,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,10148000,18390000,18394000,17989000,18208000
58,Total Non-Current Liabilities,702000,639000,10437000,18390000,18394000,19507000,18208000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,10148000,18485000,18600000,18240000,- -
61,Total Liabilities,1738000,3504000,14691000,25394000,25590000,26452000,23062000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,1000,1000,3000,3000,3000,4000,4000
64,Retained Earnings,-16482000,-28568000,-54548000,-82445000,-122057000,-166893000,-196092000
65,Other Comprehensive Income/Loss,-387000,-732000,-1283000,-2088000,17000,- -,- -
66,Other Total Stockholders Equity,41125000,42418000,113304000,177927000,184545000,203764000,210220000
67,Total Stockholders Equity,24257000,13119000,57476000,93397000,62508000,36875000,14132000
68,Total Liabilities And Stockholders Equity,25995000,16623000,72167000,118791000,88098000,63327000,37194000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,25995000,16623000,72167000,118791000,88098000,63327000,37194000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1705843/000119312518080923/0001193125-18-080923-index.html,https://www.sec.gov/Archives/edgar/data/1705843/000119312519071191/0001193125-19-071191-index.html,https://www.sec.gov/Archives/edgar/data/1705843/000156459020008777/0001564590-20-008777-index.html,https://www.sec.gov/Archives/edgar/data/1705843/000156459021010976/0001564590-21-010976-index.htm,https://www.sec.gov/Archives/edgar/data/1705843/000095017022002808/0000950170-22-002808-index.htm
72,CASH FLOW STATEMENT, , , , , , , 
73,Net Income,-5889000,-12086000,-25980000,-27897000,-39612000,-44836000,-29199000
74,Depreciation and Amortization,147000,345000,551000,1081000,1607000,1869000,2338000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,692000,948000,12092000,4385000,9175000,4971000,2090000
77,Change in Working Capital,-1641000,-21396000,50603000,35315000,-32192000,-23681000,-22318000
78,Accounts Receivable,25000,107000,110000,- -,-1122000,-3765000,4887000
79,Inventory,- -,- -,- -,- -,-2594000,1211000,1383000
80,Accounts Payable,-28000,53000,665000,-193000,259000,-148000,-360000
81,Other Working Capital,23996000,2600000,53203000,88518000,56326000,32645000,10327000
82,Other Non-Cash Items,- -,22952000,-50051000,-33136000,29071000,18005000,28278000
83,Cash Provided by Operating Activities,-6691000,-9237000,-12785000,-20252000,-31951000,-43672000,-18811000
84,CAPEX,-665000,-10424000,-779000,-1847000,-2969000,-1786000,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,11698000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,11698000
88,Other Investing Activites,- -,- -,- -,50000,- -,-11698000,-12195000
89,Cash Used for Investing Activites,-665000,-10424000,-779000,-1797000,-2969000,-13484000,11201000
90,Debt Repayment,- -,- -,- -,- -,-275000,-360000,-364000
91,Common Stock Issued,- -,- -,61292000,57706000,- -,15000000,4380000
92,Common Stock Repurchased,- -,- -,- -,-230000,- -,- -,- -
93,Dividends Paid,-110000,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,31850000,- -,3910000,3197000,-55000,767000,-274000
95,Cash Used/Provided by Financing Activities,31740000,- -,65202000,60673000,-330000,15407000,3742000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,24384000,-19661000,51638000,38624000,-35250000,-41749000,-3868000
98,Cash at the End of Period,24687000,5026000,56664000,95288000,60038000,18289000,14421000
99,Cash at the Beginning of Period,303000,24687000,5026000,56664000,95288000,60038000,18289000
100,Free Cash Flow,-7356000,-19661000,-13564000,-22099000,-34920000,-45458000,-18811000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1705843/000119312518080923/0001193125-18-080923-index.html,https://www.sec.gov/Archives/edgar/data/1705843/000119312519071191/0001193125-19-071191-index.html,https://www.sec.gov/Archives/edgar/data/1705843/000156459020008777/0001564590-20-008777-index.html,https://www.sec.gov/Archives/edgar/data/1705843/000156459021010976/0001564590-21-010976-index.htm,https://www.sec.gov/Archives/edgar/data/1705843/000095017022002808/0000950170-22-002808-index.htm
102,false,,,,,,,
