,https://roic.ai/company/GH,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , 
1,Revenue,25249000,49842000,90639000,214375000,286730000,373653000
2,COGS,22124000,31618000,43210000,70720000,92535000,122912000
3,Gross Profit,3125000,18224000,47429000,143655000,194195000,250741000
4,Gross Profit Ratio,0.1238,0.3656,0.5233,0.6701,0.6773,0.6711
5,Research and Development Exp.,10859000,25562000,50714000,86292000,149862000,263221000
6,General and Administrative Exp.,9921000,36777000,36192000,61399000,192770000,206640000
7,Selling and Marketing Exp.,26192000,32497000,53465000,78335000,106513000,191881000
8,"Selling, General and Administrative Exp.",36113000,69274000,89657000,139734000,299283000,398521000
9,Other Expenses,- -,- -,- -,- -,- -,- -
10,Operating Expenses,46972000,94836000,140371000,226026000,449145000,661742000
11,COGS and Expenses,69096000,126454000,183581000,296746000,541680000,784654000
12,Interest Income ,733000,2234000,5266000,13741000,10171000,3930000
13,Interest Expense (Gain),3018000,2702000,1251000,1181000,4766000,2577000
14,Depreciation and Amortization,3693000,5206000,7136000,13609000,16065000,22271000
15,EBITDA,-39422000,-75306000,-76638000,-62733000,-232573000,-380522000
16,EBITDA ratio,-1.5613,-1.5109,-0.8455,-0.2926,-0.8111,-1.0184
17,Operating Income,-43847000,-76612000,-92942000,-82371000,-254950000,-411001000
18,Operating Income ratio,-1.7366,-1.5371,-1.0254,-0.3842,-0.8892,-1.1000
19,Total Other Income Expenses (Gains),-2286000,-6602000,8717000,12648000,9046000,26531000
20,Income Before Tax,-46133000,-83214000,-84225000,-69723000,-245904000,-384470000
21,Income Before Tax Ratio,-1.8271,-1.6696,-0.9292,-0.3252,-0.8576,-1.0289
22,Income Tax expense (Gain),6000,7000,38000,-1872000,379000,300000
23,Net Income,-46139000,-83221000,-85063000,-75651000,-253783000,-405670000
24,Net Income ratio,-1.8274,-1.6697,-0.9385,-0.3529,-0.8851,-1.0857
25,EPS,-0.65,-1.54,-2.80,-0.84,-2.60,-4.00
26,EPS Diluted,-0.65,-1.54,-2.80,-0.84,-2.60,-4.00
