,https://roic.ai/company/OPRX,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , 
1,Revenue,100318,83686,26723,71065,1111520,2048699,4957016,6502962,7220678,7751462,12127422,21206363,24598274,43313323,61292598
2,COGS,- -,- -,- -,- -,- -,- -,1767425,3221534,3622203,3411396,6174614,8999666,9158699,19207902,25654384
3,Gross Profit,100318,83686,26723,71065,1111520,2048699,3189591,3281428,3598475,4340066,5952808,12206697,15439575,24105421,35638214
4,Gross Profit Ratio,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.6434,0.5046,0.4984,0.5599,0.4909,0.5756,0.6277,0.5565,0.5814
5,Research and Development Exp.,- -,- -,- -,78437,- -,- -,- -,189566,290371,398396,1009022,675660,2672406,1081137,- -
6,General and Administrative Exp.,- -,- -,1727173,1531583,2021426,2168722,2732914,3366649,3273634,4940901,6542139,9994278,13460463,21656661,33190660
7,Selling and Marketing Exp.,- -,- -,668751,188193,544071,57218,47105,87201,47927,296997,207062,299955,709006,615923,- -
8,"Selling, General and Administrative Exp.",- -,- -,2395924,1719776,2565497,2225940,2780019,3453850,3321561,5237898,6749201,10294233,14169469,22272584,33190660
9,Other Expenses,456259,1591738,277858,119083,- -,187104,193971,264340,583950,235284,324551,449002,1491641,2887019,2086454
10,Operating Expenses,456259,1591738,2673782,1917296,2565497,2413044,2973990,3907756,4195882,5871578,8082774,11418895,18333516,26240740,35277114
11,COGS and Expenses,456259,1591738,2673782,1917296,2565497,2413044,4741415,7129290,7818085,9282974,14257388,20418561,27492215,45448642,60931498
12,Interest Income ,- -,5090,30189,2841,1290,469,246,935,2267,42309,25937,46212,288028,68582,16979
13,Interest Expense (Gain),5525,611,1033,106551,958641,100,- -,- -,- -,- -,- -,- -,- -,- -,- -
14,Depreciation and Amortization,2824,32150,32516,59930,145315,187104,193791,264340,333950,235284,324551,316502,1175131,1971083,1965325
15,EBITDA,-353117,-4216092,-4522140,-1842543,-1016806,-176772,409638,-761053,-261190,-1303919,-1779478,542846,-2865405,-236044,2343404
16,EBITDA ratio,-3.5200,-50.3799,-169.2228,-25.9276,-0.9148,-0.0863,0.0826,-0.1170,-0.0362,-0.1682,-0.1467,0.0256,-0.1165,-0.0054,0.0382
17,Operating Income,-355941,-1508052,-2647059,-1846231,-1453977,-364345,215601,-1026328,-597407,-1581512,-2129966,180132,-3693564,-2135319,361100
18,Operating Income ratio,-3.5481,-18.0204,-99.0555,-25.9795,-1.3081,-0.1778,0.0435,-0.1578,-0.0827,-0.2040,-0.1756,0.0085,-0.1502,-0.0493,0.0059
19,Total Other Income Expenses (Gains),-5525,-2740801,-1908630,-162793,-666785,369,246,935,2267,42309,25937,46212,-346972,-71808,16979
20,Income Before Tax,-361466,-4248853,-4555689,-2009024,-2120762,-363976,215847,-1025393,-595140,-1539203,-2104029,226344,-4040536,-2207127,378079
21,Income Before Tax Ratio,-3.6032,-50.7714,-170.4782,-28.2702,-1.9080,-0.1777,0.0435,-0.1577,-0.0824,-0.1986,-0.1735,0.0107,-0.1643,-0.0510,0.0062
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-897960,- -,- -
23,Net Income,-361466,-4248853,-4555689,-2009024,-2120762,-363976,215847,-1025393,-595140,-1539203,-2104029,226344,-3142576,-2207127,378079
