,https://roic.ai/company/ELP,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,1444619000,1747238250,2116420800,2303129505,3762323000,4279442000,5544325000,6816130000,7421326000,7920094000,5458778000,5617311000,6901113000,7776165000,8532217000,9180214000,13918517000,14728131000,13101753000,14024573000,14934780000,16244274000,18633249000
2,COGS,474562000,755079510,764072400,803806777,2389876000,1327995000,1275036000,1967128000,3976223000,2497968000,3473442000,3766110000,4976143000,5457015000,6578971000,7037998000,11165077000,11799316000,10234115000,10665890000,11501688000,11760176000,13347822000
3,Gross Profit,970057000,992158740,1352348400,1499322729,1372447000,2951447000,4269289000,4849002000,3445103000,5422126000,1985336000,1851201000,1924970000,2319150000,1953246000,2142216000,2753440000,2928815000,2867638000,3358683000,3433092000,4484098000,5285427000
4,Gross Profit Ratio,0.6715,0.5678,0.6390,0.6510,0.3648,0.6897,0.7700,0.7114,0.4642,0.6846,0.3637,0.3296,0.2789,0.2982,0.2289,0.2334,0.1978,0.1989,0.2189,0.2395,0.2299,0.2760,0.2837
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,636584000,1295088000,1740525000,1737902000,1495468000,3392797000,256912000,364115000,353626000,461452000,504652000,479001000,513494000,602048000,710855000,653605000,697519000,687072000,774627000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,29769000,45556000,62466000,113764000,65659000,95615000,120987000,283397000,250448000,169050000,148709000,207059000,17177000
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,636584000,1295088000,1740525000,1737902000,1495468000,3392797000,286681000,409671000,416092000,575216000,570311000,574616000,634481000,885445000,961303000,822655000,846228000,894131000,791804000
9,Other Expenses,625207000,650711290,785631600,804238840,282390000,1580962000,1927461000,2291500000,372395000,422049000,- -,27951000,3830000,384786000,418037000,481365000,597404000,269804000,124535000,541582000,287245000,539157000,-482897000
10,Operating Expenses,625207000,650711290,785631600,804238840,918974000,2876050000,3667986000,4029402000,1867863000,3814846000,286681000,437622000,419922000,960002000,988348000,1055981000,1231885000,1155249000,1085838000,1364237000,1133473000,1433288000,308907000
11,COGS and Expenses,1099769000,1405790800,1549704000,1608045617,3308850000,4204045000,4943022000,5996530000,5844086000,6312814000,3760123000,4203732000,5396065000,6417017000,7567319000,8093979000,12396962000,12954565000,11319953000,12030127000,12635161000,13193464000,13656729000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,396279000,729203000,396017000,488620000,365918000,652231000,577532000,- -,652363000,157422000,217722000,194153000,141923000,214627000,192724000,341964000
13,Interest Expense (Gain),- -,- -,28649400,- -,188851000,155114910,- -,497280000,434510000,375774000,394257000,300294000,303806000,352764000,14745000,15225000,45189000,34060000,47016000,85556000,51237000,33065000,12550000
14,Depreciation and Amortization,-246477000,-321363690,-366406950,-283015456,282390000,292342000,308910000,328906000,372395000,422049000,404743000,391548000,542992000,552435000,549858000,602447000,629943000,676472000,708296000,731599000,749179000,1093836000,1009912000
15,EBITDA,221188000,70217140,225605250,335646335,110055000,700921910,881491000,1526763000,2607263000,2364748000,2335890000,2095601000,2205056000,2469951000,1511469000,2095301000,2403098000,2435499000,2244530000,2125467000,2719472000,3756173000,6212029000
16,EBITDA ratio,0.1531,0.0402,0.1066,0.1457,0.0293,0.1638,0.1590,0.2240,0.3513,0.2986,0.4279,0.3731,0.3195,0.3176,0.1771,0.2282,0.1727,0.1654,0.1713,0.1516,0.1821,0.2312,0.3334
17,Operating Income,- -,- -,566716800,- -,- -,75397000,- -,819600000,1548717000,- -,- -,1347277000,- -,1359148000,- -,1226193000,1857631000,- -,- -,2147158000,- -,2702195000,5119537000
18,Operating Income ratio,- -,- -,0.2678,- -,- -,0.0176,- -,0.1202,0.2087,- -,- -,0.2398,- -,0.1748,- -,0.1336,0.1335,- -,- -,0.1531,- -,0.1663,0.2748
19,Total Other Income Expenses (Gains),122815000,50133380,-3354000,-76422098,-609247000,178068000,-7479000,-102599000,265529000,-9265000,-143696000,79951000,-124316000,224768000,7800000,280311000,- -,24214000,-303442000,-754217000,-343622000,- -,- -
20,Income Before Tax,467665000,391580830,563362800,618661791,-155774000,253465000,593824000,717001000,1814246000,1598015000,1554959000,1427228000,1380732000,1583916000,972698000,1506504000,1857631000,1797780000,1478358000,1392941000,1955997000,2702195000,5119537000
21,Income Before Tax Ratio,0.3237,0.2241,0.2662,0.2686,-0.0414,0.0592,0.1071,0.1052,0.2445,0.2018,0.2849,0.2541,0.2001,0.2037,0.1140,0.1641,0.1335,0.1221,0.1128,0.0993,0.1310,0.1663,0.2748
22,Income Tax expense (Gain),90629000,101180810,132991950,145776377,-41167000,82328000,198433000,198200000,557678000,460315000,458146000,377326000,370451000,407062000,246178000,405069000,522016000,532229000,530568000,274686000,511993000,639326000,1285365000
23,Net Income,377036000,290400020,430370850,472885414,-320019000,171137000,374148000,502377000,1242680000,1106610000,1078744000,1026433000,987807000,1157690000,700688000,1072560000,1205950000,1192738000,958650000,1033626000,1407063000,1989946000,3904202000
24,Net Income ratio,0.2610,0.1662,0.2033,0.2053,-0.0851,0.0400,0.0675,0.0737,0.1674,0.1397,0.1976,0.1827,0.1431,0.1489,0.0821,0.1168,0.0866,0.0810,0.0732,0.0737,0.0942,0.1225,0.2095
25,EPS,0.14,0.10,0.16,0.17,-0.12,0.06,0.14,0.18,0.45,0.34,0.32,0.38,0.36,0.42,0.24,0.39,0.22,0.44,0.35,0.38,0.51,0.73,1.43
26,EPS Diluted,0.14,0.10,0.16,0.17,-0.12,0.06,0.14,0.18,0.45,0.34,0.32,0.38,0.36,0.42,0.24,0.39,0.22,0.44,0.35,0.38,0.51,0.73,1.43
27,Weighted Average Shares Outstanding,2733333333,1450310000,1450310000,2736550000,2735205128,2736553760,2736553760,2736553760,2736553760,2736550000,2736550000,2736553750,2798562327,2736553750,2736553750,2736553750,2736553750,2736553750,2736550000,2736553750,2736553750,2736553750,2736553750
28,Weighted Average Shares Outstanding Diluted,2733333333,1450310000,1450310000,2736550000,2736550000,2736553760,2736553760,2736553760,2736553760,2736550000,2736550000,2736553750,2798562327,2736553750,2736553750,2736553750,2736553750,2736553750,2736550000,2736553750,2736553750,2736553750,2736553750
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,199919000,348881000,519236000,1131766000,1504004000,1540871000,1813576000,1696152000,1794416000,1049125000,1483137000,1741632000,740131000,1480727000,982073000,1040075000,1948409000,2941727000,3222768000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,78959000,534095000,582019000,635501000,389222000,1068413000,1317033000,302398000,172950000,546046000,358682000,174930000
33,Cash and Short-Term Investments,- -,- -,- -,- -,199919000,348881000,519236000,1131766000,1504004000,1540871000,1813576000,1775111000,2328511000,1631144000,2118638000,2130854000,1808544000,2797760000,1284471000,1213025000,2494455000,3300409000,3397698000
34,Net Receivables,- -,- -,- -,- -,678807000,729551000,811414000,997092000,1117936000,1080962000,1097442000,1154449000,1579996000,1893949000,2338062000,2302746000,3130801000,3841674000,2947492000,4111902000,3835208000,4225399000,6291423000
35,Inventory,- -,- -,- -,- -,20686000,27189000,30632000,36590000,51444000,52195000,64260000,94190000,121424000,103800000,124809000,139278000,150622000,131018000,130637000,110559000,116285000,130442000,162791000
36,Other Current Assets,- -,- -,- -,- -,131847000,285520000,271795000,306875000,340249000,488382000,597875000,803995000,127859000,73120000,117746000,107406000,128209000,162945000,40390000,266348000,231898000,252946000,1555519000
37,Total Current Assets,- -,- -,- -,- -,1031259000,1391141000,1633077000,2472323000,3013633000,3162410000,3573153000,3827745000,4157790000,3702013000,4699255000,4680284000,5218176000,6933397000,4402990000,5701834000,6677846000,7909196000,11407431000
38,PP&E,- -,- -,- -,- -,5967576000,5313109000,5399165000,5991291000,6711686000,6832379000,6992158000,7528432000,6663945000,7209123000,7871849000,7983632000,8304188000,8692682000,8934303000,9829450000,10840663000,10684934000,9627981000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,40783000,112585000,118119000,131717000,1748954000,1721857000,1794510000,2035361000,2174156000,6145076000,6459812000,6452824000,6029097000,6332611000,6929456000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,40783000,112585000,118119000,131717000,1748954000,1721857000,1794510000,2035361000,2174156000,6145076000,6459812000,6452824000,6029097000,6332611000,6929456000
42,Investments,- -,- -,- -,- -,497579000,455702000,456707000,414320000,305968000,256809000,521518000,435668000,490601000,649300000,671551000,1308463000,2224206000,2450730000,2938343000,2977939000,2863472000,2947488000,3223624000
43,Tax Assets,- -,- -,- -,- -,415230000,514121000,487667000,478885000,337654000,400592000,- -,355021000,507710000,745180000,647804000,753413000,526046000,537562000,803477000,915492000,1007061000,1011866000,1191104000
44,Other Non-Current Assets,- -,- -,- -,- -,635533000,1548500000,1902665000,1588925000,1524899000,1595242000,2048678000,1554913000,4290432000,5094190000,5526585000,6350292000,7171370000,4188210000,6895284000,7284838000,8511961000,9426455000,14405068000
45,Total Non-Current Assets,- -,- -,- -,- -,7515918000,7831432000,8246204000,8473421000,8920990000,9197607000,9680473000,10005751000,13701642000,15419650000,16512299000,18431161000,20399966000,22014260000,26031219000,27460543000,29252254000,30403354000,35377233000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,8547177000,9222573000,9879281000,10945744000,11934623000,12360017000,13253626000,13833496000,17859432000,19121663000,21211554000,23111445000,25618142000,28947657000,30434209000,33162377000,35930100000,38312550000,46784664000
48,Accounts Payable,- -,- -,- -,- -,248882000,400984000,767501000,1162416000,392219000,- -,114383000,121156000,71308000,747453000,1184836000,1143720000,1642160000,1674912000,1321849000,1746201000,1487101000,1758312000,2380258000
49,Short-Term Debt,- -,- -,- -,- -,178757000,266358000,671016000,214956000,928507000,264511000,293461000,135893000,704252000,116487000,274009000,1014568000,1299117000,1232563000,2601940000,2416728000,3297928000,1453395000,2640281000
50,Tax Payable,- -,- -,- -,- -,144968000,305847000,228805000,327049000,277414000,224796000,- -,536453000,532120000,151790000,522494000,637466000,483185000,696555000,386464000,481545000,704035000,608222000,1215187000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,56498000,37994000,23233000,277458000,141712000,150025000,79872000,28508000,33712000
52,Other Current Liabilities,- -,- -,- -,- -,367110000,601801000,809420000,974975000,1260644000,1550116000,1555650000,1584113000,1761241000,1194881000,1332475000,1151603000,1090883000,1604185000,1590535000,1796960000,1830213000,2105406000,4600141000
53,Total Current Liabilities,- -,- -,- -,- -,794749000,1269143000,2247937000,2352347000,2581370000,1814627000,1963494000,1841162000,2536801000,2058821000,2847818000,3347885000,4055393000,4789118000,5656036000,6109914000,6695114000,5345621000,9654392000
54,Long-Term Debt,- -,- -,- -,- -,2016154000,1693253000,1160275000,1829149000,1668420000,1837942000,1571172000,1537528000,1280982000,2057985000,2987546000,3517161000,4755281000,6528425000,6235162000,7413755000,8267510000,10215302000,7444092000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,74994000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,12955000,82316000,72350000,26694000,12515000,19317000,- -,- -,887218000,927910000,615924000,420501000,15218000,214000,178430000,156630000,157420000,293666000,484338000
57,Other Non-Current Liabilities,- -,- -,- -,- -,997245000,1319631000,1217658000,1106940000,1025026000,1220427000,1426306000,1296214000,1858605000,2007419000,2262768000,2897146000,3109470000,3045422000,3209135000,3971575000,4473842000,4859749000,8951324000
58,Total Non-Current Liabilities,- -,- -,- -,- -,3026354000,3095200000,2450283000,2962783000,2705961000,3077686000,2997478000,2908736000,4026805000,4993314000,5866238000,6834808000,7879969000,9574061000,9622727000,11541960000,12898772000,15368717000,16879754000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,96604000,138361000
61,Total Liabilities,- -,- -,- -,- -,3821103000,4364343000,4698220000,5315130000,5287331000,4892313000,4960972000,4749898000,6563606000,7052135000,8714056000,10182693000,11935362000,14363179000,15278763000,17651874000,19593886000,20714338000,26534146000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,4460000000,4460000000,4460000000,6910000000,- -,6910000000,6910000000,6910000000,6910000000,7910000000,7910000000,7910000000,10800000000,10800000000
