,https://roic.ai/company/RNGR,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , 
1,Revenue,21200000,52800000,154000000,303100000,336900000,187000000,293100000
2,COGS,18200000,45900000,126400000,236900000,263000000,147000000,444600000
3,Gross Profit,3000000,6900000,27600000,66200000,73900000,40000000,-151500000
4,Gross Profit Ratio,0.1415,0.1307,0.1792,0.2184,0.2194,0.2139,-0.5169
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,7800000,11400000,30400000,29000000,26700000,22000000,33500000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",7800000,11400000,30400000,29000000,26700000,22000000,33500000
9,Other Expenses,- -,- -,17800000,30300000,34800000,180000000,- -
10,Operating Expenses,7800000,11400000,48200000,59300000,61500000,202000000,33500000
11,COGS and Expenses,26000000,57300000,174600000,296200000,324500000,349000000,478100000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),300000,500000,6300000,3700000,5800000,-3000000,4800000
14,Depreciation and Amortization,2100000,6600000,17800000,30300000,34800000,35000000,36000000
15,EBITDA,-2700000,2100000,17100000,30700000,44600000,14000000,32500000
16,EBITDA ratio,-0.1274,0.0398,0.1110,0.1013,0.1324,0.0749,0.1109
17,Operating Income,-6400000,-4500000,-20600000,-2100000,12400000,-15100000,-40500000
18,Operating Income ratio,-0.3019,-0.0852,-0.1338,-0.0069,0.0368,-0.0807,-0.1382
19,Total Other Income Expenses (Gains),-300000,-500000,-6300000,-3700000,-5800000,-2900000,32200000
20,Income Before Tax,-6700000,-5000000,-26900000,-5800000,6600000,-18000000,-8300000
21,Income Before Tax Ratio,-0.3160,-0.0947,-0.1747,-0.0191,0.0196,-0.0963,-0.0283
22,Income Tax expense (Gain),- -,- -,-400000,- -,2200000,- -,-6200000
23,Net Income,- -,-5000000,-6600000,-3300000,1800000,-18000000,-2100000
24,Net Income ratio,- -,-0.0947,-0.0429,-0.0109,0.0053,-0.0963,-0.0072
25,EPS,- -,-1.79,-0.78,-0.39,0.21,-1.21,-0.25
26,EPS Diluted,- -,-1.79,-0.78,-0.39,0.21,-1.24,-0.20
27,Weighted Average Shares Outstanding,6788367,6788367,8413178,8425593,8634013,8532994,8532994
28,Weighted Average Shares Outstanding Diluted,6788367,6788367,8413178,8425593,8634013,10265970,10265970
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1699039/000155837018001955/0001558370-18-001955-index.htm,https://www.sec.gov/Archives/edgar/data/1699039/000169903919000012/0001699039-19-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1699039/000169903920000008/0001699039-20-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1699039/000169903921000017/0001699039-21-000017-index.htm,https://www.sec.gov/Archives/edgar/data/1699039/000169903922000029/0001699039-22-000029-index.htm
30,BALANCE SHEET, , , , , , , 
31,Cash and Cash Equivalents,1100000,1600000,5300000,2600000,6900000,2000000,600000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,1100000,1600000,5300000,2600000,6900000,2000000,600000
34,Net Receivables,2400000,14600000,38100000,48500000,42700000,25000000,80000000
35,Inventory,- -,- -,- -,4900000,3800000,2000000,2000000
