,https://roic.ai/company/PRVA,2018,2019,2020,2021
0,INCOME STATEMENT, , , , 
1,Revenue,657609000,786360000,817075000,966220000
2,COGS,601150000,717888000,734493000,902558000
3,Gross Profit,56459000,68472000,82582000,63662000
4,Gross Profit Ratio,0.0859,0.0871,0.1011,0.0659
5,Research and Development Exp.,- -,- -,- -,- -
6,General and Administrative Exp.,41497000,41827000,44016000,255884000
7,Selling and Marketing Exp.,11737000,9156000,11343000,22750000
8,"Selling, General and Administrative Exp.",53234000,50983000,55359000,278634000
9,Other Expenses,1070000,1427000,1843000,2464000
10,Operating Expenses,54304000,52410000,57202000,281098000
11,COGS and Expenses,655454000,770298000,791695000,1183656000
12,Interest Income ,- -,- -,- -,- -
13,Interest Expense (Gain),6420000,6910000,1917000,1070000
14,Depreciation and Amortization,1072000,1427000,1830000,2464000
15,EBITDA,4372000,17788000,27550000,-212553000
16,EBITDA ratio,0.0066,0.0226,0.0337,-0.2200
17,Operating Income,2155000,16062000,25380000,-217436000
18,Operating Income ratio,0.0033,0.0204,0.0311,-0.2250
19,Total Other Income Expenses (Gains),-6420000,-6910000,-1917000,-1070000
20,Income Before Tax,-4265000,9152000,23463000,-218506000
21,Income Before Tax Ratio,-0.0065,0.0116,0.0287,-0.2261
22,Income Tax expense (Gain),-76000,1207000,-7441000,-27857000
23,Net Income,-3044000,8244000,31244000,-188230000
24,Net Income ratio,-0.0046,0.0105,0.0382,-0.1948
25,EPS,-0.03,0.08,0.30,-1.81
26,EPS Diluted,-0.03,0.08,0.30,-1.81
27,Weighted Average Shares Outstanding,102785817,102785817,102785817,102785817
28,Weighted Average Shares Outstanding Diluted,102785817,102785817,102785817,102785817
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1759655/000175965522000032/0001759655-22-000032-index.htm
30,BALANCE SHEET, , , , 
31,Cash and Cash Equivalents,- -,46889000,84633000,320577000
32,Short-Term Investments,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,46889000,84633000,320577000
34,Net Receivables,- -,77339000,99118000,117402000
35,Inventory,- -,- -,- -,- -
36,Other Current Assets,- -,5371000,6333000,8697000
37,Total Current Assets,- -,129599000,190084000,446676000
38,PP&E,- -,5622000,4814000,14136000
39,Goodwill,- -,118663000,118663000,127938000
40,Intangible Assets,- -,6622000,5980000,59738000
41,Intangible Assets,- -,125285000,124643000,187676000
42,Investments,- -,- -,- -,- -
