,https://roic.ai/company/NUVR,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,11757082,12822162,132989226,14334243,15841037,15100567,17344837,16882234,17300936,35294331,32613673,31919163,33271451,32482988,38715585,39987409,41684068,42319146,46889181,56682627,64941341,64911071,65837521
2,COGS,3387022,4431929,51349474,4833981,5581239,6061273,5555767,5791132,6317090,13221934,11717517,11836346,13456756,14310030,17376461,18541603,19737392,20092524,20591004,24131339,27821575,27895371,15647611
3,Gross Profit,8370060,8390233,81639752,9500262,10259798,9039294,11789070,11091102,10983846,22072397,20896156,20082817,19814695,18172958,21339124,21445806,21946676,22226622,26298177,32551288,37119766,37015700,50189910
4,Gross Profit Ratio,0.7119,0.6544,0.6139,0.6628,0.6477,0.5986,0.6797,0.6570,0.6349,0.6254,0.6407,0.6292,0.5955,0.5595,0.5512,0.5363,0.5265,0.5252,0.5609,0.5743,0.5716,0.5703,0.7623
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9854343,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9854343,10377186
9,Other Expenses,3719590,4050665,53621118,5919877,6286021,6407573,7515889,7709289,7916691,16072069,16472370,15688864,15411293,14489367,15992672,16648291,16905043,16817729,16838094,20200774,23045828,12143330,25925924
10,Operating Expenses,3719590,4050665,53621118,5919877,6286021,6407573,7515889,7709289,7916691,16072069,16472370,15688864,15411293,14489367,15992672,16648291,16905043,16817729,16838094,20200774,23045828,21997673,36303110
11,COGS and Expenses,7106612,8482594,104970592,10753858,11867260,12468846,13071656,13500421,14233781,29294003,28189887,27525210,28868049,28799397,33369133,35189894,36642435,36910253,37429098,44332113,50867403,49893044,51950721
12,Interest Income ,- -,117096,136870,126192,47793,36615,82734,649297,895111,498727,108498,91602,134334,100875,166491,139220,241895,118171,174701,337213,347987,330311,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,3317978,2948004,2788164,2416338,2227343,1381792,937989,1501638,1425527,1192241,2280939,3404971,2504988,-2128488
14,Depreciation and Amortization,2048946,2304251,3075155,3666249,4288905,4270812,4111769,4120673,3893777,9021128,9455416,9538864,9049414,8258486,9194430,9590061,9806033,9823112,9711932,10419053,12219418,12241886,12538778
15,EBITDA,7831956,7473515,19663515,10290580,10656209,9866553,13497067,63537161,11538602,19023859,15961803,15479522,14997192,13295266,15410776,15192259,15703115,16136266,20055094,23902371,27263835,28643999,26394184
16,EBITDA ratio,0.6661,0.5829,0.1479,0.7179,0.6727,0.6534,0.7782,3.7636,0.6669,0.5390,0.4894,0.4850,0.4508,0.4093,0.3981,0.3799,0.3767,0.3813,0.4277,0.4217,0.4198,0.4413,0.4009
17,Operating Income,4650470,4339568,28018634,3580385,3973777,2631721,4273181,3351116,3061368,6000328,4423786,4393953,4403402,3683591,5346452,4797515,5041633,5408893,9460083,12350514,14073938,15018027,13886800
18,Operating Income ratio,0.3955,0.3384,0.2107,0.2498,0.2509,0.1743,0.2464,0.1985,0.1769,0.1700,0.1356,0.1377,0.1323,0.1134,0.1381,0.1200,0.1209,0.1278,0.2018,0.2179,0.2167,0.2314,0.2109
19,Total Other Income Expenses (Gains),1132540,829696,-41784,3043946,2393527,2964020,5112117,56065372,4583457,684425,-865403,-1241459,-871962,-874154,-511898,-133306,-646189,-521266,-309162,-1148135,-2434492,-1120902,2097094
20,Income Before Tax,5783010,5169264,- -,6624331,6367304,5595741,9385298,59416488,7644825,6684753,3558383,3152494,3531440,2809437,4834554,4664209,4395444,4887627,9150921,11202379,11639446,13897125,15983894
21,Income Before Tax Ratio,0.4919,0.4032,- -,0.4621,0.4019,0.3706,0.5411,3.5195,0.4419,0.1894,0.1091,0.0988,0.1061,0.0865,0.1249,0.1166,0.1054,0.1155,0.1952,0.1976,0.1792,0.2141,0.2428
22,Income Tax expense (Gain),2453587,2206137,- -,2634350,2554550,2303992,3925246,24305283,3061853,3992227,1915555,1101889,1503917,-365477,1980439,1919465,1729289,2033140,-803315,3438460,3309467,4061313,3731973
23,Net Income,3329423,2963127,16588360,3989981,3812754,3291749,5460052,35111205,4582972,2692526,1642828,2050605,2027523,3174914,2854115,2744744,2666155,2854487,9954236,7763919,8329979,9835812,12251921
24,Net Income ratio,0.2832,0.2311,0.1247,0.2784,0.2407,0.2180,0.3148,2.0798,0.2649,0.0763,0.0504,0.0642,0.0609,0.0977,0.0737,0.0686,0.0640,0.0675,0.2123,0.1370,0.1283,0.1515,0.1861
25,EPS,0.64,0.57,0.54,0.78,0.75,0.64,1.07,6.86,0.90,0.53,0.32,0.40,0.40,0.62,0.56,0.54,0.52,0.56,1.93,1.50,1.61,1.89,2.35
26,EPS Diluted,0.64,0.57,0.54,0.78,0.75,0.64,1.07,6.86,0.90,0.53,0.32,0.40,0.40,0.62,0.56,0.54,0.52,0.56,1.93,1.50,1.60,1.89,2.35
27,Weighted Average Shares Outstanding,5202568,5201066,5135655,5115585,5115585,5115435,5115435,5115435,5115435,5115435,5115435,5115435,5115435,5123017,5111012,5097401,5110371,5133548,5153579,5170895,5184663,5194006,5208491
28,Weighted Average Shares Outstanding Diluted,5202568,5201066,5135655,5115585,5115585,5115435,5115435,5115435,5115435,5115435,5115435,5115435,5115435,5123017,5111012,5097401,5110371,5133548,5153579,5170895,5193449,5199696,5219374
