,https://roic.ai/company/SND,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , 
1,Revenue,68170000,47698000,59231000,137212000,212470000,233073000,122340000,126648000
2,COGS,29934000,21003000,26569000,100304000,144903000,152021000,104221000,- -
3,Gross Profit,38236000,26695000,32662000,36908000,67567000,81052000,18119000,-15906000
4,Gross Profit Ratio,0.5609,0.5597,0.5514,0.2690,0.3180,0.3478,0.1481,-0.1256
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,12310000,9724000,11887000,17678000,23868000,22888000,25520000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",12310000,9724000,11887000,17678000,23868000,22888000,25520000,- -
9,Other Expenses,160000,388000,384000,525000,1843000,2411000,1911000,5773000
10,Operating Expenses,12470000,10112000,12271000,18203000,25711000,25299000,27431000,- -
11,COGS and Expenses,42404000,31115000,38840000,118507000,170614000,177320000,131652000,- -
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),7832000,7826000,8427000,450000,2266000,3621000,2091000,1979000
14,Depreciation and Amortization,160000,388000,384000,525000,18161000,27823000,22923000,26103000
15,EBITDA,25066000,17333000,28584000,19692000,44237000,70876000,49988000,- -
16,EBITDA ratio,0.3677,0.3634,0.4826,0.1435,0.2082,0.3041,0.4086,- -
17,Operating Income,25766000,16583000,20391000,18705000,25879000,43483000,-13017000,-63485000
18,Operating Income ratio,0.3780,0.3477,0.3443,0.1363,0.1218,0.1866,-0.1064,-0.5013
19,Total Other Income Expenses (Gains),-8692000,-7464000,-618000,12000,-2069000,-4051000,37991000,-13819000
20,Income Before Tax,17074000,9119000,19773000,18717000,23810000,39432000,24974000,- -
21,Income Before Tax Ratio,0.2505,0.1912,0.3338,0.1364,0.1121,0.1692,0.2041,- -
22,Income Tax expense (Gain),9518000,4129000,9394000,-2809000,5122000,7809000,-12980000,- -
23,Net Income,7556000,4990000,10379000,21526000,18688000,31623000,37954000,- -
24,Net Income ratio,0.1108,0.1046,0.1752,0.1569,0.0880,0.1357,0.3102,- -
25,EPS,0.22,0.23,0.27,0.54,0.46,0.79,0.94,-1.21
26,EPS Diluted,0.22,0.23,0.27,0.53,0.46,0.78,0.94,-1.21
27,Weighted Average Shares Outstanding,34238712,34238712,38816000,40208000,40427000,40135000,40260000,41775000
28,Weighted Average Shares Outstanding Diluted,34238712,34238712,39074000,40304000,40449000,40337000,40260000,41775000
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1529628/000156459017004562/0001564590-17-004562-index.html,https://www.sec.gov/Archives/edgar/data/1529628/000156459018005710/0001564590-18-005710-index.html,https://www.sec.gov/Archives/edgar/data/1529628/000152962819000019/0001529628-19-000019-index.html,https://www.sec.gov/Archives/edgar/data/1529628/000152962820000020/0001529628-20-000020-index.html,https://www.sec.gov/Archives/edgar/data/1529628/000152962821000067/0001529628-21-000067-index.htm,https://www.sec.gov/Archives/edgar/data/1529628/000152962822000029/0001529628-22-000029-index.htm
30,BALANCE SHEET, , , , , , , , 
31,Cash and Cash Equivalents,802000,3896000,46563000,34740000,1466000,2639000,11725000,25588000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,802000,3896000,46563000,34740000,1466000,2639000,11725000,25588000
34,Net Receivables,8842000,6044000,5771000,25373000,26812000,64817000,69847000,24184000
35,Inventory,8630000,4181000,10344000,9092000,18575000,21415000,19136000,15024000
36,Other Current Assets,3884000,1521000,2346000,3532000,3243000,1506000,11378000,- -
37,Total Current Assets,22158000,15642000,65024000,72737000,50096000,90377000,112086000,64796000
38,PP&E,83684000,105428000,100593000,167770000,243795000,253693000,306775000,292293000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,18068000,9046000,8253000,7461000
41,Intangible Assets,- -,- -,- -,- -,18068000,9046000,8253000,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,3787000,11980000,7835000,6295000,8333000,8487000,563000,- -
45,Total Non-Current Assets,87471000,117408000,108428000,174065000,270196000,271226000,315591000,- -
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,309223000
47,Total Assets,109629000,133050000,173452000,246802000,320292000,361603000,427677000,374019000
48,Accounts Payable,2047000,1170000,1663000,26123000,11336000,3961000,3268000,8479000
49,Short-Term Debt,- -,- -,282000,288000,739000,2628000,6778000,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,4007000
51,Deferred Revenue,- -,7133000,1615000,- -,4095000,7654000,6875000,- -
52,Other Current Liabilities,6843000,40264000,10162000,8148000,8482000,25775000,20342000,- -
53,Total Current Liabilities,8890000,48567000,13722000,34559000,24652000,40018000,37263000,- -
54,Long-Term Debt,59187000,63823000,288000,- -,47346000,27766000,22094000,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,1670000,3482000,- -
56,Deferred Tax Liabilities,11030000,14505000,15044000,13239000,17898000,24021000,32981000,- -
57,Other Non-Current Liabilities,32479000,2426000,1956000,8982000,21036000,23985000,43050000,249000
58,Total Non-Current Liabilities,102696000,80754000,17288000,22221000,86280000,77442000,101607000,- -
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,132859000
60,Capital Lease Obligations,2044000,1655000,1246000,572000,637000,29167000,34571000,33070000
61,Total Liabilities,111586000,129321000,31010000,56780000,110932000,117460000,138870000,132859000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,39000,40000,40000,40000,42000,42000
64,Retained Earnings,-5306000,-316000,10063000,31589000,50277000,81900000,121267000,70593000
65,Other Comprehensive Income/Loss,-7799000,-13058000,-19381000,-26367000,-42809000,-63064000,423000,574000
66,Other Total Stockholders Equity,11148000,17103000,151721000,184760000,201852000,225267000,167075000,- -
67,Total Stockholders Equity,-1957000,3729000,142442000,190022000,209360000,244143000,288807000,241160000
68,Total Liabilities And Stockholders Equity,109629000,133050000,173452000,246802000,320292000,361603000,427677000,374019000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,109629000,133050000,173452000,246802000,320292000,361603000,427677000,374019000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1529628/000156459017004562/0001564590-17-004562-index.html,https://www.sec.gov/Archives/edgar/data/1529628/000156459018005710/0001564590-18-005710-index.html,https://www.sec.gov/Archives/edgar/data/1529628/000152962819000019/0001529628-19-000019-index.html,https://www.sec.gov/Archives/edgar/data/1529628/000152962820000020/0001529628-20-000020-index.html,https://www.sec.gov/Archives/edgar/data/1529628/000152962821000067/0001529628-21-000067-index.htm,https://www.sec.gov/Archives/edgar/data/1529628/000152962822000029/0001529628-22-000029-index.htm
72,CASH FLOW STATEMENT, , , , , , , , 
73,Net Income,7556000,4990000,10379000,21526000,18688000,31623000,37954000,- -
74,Depreciation and Amortization,160000,388000,384000,525000,18161000,27823000,22923000,26103000
75,Deferred Income Tax,8378000,3700000,539000,-1805000,4659000,6123000,-2573000,- -
76,Stock Based Compensation,418000,792000,1426000,2012000,3009000,2950000,3865000,- -
77,Change in Working Capital,-6866000,-46193000,84227000,-13124000,-12734000,24915000,24464000,41756000
78,Accounts Receivable,-4367000,- -,-3319000,-18038000,4457000,-41063000,-10719000,32899000
79,Inventory,316000,-2462000,-1357000,4407000,-7343000,-1021000,4738000,1942000
80,Accounts Payable,759000,-137000,761000,9356000,-2271000,-4680000,-370000,4508000
81,Other Working Capital,13268000,-32925000,51302000,38178000,25444000,50359000,74823000,- -
82,Other Non-Cash Items,12491000,67026000,-70252000,6494000,19126000,-48801000,-61092000,-35421000
83,Cash Provided by Operating Activities,22137000,30703000,26703000,15628000,50909000,44633000,25541000,32438000
