,https://roic.ai/company/VNT,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , 
1,Revenue,2498200000,2665900000,2772100000,2704600000,2990700000
2,COGS,1425400000,1530800000,1581300000,1516500000,1657600000
3,Gross Profit,1072800000,1135100000,1190800000,1188100000,1333100000
4,Gross Profit Ratio,0.4294,0.4258,0.4296,0.4393,0.4457
5,Research and Development Exp.,126200000,136200000,136400000,126200000,129300000
6,General and Administrative Exp.,- -,- -,- -,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,621600000
9,Other Expenses,445800000,499300000,491300000,508400000,- -
10,Operating Expenses,572000000,635500000,627700000,634600000,750900000
11,COGS and Expenses,1997400000,2166300000,2209000000,2151100000,2408500000
12,Interest Income ,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,47800000
14,Depreciation and Amortization,66100000,86400000,84500000,78300000,88300000
15,EBITDA,590000000,593700000,650300000,538600000,670100000
16,EBITDA ratio,0.2362,0.2227,0.2346,0.1991,0.2241
17,Operating Income,500800000,499600000,563100000,468200000,582200000
18,Operating Income ratio,0.2005,0.1874,0.2031,0.1731,0.1947
19,Total Other Income Expenses (Gains),23100000,7700000,2700000,-7900000,-48200000
20,Income Before Tax,523900000,507300000,565800000,460300000,534000000
21,Income Before Tax Ratio,0.2097,0.1903,0.2041,0.1702,0.1786
22,Income Tax expense (Gain),150600000,121800000,129300000,118300000,121000000
23,Net Income,373300000,385500000,436500000,342000000,413000000
24,Net Income ratio,0.1494,0.1446,0.1575,0.1265,0.1381
25,EPS,2.23,2.29,2.40,2.03,2.45
26,EPS Diluted,2.20,2.27,2.37,2.02,2.44
27,Weighted Average Shares Outstanding,167700000,168300000,167700000,168400000,168400000
28,Weighted Average Shares Outstanding Diluted,169800000,169700000,169800000,169400000,169400000
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1786842/000178684221000013/0001786842-21-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1786842/000178684222000015/0001786842-22-000015-index.htm
30,BALANCE SHEET, , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,380500000,572600000
32,Short-Term Investments,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,380500000,572600000
34,Net Receivables,- -,531000000,490600000,447100000,481300000
35,Inventory,- -,250400000,224100000,233700000,287000000
36,Other Current Assets,- -,80200000,110500000,120800000,137300000
37,Total Current Assets,- -,861600000,825200000,1182100000,1478200000
38,PP&E,- -,180600000,139700000,136900000,146000000
39,Goodwill,- -,1139500000,1157800000,1092100000,1667200000
40,Intangible Assets,- -,290200000,274300000,250500000,615900000
41,Intangible Assets,- -,1429700000,1432100000,1342600000,2283100000
42,Investments,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,516900000,431900000,411400000,442500000
45,Total Non-Current Assets,- -,2127200000,2003700000,1890900000,2871600000
46,Other Assets,- -,- -,- -,- -,- -
47,Total Assets,- -,2988800000,2828900000,3073000000,4349800000
48,Accounts Payable,- -,317800000,318600000,367400000,424900000
49,Short-Term Debt,- -,18500000,29600000,22800000,16500000
50,Tax Payable,- -,20200000,11800000,62200000,- -
51,Deferred Revenue,- -,117200000,87000000,87600000,- -
52,Other Current Liabilities,- -,240000000,232300000,360500000,492000000
53,Total Current Liabilities,- -,693500000,667500000,838300000,933400000
54,Long-Term Debt,- -,222500000,24600000,1795300000,2619400000
55,Deferred Revenue,- -,60700000,63200000,58300000,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,219200000,257500000,189400000,223300000
58,Total Non-Current Liabilities,- -,502400000,345300000,2043000000,2842700000
59,Other Liabilities,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,38000000,42400000,48400000
61,Total Liabilities,- -,1195900000,1012800000,2881300000,3776100000
62,Preferred Stock,- -,- -,- -,- -,- -
63,Common Stock,- -,1663500000,1662500000,- -,- -
64,Retained Earnings,- -,- -,- -,-13600000,386700000
65,Other Comprehensive Income/Loss,- -,126300000,148700000,193800000,181700000
66,Other Total Stockholders Equity,- -,- -,- -,205300000,- -
67,Total Stockholders Equity,- -,1789800000,1811200000,187800000,569900000
68,Total Liabilities And Stockholders Equity,- -,2985700000,2824000000,3069100000,4346000000
69,Minority Interest,- -,3100000,4900000,3900000,3800000
70,Total Liabilities & Equity,- -,2988800000,2828900000,3073000000,4349800000
71,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1786842/000178684221000013/0001786842-21-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1786842/000178684222000015/0001786842-22-000015-index.htm
72,CASH FLOW STATEMENT, , , , , 
73,Net Income,373300000,385500000,436500000,342000000,413000000
74,Depreciation and Amortization,66100000,86400000,84500000,78300000,88300000
75,Deferred Income Tax,- -,- -,- -,- -,- -
76,Stock Based Compensation,11800000,13800000,13100000,22500000,25500000
77,Change in Working Capital,-74300000,85000000,-10400000,186100000,-56000000
78,Accounts Receivable,-136600000,-193600000,-111900000,-92800000,- -
79,Inventory,13200000,-37900000,25300000,-7000000,- -
80,Accounts Payable,-4000000,16000000,2000000,44100000,- -
81,Other Working Capital,83100000,168100000,157700000,343800000,-51800000
82,Other Non-Cash Items,-13100000,-149700000,21500000,62400000,10300000
83,Cash Provided by Operating Activities,363800000,421000000,545200000,691300000,481100000
84,CAPEX,-68400000,-42400000,-38000000,-35700000,-47800000
85,Acquisitions Net,-190400000,-80800000,-2400000,-9500000,-967100000
86,Purchases of Investments,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,7200000
88,Other Investing Activites,500000,600000,100000,3500000,- -
89,Cash Used for Investing Activites,-258300000,-122600000,-40300000,-41700000,-1007700000
90,Debt Repayment,- -,- -,- -,-23400000,-1407000000
91,Common Stock Issued,- -,- -,- -,- -,- -
