,https://roic.ai/company/SRRK,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , 
1,Revenue,379000,- -,- -,20492000,15403000,18816000
2,COGS,- -,- -,- -,- -,- -,- -
3,Gross Profit,- -,- -,- -,- -,15403000,- -
4,Gross Profit Ratio,- -,- -,- -,- -,1.0000,- -
5,Research and Development Exp.,12477000,19944000,36310000,54217000,74062000,108468000
6,General and Administrative Exp.,4112000,5085000,14382000,20817000,28219000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",4112000,5085000,14382000,20817000,28219000,40269000
9,Other Expenses,- -,- -,- -,- -,- -,- -
10,Operating Expenses,16589000,25029000,50692000,75034000,102281000,148737000
11,COGS and Expenses,16589000,25029000,50692000,75034000,102281000,148737000
12,Interest Income ,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -
14,Depreciation and Amortization,575000,669000,807000,1303000,1491000,2627000
15,EBITDA,-15632000,-24360000,-49885000,-49697000,-84992000,- -
16,EBITDA ratio,-41.2454,-Infinity,-Infinity,-2.4252,-5.5179,- -
17,Operating Income,-16210000,-25029000,-50692000,-54542000,-86878000,-129921000
18,Operating Income ratio,-42.7704,-Infinity,-Infinity,-2.6616,-5.6403,-6.9048
19,Total Other Income Expenses (Gains),3000,34000,1366000,3542000,395000,-1878000
20,Income Before Tax,-16207000,-24995000,-49326000,-51000000,-86483000,-131799000
21,Income Before Tax Ratio,-42.7625,-Infinity,-Infinity,-2.4888,-5.6147,-7.0046
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -
23,Net Income,-16207000,-24995000,-49326000,-51000000,-86483000,- -
24,Net Income ratio,-42.7625,-Infinity,-Infinity,-2.4888,-5.6147,- -
25,EPS,-0.91,-2.06,-3.15,-1.85,-2.81,-3.59
26,EPS Diluted,-0.91,-2.06,-3.15,-1.85,-2.81,-3.59
27,Weighted Average Shares Outstanding,17905447,12108377,15655293,27537939,30734109,36711833
28,Weighted Average Shares Outstanding Diluted,17905447,12108377,15655293,27537939,30734109,36711833
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1727196/000155837019002252/0001558370-19-002252-index.htm,https://www.sec.gov/Archives/edgar/data/1727196/000155837020002536/0001558370-20-002536-index.htm,https://www.sec.gov/Archives/edgar/data/1727196/000155837021002641/0001558370-21-002641-index.htm,https://www.sec.gov/Archives/edgar/data/1727196/000155837022002928/0001558370-22-002928-index.htm
30,BALANCE SHEET, , , , , , 
31,Cash and Cash Equivalents,10033000,56461000,115069000,36308000,160358000,212835000
32,Short-Term Investments,18002000,1498000,60576000,121140000,180673000,- -
33,Cash and Short-Term Investments,28035000,57959000,175645000,157448000,341031000,212835000
34,Net Receivables,- -,- -,- -,25000000,- -,- -
35,Inventory,- -,- -,- -,- -,- -,- -
36,Other Current Assets,461000,1242000,2296000,2719000,3373000,52484000
37,Total Current Assets,28496000,59201000,177941000,185167000,344404000,265319000
38,PP&E,2430000,2181000,3190000,8618000,40382000,- -
39,Goodwill,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -
42,Investments,1496000,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,360000,255000,205000,2596000,3519000,39126000
45,Total Non-Current Assets,4286000,2436000,3395000,11214000,43901000,39126000
46,Other Assets,- -,- -,- -,- -,- -,343571000
