,https://roic.ai/company/KMI,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , 
1,Revenue,12094800000,7185200000,8190600000,8264900000,9973000000,14070000000,16226000000,14403000000,13058000000,13705000000,14144000000,13209000000,11700000000,16610000000
2,COGS,9062000000,3068500000,5035200000,4941300000,4476000000,7059000000,8318000000,6424000000,5707000000,6606000000,6718000000,5674000000,4709000000,8628000000
3,Gross Profit,3032800000,4116700000,3155400000,3323600000,5497000000,7011000000,7908000000,7979000000,7351000000,7099000000,7426000000,7535000000,6991000000,7982000000
4,Gross Profit Ratio,0.2508,0.5729,0.3852,0.4021,0.5512,0.4983,0.4874,0.5540,0.5629,0.5180,0.5250,0.5704,0.5975,0.4806
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,929000000,613000000,610000000,690000000,669000000,673000000,601000000,590000000,648000000,655000000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,929000000,613000000,610000000,690000000,669000000,673000000,601000000,590000000,648000000,655000000
9,Other Expenses,1471600000,2709500000,1874700000,1791400000,1988000000,2507000000,2575000000,2776000000,2724000000,2870000000,2867000000,3017000000,2851000000,2794000000
10,Operating Expenses,1471600000,2709500000,1874700000,1791400000,2917000000,3120000000,3185000000,3466000000,3393000000,3543000000,3468000000,3607000000,3499000000,3449000000
11,COGS and Expenses,10533600000,5778000000,6909900000,6732700000,7393000000,10080000000,11506000000,9887000000,9099000000,10148000000,10183000000,9278000000,8208000000,12077000000
12,Interest Income ,47500000,- -,23400000,23000000,28000000,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),675800000,- -,668300000,703300000,1427000000,1675000000,1798000000,2051000000,1806000000,1832000000,1917000000,1801000000,- -,- -
14,Depreciation and Amortization,- -,- -,- -,1091900000,1426000000,- -,- -,- -,- -,- -,- -,- -,2164000000,2135000000
15,EBITDA,-2619200000,821600000,794600000,2752400000,3307000000,3610000000,3472000000,2868000000,3431000000,3953000000,4113000000,4917000000,2764000000,4288000000
16,EBITDA ratio,-0.2166,0.1143,0.0970,0.3330,0.3316,0.2566,0.2140,0.1991,0.2628,0.2884,0.2908,0.3722,0.2362,0.2582
17,Operating Income,-2472100000,1407200000,1280700000,1538700000,2593000000,3990000000,4448000000,2447000000,3572000000,3544000000,3794000000,4873000000,1560000000,2916000000
18,Operating Income ratio,-0.2044,0.1958,0.1564,0.1862,0.2600,0.2836,0.2741,0.1699,0.2735,0.2586,0.2682,0.3689,0.1333,0.1756
19,Total Other Income Expenses (Gains),-425900000,-307800000,-812800000,-523700000,-1250000000,-552000000,-1357000000,-1675000000,-1934000000,-1383000000,-1288000000,-1708000000,-899000000,-697000000
20,Income Before Tax,-2898000000,1099400000,467900000,1015000000,1343000000,3438000000,3091000000,772000000,1638000000,2161000000,2506000000,3165000000,661000000,2219000000
21,Income Before Tax Ratio,-0.2396,0.1530,0.0571,0.1228,0.1347,0.2443,0.1905,0.0536,0.1254,0.1577,0.1772,0.2396,0.0565,0.1336
22,Income Tax expense (Gain),304300000,326600000,167600000,362800000,139000000,742000000,648000000,564000000,917000000,1938000000,587000000,926000000,481000000,369000000
23,Net Income,-3599300000,495000000,-41300000,594400000,315000000,1193000000,1026000000,253000000,708000000,183000000,1609000000,2190000000,119000000,1784000000
24,Net Income ratio,-0.2976,0.0689,-0.0050,0.0719,0.0316,0.0848,0.0632,0.0176,0.0542,0.0134,0.1138,0.1658,0.0102,0.1074
25,EPS,-18.18,2.50,-0.21,0.74,0.49,1.15,0.89,0.14,0.25,0.01,0.66,0.96,0.05,0.79
26,EPS Diluted,-18.18,2.50,-0.21,0.74,0.49,1.15,0.89,0.14,0.25,0.01,0.66,0.96,0.05,0.79
