,https://roic.ai/company/RYI,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , 
1,Revenue,6001900000,5309800000,3066100000,3895500000,4729800000,4024700000,3460300000,3622200000,3167200000,2859700000,3364700000,4408400000,4501600000,3466600000,5675300000
2,COGS,5136200000,4596900000,2610000000,3355700000,4071000000,3315100000,2843700000,3028400000,2599500000,2289100000,2782200000,3650300000,3673700000,2845500000,4528500000
3,Gross Profit,865700000,712900000,456100000,539800000,658800000,709600000,616600000,593800000,567700000,570600000,582500000,758100000,827900000,621100000,1146800000
4,Gross Profit Ratio,0.1442,0.1343,0.1488,0.1386,0.1393,0.1763,0.1782,0.1639,0.1792,0.1995,0.1731,0.1720,0.1839,0.1792,0.2021
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,-481800000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,-481800000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,711200000
9,Other Expenses,689200000,586100000,3300000,506900000,539700000,508900000,480100000,509200000,450800000,436400000,472500000,614700000,636800000,554300000,- -
10,Operating Expenses,689200000,586100000,-478500000,506900000,539700000,508900000,480100000,509200000,450800000,436400000,472500000,614700000,636800000,554300000,711200000
11,COGS and Expenses,5825400000,5183000000,2131500000,3862600000,4610700000,3824000000,3323800000,3537600000,3050300000,2725500000,3254700000,4265000000,4310500000,3399800000,5239700000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),85900000,109900000,72900000,107500000,123100000,126500000,110500000,107400000,96300000,89900000,91000000,99200000,93200000,76400000,51000000
14,Depreciation and Amortization,39800000,37600000,36900000,38400000,43000000,47000000,46600000,45600000,43700000,42500000,47100000,52900000,58400000,53900000,55900000
15,EBITDA,212600000,194800000,-13400000,55000000,147000000,215100000,172100000,126600000,143200000,158300000,153900000,268400000,266500000,39700000,494900000
16,EBITDA ratio,0.0354,0.0367,-0.0044,0.0141,0.0311,0.0534,0.0497,0.0350,0.0452,0.0554,0.0457,0.0609,0.0592,0.0115,0.0872
17,Operating Income,171400000,126800000,-41700000,20100000,98700000,200300000,124600000,86400000,108600000,133200000,110000000,139200000,210800000,64600000,545200000
