,https://roic.ai/company/CLVT,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , 
1,Revenue,917634000,968468000,974345000,1254047000,1876894000
2,COGS,394215000,396499000,346503000,399122000,626104000
3,Gross Profit,523419000,571969000,627842000,854925000,1250790000
4,Gross Profit Ratio,0.5704,0.5906,0.6444,0.6817,0.6664
5,Research and Development Exp.,- -,- -,- -,- -,- -
6,General and Administrative Exp.,360806000,383092000,420058000,553756000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",360806000,383092000,420058000,553756000,-642989000
9,Other Expenses,228700000,230846000,195716000,298680000,615482000
10,Operating Expenses,589506000,613938000,615774000,852436000,-27507000
11,COGS and Expenses,983721000,1010437000,962277000,1251558000,598597000
12,Interest Income ,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,157689000,111914000,-5660000
14,Depreciation and Amortization,228463000,237225000,200542000,303150000,537815000
15,EBITDA,-56760000,712000,157455000,305955000,274005000
16,EBITDA ratio,-0.0619,0.0007,0.1616,0.2440,0.1460
17,Operating Income,-147027000,-105708000,-43087000,2805000,-86980000
18,Operating Income ratio,-0.1602,-0.1091,-0.0442,0.0022,-0.0463
19,Total Other Income Expenses (Gains),-138196000,-130805000,-157689000,-111914000,-171170000
20,Income Before Tax,-285223000,-236513000,-200776000,-109109000,-258150000
21,Income Before Tax Ratio,-0.3108,-0.2442,-0.2061,-0.0870,-0.1375
22,Income Tax expense (Gain),-21293000,5649000,10201000,-2799000,12298000
23,Net Income,-263930000,-242162000,-210977000,-106310000,-270448000
24,Net Income ratio,-0.2876,-0.2500,-0.2165,-0.0848,-0.1441
25,EPS,-0.86,-0.79,-0.77,-0.25,-0.49
26,EPS Diluted,-0.86,-0.79,-0.77,-0.25,-0.61
27,Weighted Average Shares Outstanding,305250000,305250000,273883342,428600690,630976906
28,Weighted Average Shares Outstanding Diluted,305250000,305250000,273883342,428600690,640774100
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1764046/000176404621000074/0001764046-21-000074-index.htm,https://www.sec.gov/Archives/edgar/data/1764046/000176404622000064/0001764046-22-000064-index.htm
30,BALANCE SHEET, , , , , 
31,Cash and Cash Equivalents,53186000,25575000,76130000,257730000,430879000
32,Short-Term Investments,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,53186000,25575000,76130000,257730000,430879000
34,Net Receivables,317808000,331295000,333858000,751446000,906428000
35,Inventory,- -,- -,- -,- -,- -
36,Other Current Assets,72914000,51742000,83088000,318829000,299931000
37,Total Current Assets,443908000,408612000,493076000,1328005000,1637238000
38,PP&E,23010000,20641000,103490000,168623000,169876000
39,Goodwill,1311253000,1282919000,1328045000,6252636000,7904863000
40,Intangible Assets,2160087000,1958520000,1828640000,7370350000,10392354000
41,Intangible Assets,3471340000,3241439000,3156685000,13622986000,18297217000
42,Investments,- -,- -,- -,- -,- -
43,Tax Assets,6824000,12426000,19488000,29786000,27938000
44,Other Non-Current Assets,60029000,26556000,18632000,47944000,- -
45,Total Non-Current Assets,3561203000,3301062000,3298295000,13869339000,18495031000
46,Other Assets,- -,- -,- -,- -,- -
