,https://roic.ai/company/RLMD,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , 
1,Revenue,7941,5129,- -,- -,- -,- -,- -,- -,- -,- -
2,COGS,5799,4036,- -,- -,- -,- -,- -,- -,- -,- -
3,Gross Profit,2142,1093,- -,- -,- -,- -,- -,- -,- -,- -
4,Gross Profit Ratio,0.2697,0.2131,- -,- -,- -,- -,- -,- -,- -,- -
5,Research and Development Exp.,- -,- -,- -,7872397,6206660,1293498,2942625,7024747,35972731,90621570
6,General and Administrative Exp.,9090,45076,- -,9226883,10008913,5925335,3974850,5703173,24865942,35081922
7,Selling and Marketing Exp.,4727,1032,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",13817,46108,- -,9226883,10008913,5925335,3974850,5703173,24865942,35081922
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,13817,46108,- -,17099280,16215573,7218833,6917475,12727920,60838673,125703492
11,COGS and Expenses,19616,50144,- -,17099280,16215573,7218833,6917475,12727920,60838673,125703492
12,Interest Income ,- -,- -,- -,10883,1747,-550,- -,- -,- -,1199077
13,Interest Expense (Gain),- -,- -,- -,4922,- -,- -,1336826,- -,1399225,1199077
14,Depreciation and Amortization,- -,250,- -,9256,54819,85271,2627,4870,3752,1258
15,EBITDA,-12052,-44765,- -,-17079141,-29269620,-7850212,-6205947,-8893948,-60817975,-124454840
16,EBITDA ratio,-1.5177,-8.7278,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
17,Operating Income,-12052,-45015,- -,-17099280,-16215573,-7218833,-6917475,-12727920,-60838673,-125703492
18,Operating Income ratio,-1.5177,-8.7766,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
19,Total Other Income Expenses (Gains),- -,- -,- -,-3704316,13240882,932312,-2043377,-4590140,1382279,-48317
20,Income Before Tax,-12052,-45015,- -,-20803596,-2974691,-6286521,-8960852,-17318060,-59456394,-125751809
21,Income Before Tax Ratio,-1.5177,-8.7766,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,-12052,-45015,- -,-20803596,-2974691,-6286521,-8960852,-17318060,-59456394,-125751809
24,Net Income ratio,-1.5177,-8.7766,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
25,EPS,-0.01,-0.04,- -,-8.36,-1.04,-2.08,-2.84,-2.76,-3.81,-8.06
26,EPS Diluted,-0.01,-0.04,- -,-8.36,-1.04,-2.08,-2.84,-2.76,-3.81,-8.06
27,Weighted Average Shares Outstanding,815573,1216592,- -,2485289,2899738,3018561,3136335,6311768,15594228,15594228
28,Weighted Average Shares Outstanding Diluted,815573,1216592,- -,2485289,2899738,3018561,3136335,6311768,15594228,15594228
29,SEC Link,- -,- -,undefined,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1553643/000121390021017556/0001213900-21-017556-index.htm,https://www.sec.gov/Archives/edgar/data/1553643/000121390022015012/0001213900-22-015012-index.htm
30,BALANCE SHEET, , , , , , , , , , 
31,Cash and Cash Equivalents,8949,15290,25564351,22469960,8500207,1710512,2238943,9216554,2495397,44443439
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,114595525,167466167
33,Cash and Short-Term Investments,8949,15290,25564351,22469960,8500207,1710512,2238943,9216554,117090922,211909606
34,Net Receivables,- -,- -,- -,- -,231900,342716,72103,247082,152257,86377
35,Inventory,6405,3169,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,3000,- -,178158,1497911,566194,421689,426921,520745,830390,11301535
37,Total Current Assets,18354,18459,25742509,23967871,9298301,2474917,2737967,9984381,118073569,223297518
38,PP&E,- -,1550,9841,23911,531348,2315,12080,7210,1258,- -
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,12100,400825,414355,359691,298032,228142,111377,28293
45,Total Non-Current Assets,- -,1550,21941,424736,945703,362006,310112,235352,112635,28293
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,18354,20009,25764450,24392607,10244004,2836923,3048079,10219733,118186204,223325811
48,Accounts Payable,6996,33666,746098,835285,1259711,529558,765439,924359,8346475,11192502
49,Short-Term Debt,- -,- -,58357,263752,273670,276670,285170,364204,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
