,https://roic.ai/company/SOL,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , 
1,Revenue,- -,- -,5087962,84370679,248973085,670366104,510404779,1205578861,985279367,969131896,1519634872,1561497028,1282031446,929836289,102973999,96906335,119117024,73502883
2,COGS,- -,- -,3677176,59645580,195477070,684675933,553606589,857615133,889226223,1004825553,1416371905,1352213743,1094157602,820340207,88842244,68836588,84890976,56817101
3,Gross Profit,- -,- -,1410786,24725099,53496015,-14309829,-43201810,347963728,96053144,-35693657,103262967,209283285,187873844,109496082,14131755,28069747,34226048,16685782
4,Gross Profit Ratio,- -,- -,0.2773,0.2931,0.2149,-0.0213,-0.0846,0.2886,0.0975,-0.0368,0.0680,0.1340,0.1465,0.1178,0.1372,0.2897,0.2873,0.2270
5,Research and Development Exp.,- -,- -,- -,38968,1142623,9713621,14506591,36262716,47055271,44101917,46452032,52575143,43905312,27286652,- -,- -,- -,- -
6,General and Administrative Exp.,- -,23000,- -,- -,- -,23193809,29083848,43314291,38549922,50881639,55632109,67293891,59290266,51458708,6179274,10199524,15757147,14512631
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,619684,5398559,8359858,17232686,33646350,65752530,93067159,72294911,47463930,1710024,885803,750461,433121
8,"Selling, General and Administrative Exp.",- -,23000,566326,2619607,8920790,23813493,34482407,51674149,55782608,84527989,121384639,160361050,131585177,98922638,7889298,11085327,16507608,14945752
9,Other Expenses,- -,-48000,242990,-168676,- -,-84012,-1632857,14082643,- -,-1655426,-45885044,-11870403,-16919975,-6265543,-313153,1452532,11802629,-6472463
10,Operating Expenses,- -,-25000,809316,2489899,10063413,33443102,47356141,102019508,102837879,126974480,121951627,201065790,158570514,119943747,7576145,12537859,28310237,8473289
11,COGS and Expenses,- -,-25000,4486492,62135479,205540483,718119035,600962730,959634641,992064102,1131800033,1538323532,1553279533,1252728116,940283954,96418389,81374447,113201213,65290390
