,https://roic.ai/company/SRRE,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , 
1,Revenue,28649,17245,- -,7723641,10880468,16417471,8101324,8075193,13110591,12821257,9278031,8529990,12763447,8611639,4763774,5200859,27555845,8243566,32989778,5892
2,COGS,29876,30339,- -,4162762,3361000,6917799,6711704,6662860,5995769,7064152,6338290,4894833,4841337,4350690,2896123,2959757,22574152,6689945,26811115,5352
3,Gross Profit,-1227,-13094,- -,3560879,7519468,9499672,1389620,1412333,7114822,5757105,2939741,3635157,7922110,4260949,1867651,2241102,4981693,1553621,6178663,539
4,Gross Profit Ratio,-0.0428,-0.7593,- -,0.4610,0.6911,0.5786,0.1715,0.1749,0.5427,0.4490,0.3168,0.4262,0.6207,0.4948,0.3921,0.4309,0.1808,0.1885,0.1873,0.0915
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3654667,2920376,10047005,-24625
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3654667,2920376,10047005,-24625
9,Other Expenses,3299996,1007494,- -,3384288,4669602,4082942,5785007,5667363,3323798,3981017,3566462,4747294,5733319,6503282,5595427,5874114,1185078,1837458,3080061,20926
10,Operating Expenses,3299996,1007494,- -,3384288,4669602,4082942,5785007,5667363,3323798,3981017,3566462,4747294,5733319,6503282,5595427,5874114,4839745,4757834,13127066,-3699
11,COGS and Expenses,3329872,1037833,7049,7547050,8030602,11000741,12496711,12330223,9319567,11045169,9904752,9642127,10574656,10853972,8491550,8833871,27413897,11447779,39938181,1653
