,https://roic.ai/company/CMRX,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , 
1,Revenue,1715000,12101000,33720000,4370000,4040000,10762000,5702000,4494000,7216000,12519000,5372000,1979000
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
5,Research and Development Exp.,19413000,30108000,27821000,24662000,45379000,97190000,58647000,49448000,55239000,107333000,36232000,73817000
6,General and Administrative Exp.,7606000,6985000,8682000,8327000,17527000,31823000,25007000,27148000,23582000,21169000,13656000,18672000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",7606000,6985000,8682000,8327000,17527000,31823000,25007000,27148000,23582000,21169000,13656000,18672000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,82890000
10,Operating Expenses,27019000,37093000,36503000,32989000,62906000,129013000,83654000,76596000,78821000,128502000,49888000,175379000
11,COGS and Expenses,27019000,37093000,36503000,32989000,62906000,129013000,83654000,76596000,78821000,128502000,49888000,- -
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,2278000,2479000,3407000,994000,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
14,Depreciation and Amortization,213000,270000,280000,258000,283000,657000,1063000,1091000,860000,564000,402000,167000
15,EBITDA,-25244000,-25319000,-4126000,-36187000,-59029000,-116715000,-75327000,-69893000,-68614000,-112012000,-43120000,-173069000
16,EBITDA ratio,-14.7195,-2.0923,-0.1224,-8.2808,-14.6111,-10.8451,-13.2106,-15.5525,-9.5086,-8.9474,-8.0268,-87.4528
17,Operating Income,-25304000,-24992000,-2783000,-28619000,-58866000,-118251000,-77952000,-72102000,-71605000,-115983000,-44516000,-173400000
18,Operating Income ratio,-14.7545,-2.0653,-0.0825,-6.5490,-14.5708,-10.9878,-13.6710,-16.0441,-9.9231,-9.2646,-8.2867,-87.6200
19,Total Other Income Expenses (Gains),-153000,-597000,-1623000,-7826000,-446000,879000,1562000,1118000,2131000,3407000,994000,164000
20,Income Before Tax,-25457000,-25589000,-4406000,-36445000,-59312000,-117372000,-76390000,-70984000,-69474000,-112576000,-43522000,-173236000
21,Income Before Tax Ratio,-14.8437,-2.1146,-0.1307,-8.3398,-14.6812,-10.9062,-13.3971,-15.7953,-9.6278,-8.9924,-8.1016,-87.5371
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,-25457000,-25589000,-4406000,-36445000,-59312000,-117372000,-76390000,-70984000,-69474000,-112576000,-43522000,-173236000
24,Net Income ratio,-14.8437,-2.1146,-0.1307,-8.3398,-14.6812,-10.9062,-13.3971,-15.7953,-9.6278,-8.9924,-8.1016,-87.5371
25,EPS,-2.72,-3.75,-0.47,-3.65,-1.80,-2.67,-1.65,-1.51,-1.43,-2.03,-0.70,-2.01
26,EPS Diluted,-2.72,-3.75,-0.47,-3.65,-1.80,-2.67,-1.65,-1.51,-1.43,-2.03,-0.70,-2.01
27,Weighted Average Shares Outstanding,9369000,9369000,9369000,19307422,33003714,43878326,46267064,46963430,48593435,55501973,62183947,86335357
28,Weighted Average Shares Outstanding Diluted,9369000,9369000,9369000,19307422,33003714,43878326,46267064,46963430,48593435,55501973,62183947,86335357
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1117480/000114420414014110/0001144204-14-014110-index.htm,https://www.sec.gov/Archives/edgar/data/1117480/000162828015001582/0001628280-15-001582-index.htm,https://www.sec.gov/Archives/edgar/data/1117480/000111748016000034/0001117480-16-000034-index.htm,https://www.sec.gov/Archives/edgar/data/1117480/000111748017000004/0001117480-17-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1117480/000111748018000008/0001117480-18-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1117480/000111748019000010/0001117480-19-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1117480/000111748020000006/0001117480-20-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1117480/000111748021000006/0001117480-21-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1117480/000111748022000008/0001117480-22-000008-index.htm
30,BALANCE SHEET, , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,13607000,19906000,109976000,128462000,20605000,51463000,18548000,81106000,16901000,46989000,15397000
32,Short-Term Investments,- -,5918000,9849000,- -,106114000,199729000,180558000,132972000,105424000,96574000,31973000,72970000
33,Cash and Short-Term Investments,- -,19525000,29755000,109976000,234576000,220334000,232021000,151520000,186530000,113475000,78962000,88367000
34,Net Receivables,- -,4187000,783000,248000,659000,3102000,2371000,2283000,589000,1556000,444000,- -
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2760000
36,Other Current Assets,- -,1112000,1016000,2785000,2222000,5401000,2073000,2730000,2339000,3062000,2252000,4678000
37,Total Current Assets,- -,24824000,31554000,113009000,237457000,228837000,236465000,156533000,189458000,118093000,81658000,95805000
38,PP&E,- -,561000,407000,338000,1310000,3045000,2843000,1894000,1210000,1249000,3039000,2657000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,52973000,124040000,47407000,76731000,- -,- -,- -,- -
43,Tax Assets,- -,25000,48000,10000,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,22000,22000,30000,138000,70000,55000,72000,46000,34000,26000,2078000
45,Total Non-Current Assets,- -,608000,477000,378000,54421000,127155000,50305000,78697000,1256000,1283000,3065000,4735000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,25432000,32031000,113387000,291878000,355992000,286770000,235230000,190714000,119376000,84723000,100540000
48,Accounts Payable,- -,4120000,1964000,2214000,5938000,10458000,3890000,3812000,4691000,2398000,1283000,2788000
49,Short-Term Debt,- -,160000,4753000,5573000,4296000,- -,- -,- -,- -,- -,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,1545000,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,2534000,906000,2420000,5288000,9721000,6215000,9384000,8275000,6830000,7250000,27108000
53,Total Current Liabilities,- -,6814000,7623000,10207000,17067000,20179000,10105000,13196000,12966000,9228000,8533000,29896000
54,Long-Term Debt,- -,2441000,9867000,4294000,- -,- -,- -,- -,- -,- -,2814000,- -
