,https://roic.ai/company/BSFC,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , 
1,Revenue,- -,- -,37523380,36951920,32165933,23829463,14111368,9973264
2,COGS,- -,- -,32689580,31254430,27227664,20610000,12623576,7979830
3,Gross Profit,- -,- -,4833800,5697490,4938269,3219463,1487792,1993434
4,Gross Profit Ratio,- -,- -,0.1288,0.1542,0.1535,0.1351,0.1054,0.1999
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,2113230,2015280,2594677,3897541,1286879,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,133240,106671,96594,- -
8,"Selling, General and Administrative Exp.",- -,- -,2113230,2015280,2727917,4004212,1383473,- -
9,Other Expenses,- -,- -,2311130,2340160,2709009,3168158,1907825,2147873
10,Operating Expenses,- -,- -,4424360,4355440,5436926,7172370,3291298,2147873
11,COGS and Expenses,- -,- -,37113940,35609870,32664590,27782370,15914874,10127703
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,-914360,-969420,1009106,1068796,870303,320524
14,Depreciation and Amortization,- -,- -,62350,62400,71334,236253,33367,349498
15,EBITDA,- -,- -,-1744070,-513150,-1179924,-3681237,-3542463,-1963612
16,EBITDA ratio,- -,- -,-0.0465,-0.0139,-0.0367,-0.1545,-0.2510,-0.1969
17,Operating Income,- -,- -,409440,1342050,-1268010,-3952907,-1803506,-2783641
18,Operating Income ratio,- -,- -,0.0109,0.0363,-0.0394,-0.1659,-0.1278,-0.2791
19,Total Other Income Expenses (Gains),- -,- -,-1283350,-998890,-1009106,-1068796,-2633928,150007
20,Income Before Tax,- -,- -,-873910,343160,-2277116,-5021703,-4437434,-2633634
21,Income Before Tax Ratio,- -,- -,-0.0233,0.0093,-0.0708,-0.2107,-0.3145,-0.2641
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,-1122,- -
23,Net Income,- -,- -,-892060,393870,-2260364,-4986286,-4445011,-2633634
24,Net Income ratio,- -,- -,-0.0238,0.0107,-0.0703,-0.2092,-0.3150,-0.2641
25,EPS,- -,- -,-0.06,0.03,-0.13,-0.29,-0.25,-0.14
26,EPS Diluted,- -,- -,-0.06,0.03,-0.13,-0.29,-0.25,-0.14
27,Weighted Average Shares Outstanding,- -,- -,15000000,15000000,17603835,17603835,18257491,18257491
28,Weighted Average Shares Outstanding Diluted,- -,- -,15000000,15000000,17603835,17603835,18257491,18257491
29,SEC Link,undefined,undefined,- -,https://www.sec.gov/Archives/edgar/data/1730773/000149315218006055/0001493152-18-006055-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1730773/000149315220010121/0001493152-20-010121-index.htm,https://www.sec.gov/Archives/edgar/data/1730773/000149315221008924/0001493152-21-008924-index.htm,https://www.sec.gov/Archives/edgar/data/1730773/000149315222008578/0001493152-22-008578-index.htm
30,BALANCE SHEET, , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,54980,29380,13143,153904,55644,1155513
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -
