,https://roic.ai/company/SUNW,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , 
1,Revenue,204833,224683,553333,41730,59500,43327,- -,- -,- -,- -,20189555,53713000,86421000,77448000,70965000,59830000,37913000,101154000
2,COGS,- -,345424,53865,32785,1496,41607,- -,- -,- -,- -,14578480,36664000,64311000,63785000,58701000,53167000,32645000,56507000
3,Gross Profit,204833,-120741,499468,8945,58004,1720,- -,- -,- -,- -,5611075,17049000,22110000,13663000,12264000,6663000,5268000,44647000
4,Gross Profit Ratio,1.0000,-0.5374,0.9027,0.2144,0.9749,0.0397,- -,- -,- -,- -,0.2779,0.3174,0.2558,0.1764,0.1728,0.1114,0.1389,0.4414
5,Research and Development Exp.,210776,199828,326032,348000,120672,- -,36042,133196,157742,108565,112518,53000,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,508693,651657,602942,605869,322134,451188,571895,1363642,1319918,970769,3602252,8633000,17475000,13105000,11314000,11647000,13263000,29770000
7,Selling and Marketing Exp.,91,17247,20391,- -,115381,9761,- -,- -,- -,- -,1574999,5941000,12330000,6462000,3824000,2992000,2903000,32760000
8,"Selling, General and Administrative Exp.",508784,668904,623333,605869,437515,460949,571895,1363642,1319918,970769,5177251,14574000,29805000,19567000,15138000,14639000,16166000,62530000
9,Other Expenses,22209,58486,59933,30323,37513,8848,500,1591,1610,1847,10234,51000,323000,410000,384000,353000,337000,5877000
10,Operating Expenses,741769,927218,1009298,984192,595700,469797,608437,1498429,1479270,1081181,5300003,14678000,30128000,19977000,15522000,14992000,16503000,68407000
11,COGS and Expenses,741769,1272642,1063163,1016977,597196,511404,608437,1498429,1479270,1081181,19878483,51342000,94439000,83762000,74223000,68159000,49148000,124914000
12,Interest Income ,- -,- -,- -,- -,11,4,- -,66,- -,- -,- -,10000,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),36518,26357,29658,48510,56926,16038,8469,2123,108732,725767,4193187,1391000,1033000,924000,544000,863000,714000,381000
14,Depreciation and Amortization,4388,13638,13638,30323,37513,8848,500,1591,1610,1847,10234,51000,323000,410000,384000,1001000,1148000,6943000
15,EBITDA,-532548,-1027395,-567834,-946140,-2253792,-1025178,-607937,-1496838,-1477660,-1079334,-20668907,2498000,-8024000,-5888000,-4812000,-7322000,-14077000,-19301000
16,EBITDA ratio,-2.5999,-4.5726,-1.0262,-22.6729,-37.8789,-23.6614,-Infinity,-Infinity,-Infinity,-Infinity,-1.0237,0.0465,-0.0928,-0.0760,-0.0678,-0.1224,-0.3713,-0.1908
17,Operating Income,-536936,-1047959,-509830,-975247,-2291198,-468077,-608437,-1498429,-1479270,-1081181,311072,2371000,-8018000,-6314000,-5158000,-8329000,-15235000,-29224000
18,Operating Income ratio,-2.6213,-4.6642,-0.9214,-23.3704,-38.5075,-10.8034,-Infinity,-Infinity,-Infinity,-Infinity,0.0154,0.0441,-0.0928,-0.0815,-0.0727,-0.1392,-0.4018,-0.2889
19,Total Other Income Expenses (Gains),- -,-19431,-101300,-49726,-57033,-581987,-8469,-48074,-563508,-2733745,-25183400,-1315000,-1362000,-908000,-582000,-857000,-704000,2599000
