,https://roic.ai/company/BDR,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,52000000,48900000,62100000,70800000,56805000,70196000,53627000,46951000,35437000,39233000,36468000,35775000,33159000,35320000,29034000,30508000,26663000,30643000,27870000,29129000,20943000,22506000,23283000,21707000,19842000,16379000,15754000
2,COGS,32100000,29500000,38500000,42900000,36080000,43973000,36928000,34195000,25948000,26631000,28164000,23409000,21850000,23713000,17758000,18243000,17122000,20625000,18559000,18168000,16788000,14149000,14347000,13288000,16411000,13361000,9896000
3,Gross Profit,19900000,19400000,23600000,27900000,20725000,26223000,16699000,12756000,9489000,12602000,8304000,12366000,11309000,11607000,11276000,12265000,9541000,10018000,9311000,10961000,4155000,8357000,8936000,8419000,3431000,3018000,5858000
4,Gross Profit Ratio,0.3827,0.3967,0.3800,0.3941,0.3648,0.3736,0.3114,0.2717,0.2678,0.3212,0.2277,0.3457,0.3411,0.3286,0.3884,0.4020,0.3578,0.3269,0.3341,0.3763,0.1984,0.3713,0.3838,0.3878,0.1729,0.1843,0.3718
5,Research and Development Exp.,- -,2000000,2000000,2200000,2070000,2125000,2200000,1972000,1833000,1549000,1552000,1634000,1797000,1989000,2420000,2508000,2716000,3500000,3373000,3416000,3331000,2741000,2452000,2576000,3066000,2524000,2592000
6,General and Administrative Exp.,11800000,9100000,9900000,10800000,13598000,13572000,11209000,9060000,9837000,10269000,11023000,10396000,9548000,4935000,4669000,4597000,4410000,5635000,5111000,4770000,4152000,3828000,3529000,4236000,5004000,5150000,3767000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4377000,3983000,3183000,2649000,3378000,3372000,3404000,3072000,2459000,2492000,2461000,3002000,2458000,2459000
8,"Selling, General and Administrative Exp.",11800000,9100000,9900000,10800000,13598000,13572000,11209000,9060000,9837000,10269000,11023000,10396000,9548000,9312000,8652000,7780000,7059000,9013000,8483000,8174000,7224000,6287000,6021000,6697000,8006000,7608000,6226000
9,Other Expenses,400000,1100000,1100000,2400000,2994000,3001000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,12200000,12200000,13000000,15400000,18662000,18698000,13409000,11032000,11670000,11818000,12575000,12030000,11345000,11301000,11072000,10288000,9775000,12513000,11856000,11590000,10555000,9028000,8473000,9273000,11072000,10132000,8818000
11,COGS and Expenses,44300000,41700000,51500000,58300000,54742000,62671000,50337000,45227000,37618000,38449000,40739000,35439000,33195000,35014000,28830000,28531000,26897000,33138000,30415000,29758000,27343000,23177000,22820000,22561000,27483000,23493000,18714000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,436000,4000,386000,- -,17000,17000,7000,6000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,409000,179000,199000,183000,330000,277000,242000,325000,- -,723000,- -,- -,345000,514000
14,Depreciation and Amortization,400000,1100000,1100000,2400000,2994000,3001000,2812000,1819000,1883000,1731000,1657000,1615000,495000,479000,590000,828000,1141000,1438000,1314000,1415000,1308000,972000,642000,521000,1109000,1101000,911000
15,EBITDA,6800000,7600000,11800000,13400000,3055000,8588000,4733000,-4417000,-1557000,1435000,-3843000,1957000,-66000,477000,919000,2812000,913000,-1057000,-1231000,786000,-5092000,-194000,963000,-895000,382000,-6013000,1524000
16,EBITDA ratio,0.1308,0.1554,0.1900,0.1893,0.0538,0.1223,0.0883,-0.0941,-0.0439,0.0366,-0.1054,0.0547,-0.0020,0.0135,0.0317,0.0922,0.0342,-0.0345,-0.0442,0.0270,-0.2431,-0.0086,0.0414,-0.0412,0.0193,-0.3671,0.0967
17,Operating Income,7700000,7200000,10600000,12500000,2063000,7525000,3290000,1724000,-2181000,784000,-4271000,336000,-36000,306000,204000,1977000,-234000,-2495000,-2545000,-629000,-6400000,-671000,463000,-854000,-466000,-7114000,-2960000
18,Operating Income ratio,0.1481,0.1472,0.1707,0.1766,0.0363,0.1072,0.0613,0.0367,-0.0615,0.0200,-0.1171,0.0094,-0.0011,0.0087,0.0070,0.0648,-0.0088,-0.0814,-0.0913,-0.0216,-0.3056,-0.0298,0.0199,-0.0393,-0.0235,-0.4343,-0.1879
19,Total Other Income Expenses (Gains),-1300000,-700000,100000,-1500000,-2002000,-1938000,-1369000,-1074000,-1259000,-1080000,-1229000,-432000,- -,-392000,-162000,-192000,-177000,-330000,-277000,-242000,-325000,-495000,-865000,-562000,-261000,-345000,3059000
20,Income Before Tax,6400000,6500000,10700000,11000000,61000,5587000,1921000,650000,-3440000,-296000,-5500000,-96000,- -,-86000,42000,1785000,-411000,-2825000,-2822000,-871000,-6725000,-1166000,-402000,-1416000,-727000,-7459000,99000
21,Income Before Tax Ratio,0.1231,0.1329,0.1723,0.1554,0.0011,0.0796,0.0358,0.0138,-0.0971,-0.0075,-0.1508,-0.0027,- -,-0.0024,0.0014,0.0585,-0.0154,-0.0922,-0.1013,-0.0299,-0.3211,-0.0518,-0.0173,-0.0652,-0.0366,-0.4554,0.0063
22,Income Tax expense (Gain),900000,2600000,4300000,3900000,2000,2011000,704000,221000,-691000,2826000,- -,- -,- -,- -,75000,- -,- -,2332000,- -,31000,46000,29000,-18000,-77000,15000,15000,15000
23,Net Income,5500000,3900000,6400000,7100000,59000,3576000,1217000,-6457000,-2749000,-3122000,-5500000,342000,-561000,-411000,75000,1785000,-411000,-5157000,-2822000,-902000,-6771000,-1195000,-384000,-1339000,-742000,-7474000,84000
24,Net Income ratio,0.1058,0.0798,0.1031,0.1003,0.0010,0.0509,0.0227,-0.1375,-0.0776,-0.0796,-0.1508,0.0096,-0.0169,-0.0116,0.0026,0.0585,-0.0154,-0.1683,-0.1013,-0.0310,-0.3233,-0.0531,-0.0165,-0.0617,-0.0374,-0.4563,0.0053
25,EPS,0.66,0.47,0.78,0.86,0.01,0.47,0.16,-0.84,-0.36,-0.39,-0.69,0.05,-0.09,-0.07,0.01,0.29,-0.07,-0.83,-0.45,-0.14,-1.05,-0.16,-0.05,-0.15,-0.08,-0.76,0.01
26,EPS Diluted,0.64,0.47,0.77,0.84,0.01,0.47,0.16,-0.84,-0.36,-0.39,-0.69,0.05,-0.09,-0.07,0.01,0.28,-0.07,-0.83,-0.45,-0.14,-1.05,-0.16,-0.05,-0.15,-0.08,-0.76,0.01
27,Weighted Average Shares Outstanding,8333333,8300000,8227000,8292000,7916000,7620000,7613000,7604000,7654000,8001000,8015000,7592000,6222000,6220000,6191000,6192000,6210000,6216000,6216000,6223000,6464000,7413000,8189000,8899000,9603000,9898000,9898000
28,Weighted Average Shares Outstanding Diluted,8593750,8437500,8375000,8471000,7958000,7632000,7637000,7604000,7654000,8033000,8015000,7592000,6222000,6220000,6191000,6285000,6210000,6216000,6216000,6223000,6464000,7413000,8189000,8899000,9603000,9898000,9898000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1000683/000095015905000451/0000950159-05-000451-index.htm,https://www.sec.gov/Archives/edgar/data/1000683/000095015906000516/0000950159-06-000516-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1000683/000095015908000585/0000950159-08-000585-index.htm,https://www.sec.gov/Archives/edgar/data/1000683/000130794209000045/0001307942-09-000045-index.htm,https://www.sec.gov/Archives/edgar/data/1000683/000130794210000014/0001307942-10-000014-index.htm,https://www.sec.gov/Archives/edgar/data/1000683/000130794211000013/0001307942-11-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1000683/000114420412018525/0001144204-12-018525-index.htm,https://www.sec.gov/Archives/edgar/data/1000683/000114420413018986/0001144204-13-018986-index.htm,https://www.sec.gov/Archives/edgar/data/1000683/000114420414019460/0001144204-14-019460-index.htm,https://www.sec.gov/Archives/edgar/data/1000683/000114420415019829/0001144204-15-019829-index.htm,https://www.sec.gov/Archives/edgar/data/1000683/000114420416091323/0001144204-16-091323-index.htm,https://www.sec.gov/Archives/edgar/data/1000683/000114420417017902/0001144204-17-017902-index.htm,https://www.sec.gov/Archives/edgar/data/1000683/000121390018003785/0001213900-18-003785-index.htm,https://www.sec.gov/Archives/edgar/data/1000683/000121390019005351/0001213900-19-005351-index.htm,https://www.sec.gov/Archives/edgar/data/1000683/000121390020009053/0001213900-20-009053-index.htm,https://www.sec.gov/Archives/edgar/data/1000683/000121390021017745/0001213900-21-017745-index.htm,https://www.sec.gov/Archives/edgar/data/1000683/000121390022016788/0001213900-22-016788-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,500000,1300000,600000,500000,48000,363000,942000,258000,195000,70000,787000,84000,270000,2469000,14000,1717000,851000,453000,67000,232000,9000,468000,168000,559000,572000,69000,274000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,500000,1300000,600000,500000,48000,363000,942000,258000,195000,70000,787000,84000,270000,2469000,14000,1717000,851000,453000,67000,232000,9000,468000,168000,559000,572000,69000,274000
34,Net Receivables,9200000,9000000,13100000,16000000,9969000,7125000,8564000,6713000,6988000,4013000,3567000,3874000,2926000,3787000,4059000,3677000,4485000,3461000,3241000,2425000,2432000,2273000,2621000,2654000,2505000,1741000,1765000
35,Inventory,13400000,16000000,17900000,24500000,26793000,26333000,30216000,24760000,20588000,10309000,9649000,9708000,8572000,8976000,8149000,7672000,7567000,11319000,8975000,9257000,5595000,5064000,5496000,6172000,8484000,4063000,4854000
36,Other Current Assets,1000000,1000000,1300000,2100000,3189000,5068000,2678000,3043000,3605000,1614000,1141000,1276000,1392000,808000,973000,812000,782000,723000,873000,651000,277000,275000,665000,992000,613000,231000,785000
37,Total Current Assets,24100000,27300000,32900000,43100000,39999000,38889000,42400000,34774000,31376000,16006000,15144000,14942000,13160000,16040000,13195000,13878000,13685000,15956000,13156000,12565000,8313000,8080000,8950000,10377000,12174000,6104000,7678000
38,PP&E,6500000,7200000,7700000,8000000,8740000,7644000,7137000,6831000,6652000,6214000,6184000,4537000,4530000,4176000,4000000,3812000,3852000,4009000,3710000,3923000,3621000,3279000,3106000,2890000,3559000,2840000,2274000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,493000,493000,493000,493000,493000,493000,493000,493000,493000,493000
40,Intangible Assets,- -,- -,- -,17300000,16679000,15673000,14214000,3120000,3949000,3217000,2584000,107000,74000,155000,207000,754000,676000,3022000,3008000,2607000,2242000,1729000,1470000,1281000,1118000,937000,755000
41,Intangible Assets,- -,- -,- -,17300000,16679000,15673000,14214000,3120000,3949000,3217000,2584000,107000,74000,155000,207000,754000,676000,3515000,3501000,3100000,2735000,2222000,1963000,1774000,1611000,1430000,1248000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,50000,3911000,2903000,1396000,1705000,1788000,1903000,1920000,1898000,1898000,1898000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,1200000,1700000,1700000,1300000,658000,628000,585000,3366000,3110000,11323000,6247000,5848000,6282000,4751000,5872000,6270000,5760000,2823000,2274000,1656000,1561000,1419000,1155000,560000,1003000,756000,- -
45,Total Non-Current Assets,7700000,8900000,9400000,26600000,26077000,23945000,21986000,17228000,16614000,22150000,17720000,12280000,12789000,11002000,11977000,12734000,12186000,10347000,9485000,8679000,7917000,6920000,6224000,5224000,6173000,5026000,3522000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,31800000,36200000,42300000,69700000,66076000,62834000,64386000,52002000,47990000,38156000,32864000,27222000,25949000,27042000,25172000,26612000,25871000,26303000,22641000,21244000,16230000,15000000,15174000,15601000,18347000,11130000,11200000
48,Accounts Payable,4600000,1600000,2300000,2100000,4644000,2833000,6672000,888000,1676000,1497000,2231000,1397000,1779000,1744000,1065000,593000,352000,1825000,1493000,1351000,1387000,1390000,700000,1523000,4313000,2014000,2264000
49,Short-Term Debt,2900000,400000,1900000,21300000,7642000,6632000,2917000,2632000,3201000,2683000,4249000,2469000,2560000,237000,228000,235000,258000,2521000,1545000,1555000,6268000,2348000,2736000,5678000,3489000,2967000,897000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,49000,49000,49000,49000,24000,24000,24000,6000,15000,22000,28000,26000,28000,34000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,2200000,2300000,2700000,2700000,2257000,2270000,1557000,937000,1428000,1223000,1556000,1565000,919000,1846000,659000,869000,1237000,1139000,619000,898000,967000,878000,503000,1062000,567000,553000,2899000
53,Total Current Liabilities,9700000,4300000,6900000,26100000,14543000,11735000,11146000,4457000,6305000,5403000,8036000,5431000,5258000,3827000,1952000,1697000,1847000,5485000,3657000,3804000,8622000,4616000,3939000,8263000,8369000,5534000,6060000
54,Long-Term Debt,1900000,5900000,3200000,2900000,16137000,11802000,13278000,14278000,9745000,5830000,3329000,1559000,14000,3779000,3065000,2872000,2821000,4163000,3893000,3607000,110000,3711000,3718000,171000,47000,4359000,2600000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,500000,400000,400000,200000,149000,201000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,30000,63000,95000,129000,139000,104000,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2568000,- -,- -
58,Total Non-Current Liabilities,2400000,6300000,3600000,3100000,16286000,12003000,13278000,14278000,9745000,5830000,3329000,1559000,14000,3779000,3065000,2872000,2821000,4193000,3956000,3702000,239000,3850000,3822000,171000,2615000,4359000,2600000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3319000,2565000,- -
61,Total Liabilities,12100000,10600000,10500000,29200000,30829000,23738000,24424000,18735000,16050000,11233000,11365000,6990000,5272000,7606000,5017000,4569000,4668000,9678000,7613000,7506000,8861000,8466000,7761000,8434000,10984000,9893000,8625000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,9000,10000,12000,13000
64,Retained Earnings,200000,4000000,10500000,17600000,17655000,21231000,22448000,15991000,13242000,9065000,3565000,3907000,3747000,3336000,3411000,5196000,4785000,-372000,-3194000,-4096000,-12198000,-17179000,-17821000,-19178000,-19920000,-27394000,-27310000
