,https://roic.ai/company/RGRX,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,105591,542243,215034,3265,- -,- -,- -,- -,- -,- -,- -,272491,240324,168412,- -,849539,1511572,1342844,29484,- -,60612,93308,56652,69667,76762,76761,76761
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
3,Gross Profit,105591,542243,- -,- -,- -,- -,- -,- -,- -,- -,- -,272491,240324,168412,- -,849539,1511572,1342844,29484,- -,- -,- -,- -,- -,- -,76761,- -
4,Gross Profit Ratio,1.0000,1.0000,- -,- -,- -,- -,- -,- -,- -,- -,- -,1.0000,1.0000,1.0000,- -,1.0000,1.0000,1.0000,1.0000,- -,- -,- -,- -,- -,- -,1.0000,- -
5,Research and Development Exp.,2751744,1052352,85695,41339,1276,64795,139115,885631,775752,2184314,4028857,6396524,8887255,7109808,3724514,2707909,5067085,1161967,188643,367275,203185,237344,143911,81043,65107,4921,6638
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,1158450,1640670,2665652,3197685,3845346,2781790,3173729,2456028,1022207,755092,1188211,1566962,1529983,1357371,1311993,1273536,1366383,1398634
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",2060891,968568,784316,551751,200890,398635,356582,559641,848743,1158450,1640670,2665652,3197685,3845346,2781790,3173729,2456028,1022207,755092,1188211,1566962,1529983,1357371,1311993,1273536,1366383,1398634
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,4812635,2020920,870011,593090,202166,463430,495697,1445272,1624495,3342764,5669527,9062176,12084940,10955154,6506304,5881638,7523113,2184174,943735,1555486,1770147,1767327,1501282,1393036,1338643,1371304,1405272
11,COGS and Expenses,4812635,2020920,870011,593090,202166,463430,495697,1445272,1624495,3342764,5669527,9062176,12084940,10955154,6506304,5881638,7523113,2184174,943735,1555486,1770147,1767327,1501282,1393036,1338643,1371304,- -
12,Interest Income ,- -,- -,- -,4882,- -,18699,30034,30077,7571,16435,214676,522704,666458,149777,12444,8187,4489,26,16,153,101,- -,- -,- -,11044,3806,234
13,Interest Expense (Gain),- -,132066,- -,14521,- -,- -,- -,- -,42951,70,- -,- -,- -,- -,- -,- -,- -,5698,100941,183473,172883,173355,170883,87280,153410,232631,324878
14,Depreciation and Amortization,306633,77189,5040,1304,305,731,1232,3289,4099,4175,15626,18112,21197,19396,16547,9736,9078,7574,4999,4823,3403,3326,3048,2753,1418,- -,- -
15,EBITDA,-3785564,-1426772,-790390,1777393,291298,-1167087,-691245,-1452631,-1620396,-3338589,-5653901,-8248869,-11156961,-10617569,-6489757,-5014176,-5997974,-833730,-565403,-1550663,-5094197,405806,559023,-1903520,-1249419,-1290737,-1272877
16,EBITDA ratio,-35.8512,-2.6312,-3.6757,544.3776,Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-30.2721,-46.4247,-63.0452,-Infinity,-5.9022,-3.9680,-0.6209,-19.1766,-Infinity,-84.0460,4.3491,9.8677,-27.3231,-16.2765,-16.8150,-16.5823
17,Operating Income,-4707044,-1478677,-654977,-589825,-202166,-463430,-495697,-1445272,-1624495,-3342764,-5669527,-8789685,-11844616,-10786742,-6506304,-5032099,-6011541,-841330,-914251,-1555486,-1709535,-1674019,-1444630,-1323369,-1261881,-1294543,-1328511
18,Operating Income ratio,-44.5781,-2.7270,-3.0459,-180.6508,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-32.2568,-49.2860,-64.0497,-Infinity,-5.9233,-3.9770,-0.6265,-31.0084,-Infinity,-28.2046,-17.9408,-25.5001,-18.9956,-16.4389,-16.8646,-17.3071
19,Total Other Income Expenses (Gains),149245,-25284,911,1703276,-493159,704388,196780,10648,- -,- -,- -,- -,- -,- -,- -,- -,- -,-5672,242908,-1198156,-3560948,1903144,1829722,-670184,-142366,-228825,-269244
20,Income Before Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-847002,-671343,-2753642,-5270483,229125,385092,-1993553,-1404247,-1523368,-1597755
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-0.6308,-22.7697,-Infinity,-86.9544,2.4556,6.7975,-28.6155,-18.2935,-19.8456,-20.8147
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,98605,- -,- -,- -,- -
